labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.198,0.123,0.505,6,0.266,0.154,1.0,9,0.266,0.154,1.0,9,0.243,0.039,0.144,0.018,0.835,0.286
40,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.287,0.178,0.75,3,0.268,0.155,0.995,14,0.271,0.158,0.964,14,0.275,0.01,0.164,0.013,0.903,0.133
60,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.287,0.171,0.886,5,0.266,0.154,1.0,24,0.273,0.161,0.9,7,0.275,0.011,0.162,0.009,0.929,0.062
80,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.282,0.17,0.823,6,0.272,0.158,0.995,14,0.266,0.154,0.995,7,0.273,0.008,0.161,0.008,0.938,0.099
100,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.279,0.166,0.864,7,0.273,0.158,0.995,15,0.282,0.165,0.945,7,0.278,0.005,0.163,0.004,0.935,0.066
120,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.282,0.181,0.641,7,0.272,0.158,0.973,10,0.276,0.165,0.836,9,0.277,0.005,0.168,0.012,0.817,0.167
140,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.265,0.175,0.55,7,0.271,0.157,0.982,12,0.278,0.165,0.886,9,0.271,0.007,0.166,0.009,0.806,0.227
160,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.299,0.181,0.864,7,0.271,0.158,0.964,11,0.288,0.172,0.882,8,0.286,0.014,0.17,0.012,0.903,0.053
180,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.274,0.185,0.532,7,0.287,0.176,0.777,11,0.283,0.167,0.936,6,0.281,0.007,0.176,0.009,0.748,0.204
200,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.295,0.177,0.886,7,0.295,0.184,0.745,11,0.269,0.161,0.823,6,0.286,0.015,0.174,0.012,0.818,0.071
220,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.283,0.169,0.877,7,0.304,0.194,0.7,10,0.315,0.201,0.727,6,0.301,0.016,0.188,0.017,0.768,0.095
240,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.307,0.195,0.727,8,0.274,0.162,0.891,10,0.28,0.204,0.445,5,0.287,0.018,0.187,0.022,0.688,0.226
260,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.275,0.181,0.573,8,0.312,0.202,0.682,9,0.302,0.194,0.677,5,0.296,0.019,0.192,0.011,0.644,0.062
280,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.317,0.2,0.759,7,0.269,0.183,0.509,9,0.31,0.224,0.505,5,0.299,0.026,0.202,0.021,0.591,0.146
300,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.348,0.23,0.709,6,0.286,0.176,0.773,9,0.326,0.234,0.541,5,0.32,0.031,0.213,0.032,0.674,0.12
320,abt_buy,Random Sample 500,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.298,0.204,0.555,6,0.282,0.176,0.709,8,0.256,0.196,0.368,5,0.279,0.021,0.192,0.014,0.544,0.171
