labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.273,0.164,0.814,2,"[10, 5, 0, 5]",0.286,0.174,0.8,1,"[8, 8, 2, 2]",0.267,0.154,1.0,2,"[6, 8, 4, 2]",0.275,0.01,0.164,0.01,0.871,0.112
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.294,0.182,0.773,3,"[8, 9, 2, 1]",0.333,0.223,0.664,2,"[10, 9, 0, 1]",0.283,0.194,0.523,3,"[6, 8, 4, 2]",0.303,0.026,0.2,0.021,0.653,0.125
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.313,0.213,0.591,3,"[8, 9, 2, 1]",0.317,0.211,0.632,3,"[9, 9, 1, 1]",0.29,0.176,0.818,3,"[10, 7, 0, 3]",0.307,0.015,0.2,0.021,0.68,0.121
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.269,0.161,0.805,3,"[7, 9, 3, 1]",0.315,0.202,0.723,3,"[9, 8, 1, 2]",0.292,0.182,0.741,3,"[8, 8, 2, 2]",0.292,0.023,0.182,0.021,0.756,0.043
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.305,0.201,0.632,4,"[10, 9, 0, 1]",0.33,0.213,0.732,4,"[10, 7, 0, 3]",0.296,0.187,0.705,3,"[10, 8, 0, 2]",0.31,0.018,0.2,0.013,0.69,0.052
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.279,0.164,0.918,4,"[7, 9, 3, 1]",0.273,0.17,0.7,4,"[8, 8, 2, 2]",0.295,0.189,0.668,4,"[10, 8, 0, 2]",0.282,0.011,0.174,0.013,0.762,0.136
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.293,0.185,0.7,4,"[10, 9, 0, 1]",0.328,0.21,0.759,4,"[8, 8, 2, 2]",0.298,0.201,0.573,4,"[10, 7, 0, 3]",0.306,0.019,0.199,0.013,0.677,0.095
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.27,0.169,0.668,4,"[9, 9, 1, 1]",0.324,0.216,0.655,4,"[10, 7, 0, 3]",0.311,0.204,0.659,4,"[10, 7, 0, 3]",0.302,0.028,0.196,0.024,0.661,0.007
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.274,0.162,0.891,4,"[10, 9, 0, 1]",0.346,0.237,0.641,4,"[9, 7, 1, 3]",0.322,0.221,0.591,4,"[10, 7, 0, 3]",0.314,0.037,0.207,0.04,0.708,0.161
200,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.299,0.204,0.555,4,"[10, 9, 0, 1]",0.316,0.215,0.595,4,"[10, 7, 0, 3]",0.311,0.214,0.568,4,"[7, 8, 3, 2]",0.309,0.009,0.211,0.006,0.573,0.02
220,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.297,0.188,0.709,5,"[9, 10, 1, 0]",0.346,0.243,0.595,4,"[9, 7, 1, 3]",0.321,0.201,0.791,4,"[10, 9, 0, 1]",0.321,0.025,0.211,0.029,0.698,0.098
