labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.269,0.155,1.0,2,"[10, 8, 0, 2]",0.298,0.179,0.873,3,"[10, 6, 0, 4]",0.264,0.156,0.864,2,"[10, 7, 0, 3]",0.277,0.018,0.163,0.014,0.912,0.076
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.207,0.133,0.464,2,"[6, 10, 4, 0]",0.32,0.222,0.577,2,"[9, 9, 1, 1]",0.267,0.163,0.727,2,"[9, 9, 1, 1]",0.265,0.057,0.173,0.045,0.589,0.132
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.186,0.125,0.359,2,"[8, 8, 2, 2]",0.28,0.164,0.945,2,"[9, 10, 1, 0]",0.268,0.171,0.618,2,"[9, 10, 1, 0]",0.245,0.051,0.153,0.025,0.641,0.294
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.192,0.119,0.5,2,"[7, 10, 3, 0]",0.299,0.207,0.536,2,"[10, 6, 0, 4]",0.254,0.194,0.368,2,"[8, 10, 2, 0]",0.248,0.054,0.173,0.048,0.468,0.088
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.245,0.172,0.423,2,"[10, 9, 0, 1]",0.301,0.208,0.55,2,"[9, 8, 1, 2]",0.19,0.134,0.323,2,"[10, 10, 0, 0]",0.245,0.056,0.171,0.037,0.432,0.114
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.234,0.17,0.373,2,"[7, 9, 3, 1]",0.293,0.212,0.477,2,"[10, 8, 0, 2]",0.262,0.204,0.368,2,"[9, 9, 1, 1]",0.263,0.03,0.195,0.022,0.406,0.062
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.171,0.137,0.227,2,"[8, 7, 2, 3]",0.287,0.209,0.459,2,"[10, 5, 0, 5]",0.187,0.118,0.459,2,"[10, 10, 0, 0]",0.215,0.063,0.155,0.048,0.382,0.134
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.213,0.163,0.305,2,"[10, 8, 0, 2]",0.301,0.201,0.6,2,"[10, 7, 0, 3]",0.176,0.135,0.255,2,"[10, 10, 0, 0]",0.23,0.064,0.166,0.033,0.387,0.186
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.23,0.176,0.332,2,"[9, 9, 1, 1]",0.279,0.212,0.405,2,"[10, 10, 0, 0]",0.291,0.235,0.382,2,"[9, 8, 1, 2]",0.267,0.032,0.208,0.03,0.373,0.037
200,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.234,0.184,0.323,2,"[10, 8, 0, 2]",0.298,0.201,0.577,2,"[9, 10, 1, 0]",0.188,0.173,0.205,2,"[10, 9, 0, 1]",0.24,0.055,0.186,0.014,0.368,0.19
220,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.231,0.183,0.314,2,"[10, 9, 0, 1]",0.314,0.227,0.509,2,"[10, 9, 0, 1]",0.213,0.227,0.2,2,"[10, 10, 0, 0]",0.253,0.054,0.212,0.025,0.341,0.156
240,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.18,0.146,0.236,2,"[10, 9, 0, 1]",0.303,0.213,0.523,2,"[10, 8, 0, 2]",0.175,0.173,0.177,2,"[10, 7, 0, 3]",0.219,0.073,0.177,0.034,0.312,0.185
260,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.245,0.19,0.345,2,"[9, 10, 1, 0]",0.325,0.224,0.586,2,"[9, 8, 1, 2]",0.272,0.215,0.368,2,"[10, 9, 0, 1]",0.281,0.041,0.21,0.018,0.433,0.133
280,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.203,0.158,0.282,2,"[9, 10, 1, 0]",0.298,0.21,0.518,2,"[10, 6, 0, 4]",0.228,0.233,0.223,2,"[10, 10, 0, 0]",0.243,0.049,0.2,0.038,0.341,0.156
300,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.193,0.163,0.236,2,"[10, 10, 0, 0]",0.292,0.224,0.418,2,"[10, 7, 0, 3]",0.28,0.284,0.277,2,"[10, 6, 0, 4]",0.255,0.054,0.224,0.061,0.31,0.095
320,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.189,0.164,0.223,2,"[10, 9, 0, 1]",0.286,0.224,0.395,2,"[10, 8, 0, 2]",0.258,0.248,0.268,2,"[10, 7, 0, 3]",0.244,0.05,0.212,0.043,0.295,0.089
340,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.217,0.167,0.309,2,"[10, 7, 0, 3]",0.324,0.25,0.459,2,"[8, 10, 2, 0]",0.246,0.256,0.236,2,"[9, 8, 1, 2]",0.262,0.055,0.224,0.05,0.335,0.114
