# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.243 (0.039),0.244 (0.086),0.275 (0.010),0.277 (0.018),0.275 (0.014)
40,0.275 (0.010),0.269 (0.006),0.303 (0.026),0.265 (0.057),0.271 (0.018)
60,0.275 (0.011),0.270 (0.004),0.307 (0.015),0.245 (0.051),0.276 (0.013)
80,0.273 (0.008),0.279 (0.012),0.292 (0.023),0.248 (0.054),0.281 (0.006)
100,0.278 (0.005),0.262 (0.031),0.310 (0.018),0.245 (0.056),0.275 (0.007)
120,0.277 (0.005),0.282 (0.014),0.282 (0.011),0.263 (0.030),0.295 (0.013)
140,0.271 (0.007),0.297 (0.012),0.306 (0.019),0.215 (0.063),0.307 (0.014)
160,0.286 (0.014),0.284 (0.013),0.302 (0.028),0.230 (0.064),0.298 (0.010)
180,0.281 (0.007),0.296 (0.020),0.314 (0.037),0.267 (0.032),0.289 (0.017)
200,0.286 (0.015),0.299 (0.020),0.309 (0.009),0.240 (0.055),0.295 (0.022)
220,0.301 (0.016),0.302 (0.022),0.321 (0.025),0.253 (0.054),0.299 (0.023)
240,0.287 (0.018),0.307 (0.020),0.319 (0.028),0.219 (0.073),0.301 (0.015)
260,0.296 (0.019),0.286 (0.010),0.336 (0.037),0.281 (0.041),0.309 (0.030)
280,0.299 (0.026),0.300 (0.012),0.315 (0.024),0.243 (0.049),0.303 (0.017)
300,0.320 (0.031),0.314 (0.018),0.304 (0.012),0.255 (0.054),0.310 (0.026)
320,0.279 (0.021),0.312 (0.022),0.335 (0.034),0.244 (0.050),0.309 (0.016)
340,0.321 (0.021),0.299 (0.027),0.329 (0.049),0.262 (0.055),0.303 (0.011)
360,0.323 (0.023),0.334 (0.042),0.351 (0.043),0.262 (0.029),0.333 (0.012)
380,0.336 (0.026),0.331 (0.027),0.369 (0.018),0.289 (0.036),0.312 (0.004)
400,0.347 (0.046),0.320 (0.034),0.369 (0.046),0.292 (0.014),0.307 (0.036)
420,0.340 (0.023),0.346 (0.043),0.361 (0.009),0.301 (0.037),0.302 (0.042)
440,0.333 (0.037),0.354 (0.033),0.342 (0.025),0.287 (0.065),0.300 (0.004)
460,0.331 (0.008),0.364 (0.031),0.389 (0.020),0.319 (0.040),0.288 (0.033)
480,0.347 (0.005),0.368 (0.047),0.349 (0.040),0.272 (0.085),0.310 (0.017)
500,0.328 (0.018),0.349 (0.025),0.378 (0.031),0.331 (0.034),0.297 (0.020)
520,0.316 (0.024),0.348 (0.033),0.379 (0.011),0.306 (0.045),0.295 (0.024)
540,0.356 (0.055),0.340 (0.043),0.374 (0.025),0.329 (0.058),0.301 (0.064)
560,0.371 (0.028),0.348 (0.011),0.379 (0.045),0.318 (0.047),0.294 (0.041)
580,0.353 (0.033),0.377 (0.062),0.361 (0.026),0.333 (0.048),0.292 (0.038)
600,0.357 (0.036),0.366 (0.037),0.393 (0.019),0.301 (0.032),0.346 (0.042)
620,0.363 (0.061),0.355 (0.017),0.370 (0.026),0.313 (0.047),0.303 (0.021)
640,0.353 (0.012),0.376 (0.061),0.371 (0.032),0.332 (0.040),0.312 (0.036)
660,0.402 (0.033),0.381 (0.035),0.369 (0.014),0.338 (0.056),0.304 (0.011)
680,0.396 (0.054),0.380 (0.016),0.409 (0.021),0.347 (0.039),0.342 (0.048)
700,0.422 (0.047),0.388 (0.043),0.408 (0.021),0.348 (0.016),0.324 (0.035)
720,0.418 (0.036),0.387 (0.051),0.393 (0.007),0.344 (0.031),0.347 (0.035)
740,0.403 (0.020),0.378 (0.050),0.409 (0.034),0.353 (0.067),0.336 (0.017)
760,0.416 (0.028),0.394 (0.017),0.404 (0.008),0.352 (0.034),0.343 (0.060)
780,0.391 (0.027),0.410 (0.052),0.394 (0.016),0.366 (0.039),0.365 (0.033)
800,0.375 (0.053),0.421 (0.004),0.405 (0.035),0.379 (0.032),0.388 (0.030)
820,0.433 (0.041),0.406 (0.060),0.415 (0.030),0.347 (0.031),0.395 (0.031)
840,0.398 (0.083),0.410 (0.029),0.430 (0.062),0.367 (0.066),0.391 (0.029)
860,0.404 (0.004),0.385 (0.065),0.402 (0.019),0.373 (0.045),0.379 (0.034)
880,0.400 (0.052),0.445 (0.041),0.476 (0.038),0.371 (0.059),0.395 (0.040)
900,0.413 (0.045),0.401 (0.109),0.411 (0.050),0.359 (0.030),0.386 (0.036)
920,0.426 (0.031),0.420 (0.069),0.389 (0.025),0.399 (0.024),0.386 (0.077)
940,0.450 (0.051),0.474 (0.049),0.422 (0.039),0.356 (0.030),0.416 (0.037)
960,0.425 (0.002),0.430 (0.060),0.440 (0.045),0.373 (0.019),0.407 (0.041)
980,0.449 (0.013),0.432 (0.014),0.456 (0.005),0.374 (0.051),0.395 (0.043)
1000,0.468 (0.027),0.440 (0.030),0.441 (0.044),0.394 (0.059),0.435 (0.061)
