labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.266,0.154,1.0,1,"[0, 53, 0, 40]",0.266,0.154,1.0,1,"[0, 108, 0, 50]",0.266,0.154,1.0,1,"[0, 107, 0, 44]",0.266,0.0,0.154,0.0,1.0,0.0
33,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.293,0.183,0.734,2,"[0, 2, 0, 2]",0.218,0.216,0.22,1,"[0, 0, 0, 0]",0.291,0.185,0.68,1,"[0, 0, 0, 0]",0.267,0.043,0.195,0.019,0.545,0.282
53,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.278,0.166,0.869,6,"[0, 0, 0, 0]",0.25,0.159,0.583,2,"[0, 0, 0, 0]",0.301,0.199,0.622,2,"[0, 0, 0, 0]",0.276,0.026,0.175,0.021,0.691,0.155
73,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.3,0.2,0.598,5,"[0, 0, 0, 0]",0.296,0.183,0.768,2,"[0, 0, 0, 0]",0.321,0.211,0.672,3,"[0, 0, 0, 0]",0.306,0.013,0.198,0.014,0.679,0.085
93,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.324,0.199,0.869,4,"[0, 0, 0, 0]",0.24,0.276,0.212,2,"[0, 0, 0, 0]",0.299,0.233,0.417,4,"[0, 0, 0, 0]",0.288,0.043,0.236,0.039,0.499,0.336
113,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.312,0.206,0.645,4,"[0, 0, 0, 0]",0.265,0.196,0.409,3,"[7, 0, 3, 0]",0.306,0.196,0.699,3,"[1, 0, 0, 0]",0.294,0.026,0.199,0.006,0.584,0.154
133,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.308,0.209,0.587,2,"[0, 19, 0, 9]",0.288,0.208,0.471,2,"[0, 6, 0, 1]",0.309,0.218,0.533,4,"[0, 0, 0, 0]",0.302,0.012,0.212,0.006,0.53,0.058
153,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.329,0.208,0.788,3,"[0, 9, 0, 3]",0.302,0.222,0.475,4,"[32, 0, 1, 0]",0.345,0.219,0.822,4,"[0, 0, 0, 0]",0.325,0.022,0.216,0.007,0.695,0.191
173,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.325,0.231,0.548,2,"[0, 13, 0, 6]",0.277,0.162,0.942,2,"[0, 30, 0, 8]",0.347,0.235,0.664,4,"[0, 0, 0, 0]",0.316,0.036,0.209,0.041,0.718,0.202
193,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.337,0.262,0.471,3,"[5, 13, 0, 6]",0.287,0.249,0.34,3,"[0, 0, 0, 0]",0.373,0.287,0.533,3,"[0, 3, 0, 2]",0.332,0.043,0.266,0.019,0.448,0.099
