labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.266,0.153,0.996,2,"[9, 7, 1, 3]",0.264,0.177,0.525,2,"[9, 6, 1, 4]",0.286,0.17,0.907,2,"[10, 7, 0, 3]",0.272,0.012,0.167,0.012,0.809,0.25
40,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.282,0.171,0.803,2,"[9, 6, 1, 4]",0.254,0.188,0.394,2,"[10, 8, 0, 2]",0.305,0.193,0.726,2,"[10, 9, 0, 1]",0.28,0.026,0.184,0.012,0.641,0.217
60,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.296,0.203,0.548,2,"[10, 10, 0, 0]",0.311,0.19,0.861,2,"[9, 8, 1, 2]",0.32,0.196,0.88,2,"[9, 9, 1, 1]",0.309,0.012,0.196,0.007,0.763,0.186
80,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.299,0.223,0.452,2,"[9, 7, 1, 3]",0.288,0.18,0.718,2,"[9, 9, 1, 1]",0.318,0.226,0.533,2,"[10, 9, 0, 1]",0.302,0.015,0.21,0.026,0.568,0.136
100,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.322,0.217,0.629,2,"[10, 6, 0, 4]",0.269,0.159,0.876,2,"[7, 8, 3, 2]",0.286,0.213,0.432,2,"[10, 7, 0, 3]",0.292,0.027,0.196,0.032,0.646,0.222
120,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.327,0.245,0.494,2,"[9, 10, 1, 0]",0.294,0.262,0.336,2,"[9, 9, 1, 1]",0.308,0.251,0.398,2,"[10, 6, 0, 4]",0.31,0.017,0.253,0.009,0.409,0.08
140,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.337,0.272,0.444,2,"[10, 6, 0, 4]",0.258,0.222,0.309,2,"[9, 7, 1, 3]",0.303,0.183,0.888,2,"[10, 5, 0, 5]",0.299,0.04,0.226,0.045,0.547,0.303
160,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.34,0.259,0.498,2,"[10, 5, 0, 5]",0.267,0.238,0.305,2,"[10, 7, 0, 3]",0.35,0.254,0.564,2,"[7, 9, 3, 1]",0.319,0.045,0.25,0.011,0.456,0.135
180,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.326,0.249,0.471,2,"[10, 6, 0, 4]",0.289,0.237,0.371,2,"[9, 9, 1, 1]",0.365,0.262,0.602,2,"[10, 8, 0, 2]",0.327,0.038,0.249,0.013,0.481,0.116
200,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.338,0.245,0.544,2,"[10, 8, 0, 2]",0.285,0.21,0.444,2,"[10, 6, 0, 4]",0.323,0.25,0.456,2,"[9, 8, 1, 2]",0.315,0.027,0.235,0.022,0.481,0.055
