labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.431,0.275,1.0,1,"[0, 5, 0, 41]",0.457,0.299,0.973,1,"[0, 6, 0, 61]",0.495,0.354,0.823,1,"[0, 9, 0, 52]",0.461,0.026,0.309,0.033,0.932,0.078
40,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.484,0.432,0.55,2,"[0, 4, 0, 2]",0.48,0.474,0.487,6,"[0, 1, 0, 0]",0.236,0.369,0.173,2,"[0, 0, 0, 0]",0.4,0.116,0.425,0.043,0.403,0.165
60,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.491,0.341,0.877,4,"[0, 0, 0, 0]",0.505,0.467,0.55,5,"[0, 0, 0, 0]",0.544,0.504,0.59,2,"[0, 0, 0, 0]",0.513,0.022,0.437,0.07,0.672,0.146
80,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.519,0.383,0.803,5,"[0, 0, 0, 0]",0.554,0.492,0.633,4,"[0, 0, 0, 0]",0.517,0.428,0.653,2,"[0, 0, 0, 0]",0.53,0.017,0.434,0.045,0.696,0.076
100,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.525,0.413,0.723,5,"[0, 0, 0, 0]",0.545,0.443,0.71,4,"[0, 0, 0, 0]",0.333,0.545,0.24,2,"[0, 0, 0, 0]",0.468,0.096,0.467,0.056,0.558,0.225
120,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.518,0.387,0.78,5,"[0, 0, 0, 0]",0.555,0.57,0.54,4,"[0, 0, 0, 0]",0.514,0.624,0.437,2,"[0, 0, 0, 0]",0.529,0.018,0.527,0.101,0.586,0.144
140,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.494,0.446,0.553,5,"[0, 0, 0, 0]",0.564,0.476,0.693,3,"[0, 0, 0, 0]",0.534,0.705,0.43,2,"[8, 0, 1, 0]",0.531,0.029,0.542,0.116,0.559,0.107
160,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.533,0.471,0.613,5,"[0, 0, 0, 0]",0.536,0.499,0.58,4,"[0, 0, 0, 0]",0.536,0.657,0.453,2,"[4, 0, 0, 0]",0.535,0.001,0.542,0.082,0.549,0.069
180,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.522,0.505,0.54,5,"[0, 0, 0, 0]",0.538,0.432,0.713,4,"[1, 0, 0, 0]",0.569,0.633,0.517,2,"[25, 0, 1, 0]",0.543,0.02,0.523,0.083,0.59,0.087
200,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.572,0.515,0.643,5,"[0, 0, 0, 0]",0.502,0.412,0.643,4,"[0, 0, 0, 0]",0.549,0.492,0.62,2,"[3, 0, 0, 0]",0.541,0.029,0.473,0.044,0.635,0.011
220,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.573,0.523,0.633,5,"[0, 0, 0, 0]",0.532,0.418,0.73,4,"[0, 0, 0, 0]",0.556,0.592,0.523,2,"[0, 0, 0, 0]",0.554,0.017,0.511,0.072,0.629,0.085
240,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.56,0.52,0.607,5,"[0, 0, 0, 2]",0.552,0.516,0.593,4,"[0, 0, 0, 0]",0.555,0.541,0.57,2,"[0, 0, 0, 0]",0.556,0.003,0.526,0.011,0.59,0.015
260,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.57,0.535,0.61,4,"[0, 1, 0, 2]",0.557,0.522,0.597,4,"[3, 0, 1, 0]",0.576,0.579,0.573,2,"[0, 0, 0, 0]",0.568,0.008,0.545,0.024,0.593,0.015
280,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.574,0.531,0.623,5,"[0, 0, 0, 0]",0.541,0.497,0.593,4,"[0, 1, 0, 5]",0.57,0.572,0.567,2,"[52, 2, 1, 5]",0.562,0.015,0.533,0.031,0.594,0.023
300,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.581,0.553,0.613,4,"[0, 0, 0, 0]",0.539,0.509,0.573,3,"[2, 13, 0, 12]",0.61,0.68,0.553,2,"[10, 8, 4, 10]",0.577,0.029,0.581,0.072,0.58,0.025
320,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.566,0.562,0.57,4,"[0, 3, 0, 2]",0.588,0.539,0.647,4,"[0, 0, 0, 0]",0.561,0.613,0.517,2,"[83, 6, 2, 7]",0.572,0.012,0.571,0.031,0.578,0.053
340,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.569,0.568,0.57,4,"[0, 3, 0, 4]",0.622,0.621,0.623,3,"[0, 0, 0, 0]",0.594,0.651,0.547,2,"[1, 5, 0, 4]",0.595,0.022,0.613,0.034,0.58,0.032
360,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.584,0.626,0.547,4,"[10, 5, 0, 6]",0.601,0.572,0.633,3,"[3, 4, 0, 8]",0.556,0.681,0.47,2,"[55, 1, 2, 5]",0.58,0.019,0.626,0.044,0.55,0.067
380,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.565,0.567,0.563,3,"[1, 3, 0, 7]",0.571,0.57,0.573,3,"[1, 17, 0, 14]",0.605,0.667,0.553,2,"[0, 2, 0, 7]",0.58,0.018,0.601,0.046,0.563,0.008
400,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.576,0.572,0.58,3,"[0, 1, 0, 6]",0.585,0.59,0.58,4,"[47, 9, 1, 8]",0.572,0.527,0.627,2,"[54, 2, 0, 9]",0.578,0.005,0.563,0.026,0.596,0.022
420,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.585,0.652,0.53,3,"[5, 8, 0, 9]",0.581,0.599,0.563,3,"[0, 5, 0, 12]",0.603,0.644,0.567,2,"[0, 0, 0, 0]",0.59,0.01,0.632,0.023,0.553,0.017
440,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.585,0.644,0.537,3,"[2, 8, 0, 10]",0.612,0.551,0.69,3,"[1, 7, 0, 11]",0.583,0.657,0.523,2,"[54, 4, 4, 7]",0.593,0.013,0.617,0.047,0.583,0.076
460,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.592,0.624,0.563,3,"[3, 9, 0, 13]",0.594,0.606,0.583,3,"[5, 21, 0, 13]",0.591,0.716,0.503,2,"[54, 0, 0, 1]",0.592,0.001,0.649,0.048,0.55,0.034
480,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.599,0.608,0.59,3,"[0, 8, 0, 11]",0.637,0.628,0.647,3,"[0, 18, 0, 13]",0.6,0.714,0.517,2,"[51, 1, 3, 4]",0.612,0.018,0.65,0.046,0.585,0.053
500,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.601,0.585,0.617,3,"[5, 9, 0, 15]",0.615,0.566,0.673,3,"[4, 6, 1, 13]",0.659,0.682,0.637,2,"[23, 7, 2, 9]",0.625,0.025,0.611,0.051,0.642,0.023
520,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.6,0.656,0.553,3,"[1, 17, 0, 25]",0.591,0.643,0.547,3,"[86, 17, 2, 15]",0.622,0.7,0.56,2,"[11, 8, 1, 14]",0.604,0.013,0.666,0.024,0.553,0.005
540,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.582,0.609,0.557,3,"[13, 13, 0, 16]",0.634,0.622,0.647,3,"[0, 16, 0, 14]",0.631,0.716,0.563,2,"[3, 0, 0, 5]",0.616,0.024,0.649,0.048,0.589,0.041
