labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.134,0.338,0.083,4,0.46,0.408,0.527,3,0.491,0.362,0.763,4,0.362,0.161,0.369,0.029,0.458,0.282
40,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.411,0.309,0.613,6,0.443,0.392,0.51,5,0.524,0.412,0.72,2,0.459,0.048,0.371,0.045,0.614,0.086
60,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.313,0.419,0.25,6,0.524,0.535,0.513,5,0.429,0.481,0.387,3,0.422,0.086,0.478,0.047,0.383,0.107
80,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.419,0.595,0.323,4,0.383,0.729,0.26,4,0.545,0.549,0.54,3,0.449,0.069,0.624,0.076,0.374,0.12
100,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.419,0.802,0.283,3,0.493,0.768,0.363,3,0.514,0.594,0.453,3,0.475,0.041,0.721,0.091,0.366,0.069
120,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.587,0.567,0.61,3,0.302,0.789,0.187,2,0.575,0.5,0.677,3,0.488,0.132,0.619,0.124,0.491,0.217
140,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.56,0.646,0.493,3,0.547,0.52,0.577,2,0.511,0.523,0.5,3,0.539,0.021,0.563,0.059,0.523,0.038
160,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.547,0.614,0.493,3,0.57,0.572,0.567,2,0.567,0.58,0.553,3,0.561,0.01,0.589,0.018,0.538,0.032
180,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.547,0.783,0.42,3,0.596,0.65,0.55,2,0.575,0.566,0.583,3,0.573,0.02,0.666,0.089,0.518,0.07
200,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.609,0.649,0.573,3,0.591,0.595,0.587,2,0.587,0.528,0.66,3,0.596,0.01,0.591,0.049,0.607,0.038
220,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.594,0.598,0.59,3,0.598,0.62,0.577,2,0.555,0.529,0.583,3,0.582,0.019,0.582,0.039,0.583,0.005
240,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.616,0.64,0.593,2,0.607,0.611,0.603,2,0.538,0.512,0.567,3,0.587,0.035,0.588,0.055,0.588,0.015
260,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.608,0.609,0.607,3,0.586,0.722,0.493,2,0.556,0.545,0.567,3,0.583,0.021,0.625,0.073,0.556,0.047
280,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.582,0.594,0.57,3,0.593,0.573,0.613,2,0.569,0.568,0.57,3,0.581,0.01,0.578,0.011,0.584,0.02
300,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.593,0.623,0.567,3,0.594,0.575,0.613,2,0.59,0.611,0.57,3,0.592,0.002,0.603,0.02,0.583,0.021
320,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.59,0.549,0.637,3,0.601,0.602,0.6,2,0.574,0.578,0.57,3,0.588,0.011,0.576,0.022,0.602,0.027
340,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.609,0.622,0.597,3,0.609,0.642,0.58,2,0.545,0.53,0.56,3,0.588,0.03,0.598,0.049,0.579,0.015
360,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.554,0.607,0.51,3,0.642,0.657,0.627,2,0.588,0.521,0.677,3,0.595,0.036,0.595,0.056,0.605,0.07
380,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.582,0.636,0.537,3,0.598,0.62,0.577,3,0.577,0.607,0.55,3,0.586,0.009,0.621,0.012,0.555,0.017
400,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.608,0.647,0.573,3,0.648,0.695,0.607,2,0.576,0.622,0.537,3,0.611,0.029,0.655,0.03,0.572,0.029
420,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.575,0.632,0.527,2,0.625,0.673,0.583,2,0.574,0.605,0.547,3,0.591,0.024,0.637,0.028,0.552,0.023
440,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.618,0.669,0.573,2,0.63,0.672,0.593,2,0.607,0.601,0.613,3,0.618,0.009,0.647,0.033,0.593,0.016
460,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.617,0.659,0.58,2,0.629,0.701,0.57,2,0.584,0.623,0.55,3,0.61,0.019,0.661,0.032,0.567,0.012
