labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.033,0.833,0.017,1,"[10, 2, 0, 8]",0.155,0.743,0.087,1,"[10, 2, 0, 8]",0.479,0.517,0.447,2,"[9, 2, 1, 8]",0.222,0.188,0.698,0.133,0.184,0.188
40,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.478,0.528,0.437,1,"[7, 4, 3, 6]",0.525,0.516,0.533,1,"[10, 3, 0, 7]",0.487,0.441,0.543,2,"[7, 6, 3, 4]",0.497,0.02,0.495,0.038,0.504,0.048
60,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.456,0.564,0.383,1,"[9, 6, 1, 4]",0.48,0.528,0.44,1,"[10, 4, 0, 6]",0.508,0.413,0.66,2,"[10, 7, 0, 3]",0.481,0.021,0.502,0.064,0.494,0.119
80,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.458,0.515,0.413,1,"[10, 8, 0, 2]",0.513,0.543,0.487,1,"[10, 7, 0, 3]",0.488,0.471,0.507,2,"[10, 8, 0, 2]",0.486,0.022,0.51,0.03,0.469,0.04
100,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.452,0.515,0.403,1,"[10, 8, 0, 2]",0.474,0.533,0.427,1,"[10, 7, 0, 3]",0.477,0.522,0.44,2,"[10, 9, 0, 1]",0.468,0.011,0.523,0.007,0.423,0.015
120,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.459,0.546,0.397,1,"[9, 8, 1, 2]",0.518,0.573,0.473,1,"[10, 8, 0, 2]",0.513,0.461,0.577,2,"[10, 5, 0, 5]",0.497,0.027,0.527,0.048,0.482,0.074
140,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.498,0.574,0.44,1,"[8, 7, 2, 3]",0.51,0.557,0.47,1,"[10, 8, 0, 2]",0.41,0.515,0.34,1,"[10, 8, 0, 2]",0.473,0.045,0.549,0.025,0.417,0.056
160,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.503,0.575,0.447,1,"[10, 7, 0, 3]",0.495,0.561,0.443,1,"[10, 8, 0, 2]",0.392,0.534,0.31,1,"[10, 9, 0, 1]",0.463,0.051,0.557,0.017,0.4,0.064
180,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.495,0.603,0.42,1,"[10, 4, 0, 6]",0.515,0.569,0.47,1,"[10, 9, 0, 1]",0.489,0.592,0.417,1,"[10, 8, 0, 2]",0.5,0.011,0.588,0.014,0.436,0.024
200,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.517,0.556,0.483,1,"[10, 8, 0, 2]",0.491,0.573,0.43,1,"[10, 4, 0, 6]",0.48,0.555,0.423,1,"[9, 6, 1, 4]",0.496,0.016,0.561,0.008,0.445,0.027
220,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.53,0.587,0.483,1,"[9, 6, 1, 4]",0.532,0.607,0.473,1,"[9, 5, 1, 5]",0.5,0.597,0.43,1,"[10, 7, 0, 3]",0.521,0.015,0.597,0.008,0.462,0.023
240,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.472,0.568,0.403,1,"[10, 8, 0, 2]",0.533,0.6,0.48,1,"[9, 5, 1, 5]",0.509,0.623,0.43,1,"[10, 5, 0, 5]",0.505,0.025,0.597,0.023,0.438,0.032
260,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.518,0.618,0.447,1,"[8, 6, 2, 4]",0.498,0.574,0.44,1,"[9, 8, 1, 2]",0.485,0.615,0.4,1,"[10, 3, 0, 7]",0.5,0.014,0.602,0.02,0.429,0.021
280,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.479,0.604,0.397,1,"[9, 6, 1, 4]",0.492,0.615,0.41,1,"[9, 6, 1, 4]",0.519,0.614,0.45,1,"[9, 7, 1, 3]",0.497,0.017,0.611,0.005,0.419,0.023
300,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.528,0.597,0.473,1,"[10, 5, 0, 5]",0.514,0.606,0.447,1,"[10, 7, 0, 3]",0.495,0.584,0.43,1,"[9, 6, 1, 4]",0.512,0.014,0.596,0.009,0.45,0.018
320,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.547,0.591,0.51,1,"[10, 5, 0, 5]",0.53,0.614,0.467,1,"[9, 6, 1, 4]",0.516,0.563,0.477,1,"[10, 7, 0, 3]",0.531,0.013,0.589,0.021,0.485,0.018
340,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.512,0.665,0.417,1,"[10, 7, 0, 3]",0.55,0.606,0.503,1,"[9, 5, 1, 5]",0.51,0.584,0.453,1,"[8, 7, 2, 3]",0.524,0.018,0.618,0.034,0.458,0.035
360,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.523,0.636,0.443,1,"[9, 5, 1, 5]",0.534,0.663,0.447,1,"[9, 2, 1, 8]",0.491,0.652,0.393,1,"[10, 9, 0, 1]",0.516,0.018,0.65,0.011,0.428,0.025
380,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.523,0.692,0.42,1,"[9, 5, 1, 5]",0.533,0.626,0.463,1,"[10, 6, 0, 4]",0.485,0.631,0.393,1,"[10, 6, 0, 4]",0.514,0.021,0.65,0.03,0.425,0.029
400,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.522,0.665,0.43,1,"[10, 2, 0, 8]",0.529,0.643,0.45,1,"[10, 2, 0, 8]",0.488,0.61,0.407,1,"[10, 5, 0, 5]",0.513,0.018,0.639,0.023,0.429,0.018
420,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.512,0.648,0.423,1,"[10, 2, 0, 8]",0.556,0.668,0.477,1,"[10, 5, 0, 5]",0.517,0.57,0.473,1,"[10, 5, 0, 5]",0.528,0.02,0.629,0.042,0.458,0.025
440,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.549,0.636,0.483,1,"[9, 1, 1, 9]",0.543,0.71,0.44,1,"[9, 2, 1, 8]",0.524,0.639,0.443,1,"[8, 8, 2, 2]",0.539,0.011,0.662,0.034,0.455,0.02
460,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.582,0.64,0.533,1,"[10, 5, 0, 5]",0.57,0.668,0.497,1,"[4, 1, 6, 9]",0.524,0.602,0.463,1,"[9, 8, 1, 2]",0.559,0.025,0.637,0.027,0.498,0.029
480,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.571,0.634,0.52,1,"[9, 4, 1, 6]",0.575,0.726,0.477,1,"[9, 2, 1, 8]",0.534,0.535,0.533,1,"[9, 5, 1, 5]",0.56,0.018,0.632,0.078,0.51,0.024
500,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.558,0.62,0.507,1,"[10, 4, 0, 6]",0.587,0.609,0.567,1,"[10, 2, 0, 8]",0.549,0.675,0.463,1,"[10, 6, 0, 4]",0.565,0.016,0.635,0.029,0.512,0.043
520,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.569,0.719,0.47,1,"[10, 3, 0, 7]",0.555,0.658,0.48,1,"[10, 7, 0, 3]",0.516,0.716,0.403,1,"[10, 1, 0, 9]",0.547,0.022,0.698,0.028,0.451,0.034
540,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.559,0.706,0.463,1,"[10, 2, 0, 8]",0.564,0.643,0.503,1,"[10, 8, 0, 2]",0.563,0.674,0.483,1,"[9, 3, 1, 7]",0.562,0.002,0.674,0.026,0.483,0.016
560,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.553,0.68,0.467,1,"[9, 2, 1, 8]",0.584,0.656,0.527,1,"[10, 5, 0, 5]",0.538,0.616,0.477,1,"[9, 1, 1, 9]",0.558,0.019,0.651,0.026,0.49,0.026
580,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.562,0.671,0.483,1,"[8, 2, 2, 8]",0.589,0.674,0.523,1,"[8, 6, 2, 4]",0.565,0.694,0.477,1,"[9, 4, 1, 6]",0.572,0.012,0.68,0.01,0.494,0.02
600,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.559,0.608,0.517,1,"[9, 3, 1, 7]",0.6,0.687,0.533,1,"[9, 7, 1, 3]",0.557,0.652,0.487,1,"[9, 2, 1, 8]",0.572,0.02,0.649,0.032,0.512,0.019
620,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.562,0.698,0.47,1,"[10, 7, 0, 3]",0.607,0.692,0.54,1,"[10, 2, 0, 8]",0.571,0.638,0.517,1,"[10, 1, 0, 9]",0.58,0.019,0.676,0.027,0.509,0.029
640,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.588,0.683,0.517,1,"[9, 2, 1, 8]",0.595,0.684,0.527,1,"[9, 1, 1, 9]",0.54,0.667,0.453,1,"[10, 3, 0, 7]",0.574,0.024,0.678,0.008,0.499,0.033
660,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.571,0.684,0.49,1,"[10, 1, 0, 9]",0.594,0.681,0.527,1,"[10, 3, 0, 7]",0.576,0.7,0.49,1,"[10, 5, 0, 5]",0.58,0.01,0.688,0.008,0.502,0.017
680,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.601,0.624,0.58,1,"[10, 4, 0, 6]",0.599,0.746,0.5,1,"[10, 4, 0, 6]",0.57,0.668,0.497,1,"[9, 3, 1, 7]",0.59,0.014,0.679,0.05,0.526,0.038
700,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.594,0.565,0.627,1,"[9, 5, 1, 5]",0.604,0.714,0.523,1,"[8, 0, 2, 10]",0.57,0.668,0.497,1,"[10, 3, 0, 7]",0.589,0.014,0.649,0.062,0.549,0.056
720,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.604,0.714,0.523,1,"[10, 9, 0, 1]",0.602,0.669,0.547,1,"[9, 0, 1, 10]",0.556,0.673,0.473,1,"[9, 4, 1, 6]",0.587,0.022,0.685,0.02,0.514,0.031
740,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.589,0.723,0.497,1,"[10, 3, 0, 7]",0.605,0.717,0.523,1,"[10, 4, 0, 6]",0.575,0.632,0.527,1,"[10, 2, 0, 8]",0.59,0.012,0.691,0.042,0.516,0.013
760,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.585,0.6,0.57,1,"[9, 2, 1, 8]",0.629,0.713,0.563,1,"[10, 0, 0, 10]",0.587,0.668,0.523,1,"[9, 3, 1, 7]",0.6,0.02,0.66,0.046,0.552,0.021
780,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.59,0.654,0.537,1,"[10, 6, 0, 4]",0.613,0.663,0.57,1,"[9, 0, 1, 10]",0.589,0.691,0.513,1,"[10, 3, 0, 7]",0.597,0.011,0.669,0.016,0.54,0.023
800,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.615,0.714,0.54,1,"[10, 3, 0, 7]",0.629,0.748,0.543,1,"[10, 2, 0, 8]",0.588,0.683,0.517,1,"[10, 2, 0, 8]",0.611,0.017,0.715,0.027,0.533,0.012
820,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.599,0.654,0.553,1,"[10, 3, 0, 7]",0.63,0.658,0.603,1,"[10, 3, 0, 7]",0.596,0.66,0.543,1,"[9, 3, 1, 7]",0.608,0.015,0.657,0.002,0.566,0.026
840,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.604,0.675,0.547,1,"[9, 1, 1, 9]",0.618,0.689,0.56,1,"[8, 3, 2, 7]",0.587,0.601,0.573,1,"[10, 6, 0, 4]",0.603,0.013,0.655,0.039,0.56,0.011
860,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.625,0.734,0.543,1,"[10, 0, 0, 10]",0.632,0.649,0.617,1,"[8, 2, 2, 8]",0.588,0.706,0.503,1,"[10, 5, 0, 5]",0.615,0.019,0.696,0.035,0.554,0.047
880,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.614,0.665,0.57,1,"[10, 1, 0, 9]",0.631,0.698,0.577,1,"[10, 4, 0, 6]",0.613,0.703,0.543,1,"[10, 2, 0, 8]",0.619,0.008,0.689,0.017,0.563,0.015
900,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.608,0.656,0.567,1,"[9, 1, 1, 9]",0.615,0.687,0.557,1,"[10, 0, 0, 10]",0.591,0.672,0.527,1,"[10, 2, 0, 8]",0.605,0.01,0.672,0.013,0.55,0.017
920,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.62,0.679,0.57,1,"[9, 0, 1, 10]",0.637,0.732,0.563,1,"[9, 1, 1, 9]",0.596,0.646,0.553,1,"[10, 3, 0, 7]",0.618,0.017,0.686,0.035,0.562,0.007
940,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.618,0.7,0.553,1,"[10, 0, 0, 10]",0.643,0.656,0.63,1,"[8, 4, 2, 6]",0.609,0.721,0.527,1,"[9, 2, 1, 8]",0.623,0.014,0.692,0.027,0.57,0.044
960,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.64,0.673,0.61,1,"[9, 0, 1, 10]",0.64,0.713,0.58,1,"[10, 9, 0, 1]",0.631,0.698,0.577,1,"[10, 2, 0, 8]",0.637,0.004,0.695,0.016,0.589,0.015
980,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.645,0.698,0.6,1,"[10, 2, 0, 8]",0.639,0.706,0.583,1,"[10, 5, 0, 0]",0.647,0.736,0.577,1,"[10, 1, 0, 9]",0.644,0.003,0.713,0.016,0.587,0.01
1000,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.629,0.669,0.593,1,"[10, 0, 0, 10]",0.613,0.677,0.56,1,"[10, 7, 0, 3]",0.606,0.655,0.563,1,"[9, 0, 1, 10]",0.616,0.01,0.667,0.009,0.572,0.015
