labeled set size;Dataset;Initialization Method;Transfer Learning Dataset;AL Runs;Sampling Size;Attribute Summarizer;Attribute Comparator;Embeddings;Epochs;Batch Size;LR Decay;Data Augmentation;High.Conf.LS;DA Threshold;Run 1: f1;Run 1: precision;Run 1: recall;Run 1: pos_neg_ratio;Run 1: da labels;Run 2: f1;Run 2: precision;Run 2: recall;Run 2: pos_neg_ratio;Run 2: da labels;Run 3: f1;Run 3: precision;Run 3: recall;Run 3: pos_neg_ratio;Run 3: da labels;F1 Mean;F1 Std;Precision Mean;Precision Std;Recall Mean;Recall Std
20;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.273;0.158;0.998;1;[0, 5, 0, 149];0.336;0.204;0.947;1;[0, 10, 0, 266];0.289;0.171;0.919;1;[0, 2, 0, 150];0.299;0.027;0.178;0.019;0.955;0.033
40;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.244;0.156;0.554;2;[0, 2, 0, 0];0.307;0.211;0.565;2;[0, 8, 0, 11];0.3;0.217;0.49;2;[0, 3, 0, 3];0.284;0.028;0.195;0.027;0.536;0.033
60;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.287;0.17;0.908;4;[0, 0, 0, 0];0.271;0.157;0.989;14;[0, 0, 0, 0];0.171;0.789;0.096;2;[0, 0, 0, 0];0.243;0.051;0.372;0.295;0.664;0.403
80;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.263;0.168;0.597;5;[0, 0, 0, 0];0.448;0.404;0.503;3;[0, 0, 0, 0];0.186;0.725;0.107;1;[0, 0, 0, 0];0.299;0.11;0.432;0.228;0.402;0.212
100;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.335;0.214;0.772;5;[0, 0, 0, 0];0.441;0.516;0.386;2;[0, 0, 0, 0];0.436;0.431;0.441;1;[0, 0, 0, 0];0.404;0.049;0.387;0.127;0.533;0.17
120;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.479;0.349;0.763;4;[0, 0, 0, 0];0.533;0.572;0.499;2;[0, 0, 0, 0];0.404;0.747;0.277;1;[0, 0, 0, 0];0.472;0.053;0.556;0.163;0.513;0.199
140;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.541;0.421;0.757;4;[0, 0, 0, 0];0.529;0.516;0.542;2;[0, 0, 0, 0];0.62;0.642;0.599;1;[0, 0, 0, 0];0.563;0.04;0.526;0.091;0.633;0.091
160;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.53;0.41;0.748;4;[0, 0, 0, 0];0.562;0.514;0.62;2;[2, 0, 0, 0];0.57;0.449;0.78;2;[48, 0, 0, 0];0.554;0.017;0.458;0.043;0.716;0.069
180;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.548;0.451;0.699;4;[0, 0, 0, 0];0.58;0.51;0.674;2;[2, 1, 0, 7];0.639;0.567;0.733;1;[0, 1, 0, 4];0.589;0.038;0.509;0.047;0.702;0.024
200;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.603;0.649;0.563;3;[0, 0, 0, 0];0.625;0.579;0.678;1;[1, 10, 0, 19];0.592;0.461;0.827;3;[108, 1, 0, 4];0.607;0.014;0.563;0.078;0.689;0.108
220;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.62;0.687;0.565;3;[0, 0, 0, 0];0.628;0.56;0.714;4;[160, 0, 0, 3];0.646;0.611;0.684;1;[0, 20, 0, 22];0.631;0.011;0.619;0.052;0.654;0.064
240;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.636;0.562;0.731;3;[0, 0, 0, 0];0.635;0.613;0.659;2;[0, 2, 0, 9];0.635;0.539;0.772;3;[124, 8, 0, 6];0.635;0.0;0.571;0.031;0.721;0.047
260;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.633;0.635;0.631;3;[17, 0, 0, 0];0.632;0.605;0.661;2;[4, 1, 0, 7];0.713;0.716;0.71;1;[0, 2, 0, 16];0.659;0.038;0.652;0.047;0.667;0.033
280;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.66;0.598;0.736;3;[5, 0, 0, 0];0.658;0.651;0.665;2;[1, 1, 0, 6];0.607;0.459;0.898;9;[940, 3, 0, 11];0.642;0.025;0.569;0.081;0.766;0.098
300;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.679;0.581;0.814;3;[0, 0, 0, 0];0.641;0.613;0.672;2;[13, 3, 0, 18];0.706;0.626;0.808;1;[0, 14, 0, 72];0.675;0.027;0.607;0.019;0.765;0.066
320;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.709;0.678;0.744;3;[5, 0, 0, 1];0.67;0.672;0.667;2;[3, 2, 0, 14];0.672;0.594;0.772;3;[77, 0, 0, 1];0.684;0.018;0.648;0.038;0.728;0.044
340;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.709;0.641;0.793;3;[24, 0, 0, 1];0.676;0.653;0.699;2;[5, 0, 0, 5];0.744;0.713;0.778;2;[0, 0, 0, 3];0.71;0.028;0.669;0.031;0.757;0.041
360;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.721;0.679;0.77;2;[0, 0, 0, 2];0.724;0.705;0.744;2;[4, 1, 0, 15];0.723;0.69;0.759;2;[100, 2, 0, 36];0.723;0.001;0.691;0.011;0.758;0.011
380;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.68;0.625;0.744;6;[437, 0, 0, 2];0.713;0.773;0.661;2;[6, 0, 0, 7];0.74;0.634;0.889;2;[0, 2, 0, 2];0.711;0.025;0.677;0.068;0.765;0.094
400;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.692;0.68;0.704;2;[0, 9, 0, 7];0.736;0.707;0.768;2;[3, 0, 0, 8];0.752;0.727;0.778;2;[2, 0, 0, 4];0.727;0.025;0.705;0.019;0.75;0.033
420;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.72;0.687;0.757;2;[12, 11, 0, 7];0.762;0.746;0.778;2;[10, 0, 0, 11];0.771;0.73;0.817;2;[5, 0, 0, 15];0.751;0.022;0.721;0.025;0.784;0.025
440;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.721;0.671;0.778;2;[15, 19, 0, 9];0.757;0.747;0.768;2;[3, 0, 0, 9];0.764;0.756;0.772;2;[19, 0, 0, 17];0.747;0.019;0.725;0.038;0.773;0.004
460;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.731;0.646;0.842;2;[2, 11, 0, 1];0.762;0.77;0.755;2;[15, 0, 0, 6];0.769;0.729;0.814;2;[2, 0, 0, 6];0.754;0.017;0.715;0.052;0.804;0.036
480;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.728;0.711;0.746;2;[79, 14, 0, 3];0.77;0.758;0.783;2;[3, 1, 0, 11];0.745;0.739;0.751;2;[40, 1, 0, 14];0.748;0.017;0.736;0.019;0.76;0.016
500;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.79;0.738;0.851;2;[0, 0, 0, 0];0.773;0.783;0.763;2;[22, 0, 0, 11];0.795;0.756;0.838;2;[58, 4, 0, 42];0.786;0.009;0.759;0.018;0.817;0.039
520;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.773;0.842;0.714;2;[58, 0, 0, 0];0.769;0.776;0.761;2;[0, 0, 0, 13];0.779;0.78;0.778;2;[0, 1, 0, 9];0.774;0.004;0.799;0.03;0.751;0.027
540;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.779;0.743;0.819;2;[0, 0, 0, 5];0.733;0.764;0.704;2;[64, 0, 0, 5];0.784;0.756;0.814;2;[70, 1, 0, 13];0.765;0.023;0.754;0.009;0.779;0.053
560;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.795;0.765;0.827;2;[5, 0, 0, 2];0.763;0.73;0.8;2;[0, 0, 0, 12];0.794;0.851;0.744;1;[1, 2, 0, 64];0.784;0.015;0.782;0.051;0.79;0.035
580;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.829;0.847;0.812;2;[3, 0, 0, 1];0.788;0.804;0.772;2;[24, 0, 0, 15];0.722;0.656;0.802;8;[1400, 0, 0, 0];0.78;0.044;0.769;0.082;0.795;0.017
600;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.773;0.78;0.765;2;[47, 0, 0, 1];0.812;0.818;0.806;2;[0, 0, 0, 10];0.796;0.873;0.731;1;[0, 12, 0, 134];0.794;0.016;0.824;0.038;0.767;0.031
620;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.809;0.745;0.885;2;[0, 0, 0, 1];0.798;0.865;0.74;2;[64, 0, 0, 9];0.75;0.692;0.819;9;[1580, 0, 0, 0];0.786;0.026;0.767;0.072;0.815;0.059
640;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.783;0.843;0.731;2;[45, 0, 0, 10];0.822;0.795;0.851;2;[0, 0, 0, 2];0.808;0.846;0.774;1;[0, 10, 0, 117];0.804;0.016;0.828;0.023;0.785;0.05
660;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.795;0.792;0.797;2;[0, 0, 0, 0];0.796;0.831;0.763;2;[36, 0, 0, 7];0.785;0.779;0.791;4;[681, 0, 0, 1];0.792;0.005;0.801;0.022;0.784;0.015
680;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.81;0.771;0.853;2;[0, 0, 0, 3];0.834;0.828;0.84;2;[0, 0, 0, 8];0.831;0.869;0.795;1;[0, 3, 0, 71];0.825;0.011;0.823;0.04;0.829;0.025
700;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.816;0.835;0.797;2;[10, 0, 0, 4];0.846;0.866;0.827;2;[19, 0, 0, 2];0.769;0.764;0.774;5;[742, 0, 0, 0];0.81;0.032;0.822;0.043;0.799;0.022
720;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.813;0.869;0.763;2;[0, 0, 0, 0];0.821;0.805;0.838;2;[4, 0, 0, 7];0.831;0.852;0.81;1;[0, 2, 0, 54];0.822;0.007;0.842;0.027;0.804;0.031
740;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.745;0.731;0.759;3;[276, 0, 0, 1];0.814;0.841;0.789;2;[67, 0, 0, 24];0.799;0.742;0.866;7;[1316, 0, 1, 0];0.786;0.03;0.771;0.049;0.805;0.045
760;dbpedia_dnb;Transfer Learning;dbpedia_viaf;50;20;rnn;abs-diff;fasttext.en.bin;20;20;0.8;True;False;0.99;0.835;0.833;0.838;2;[0, 0, 0, 20];0.853;0.861;0.844;2;[0, 0, 0, 22];0.858;0.853;0.864;1;[0, 4, 0, 93];0.849;0.01;0.849;0.012;0.849;0.011
