labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.112,0.933,0.06,2,"[10, 0, 0, 10]",0.033,0.727,0.017,1,"[10, 0, 0, 10]",0.298,0.209,0.516,1,"[10, 0, 0, 10]",0.148,0.111,0.623,0.305,0.198,0.226
40,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.425,0.418,0.433,1,"[10, 3, 0, 7]",0.405,0.317,0.559,1,"[9, 2, 1, 8]",0.372,0.302,0.486,1,"[9, 4, 1, 6]",0.401,0.022,0.346,0.052,0.493,0.052
60,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.378,0.471,0.316,1,"[10, 1, 0, 9]",0.456,0.482,0.433,1,"[10, 0, 0, 10]",0.446,0.386,0.529,1,"[10, 4, 0, 6]",0.427,0.035,0.446,0.043,0.426,0.087
80,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.512,0.492,0.533,1,"[10, 1, 0, 9]",0.524,0.559,0.493,1,"[10, 0, 0, 10]",0.504,0.463,0.554,1,"[10, 0, 0, 10]",0.513,0.008,0.505,0.04,0.527,0.025
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.527,0.523,0.531,1,"[10, 0, 0, 10]",0.545,0.564,0.527,1,"[10, 3, 0, 7]",0.53,0.486,0.582,1,"[10, 0, 0, 10]",0.534,0.008,0.524,0.032,0.547,0.025
120,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.557,0.498,0.631,1,"[10, 0, 0, 10]",0.549,0.497,0.614,1,"[10, 6, 0, 4]",0.59,0.562,0.623,1,"[10, 0, 0, 10]",0.565,0.018,0.519,0.03,0.623,0.007
140,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.589,0.552,0.631,1,"[10, 1, 0, 9]",0.545,0.533,0.559,1,"[9, 1, 1, 9]",0.576,0.57,0.582,1,"[10, 0, 0, 10]",0.57,0.018,0.552,0.015,0.591,0.03
160,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.626,0.584,0.674,1,"[10, 1, 0, 9]",0.564,0.565,0.563,1,"[10, 7, 0, 3]",0.595,0.608,0.582,1,"[10, 0, 0, 10]",0.595,0.025,0.586,0.018,0.606,0.048
180,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.64,0.608,0.676,1,"[10, 0, 0, 10]",0.592,0.593,0.591,1,"[10, 1, 0, 9]",0.635,0.62,0.65,1,"[10, 2, 0, 8]",0.622,0.022,0.607,0.011,0.639,0.036
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.688,0.697,0.68,1,"[10, 1, 0, 9]",0.579,0.608,0.552,1,"[10, 2, 0, 8]",0.623,0.6,0.648,1,"[10, 5, 0, 5]",0.63,0.045,0.635,0.044,0.627,0.054
220,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.677,0.709,0.648,1,"[10, 0, 0, 10]",0.626,0.647,0.606,1,"[10, 3, 0, 7]",0.637,0.658,0.616,1,"[10, 4, 0, 6]",0.647,0.022,0.671,0.027,0.623,0.018
