labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.275,0.16,0.998,2,0.271,0.157,0.962,6,0.243,0.2,0.309,2,0.263,0.017,0.172,0.024,0.756,0.388
40,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.288,0.173,0.844,4,0.317,0.19,0.951,7,0.286,0.192,0.561,4,0.297,0.017,0.185,0.01,0.785,0.202
60,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.302,0.189,0.746,5,0.396,0.269,0.748,5,0.353,0.382,0.328,4,0.35,0.047,0.28,0.097,0.607,0.242
80,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.369,0.233,0.885,5,0.481,0.351,0.763,5,0.423,0.39,0.463,4,0.424,0.056,0.325,0.082,0.704,0.217
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.419,0.29,0.753,5,0.549,0.676,0.463,5,0.475,0.416,0.552,5,0.481,0.065,0.461,0.197,0.589,0.149
120,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.421,0.301,0.699,5,0.575,0.527,0.633,4,0.518,0.535,0.501,4,0.505,0.078,0.454,0.133,0.611,0.101
140,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.461,0.35,0.676,4,0.549,0.52,0.582,3,0.564,0.483,0.676,4,0.525,0.056,0.451,0.089,0.645,0.054
160,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.569,0.464,0.736,4,0.55,0.562,0.537,3,0.594,0.552,0.642,3,0.571,0.022,0.526,0.054,0.638,0.1
180,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.622,0.579,0.672,4,0.623,0.607,0.64,3,0.619,0.524,0.755,4,0.621,0.002,0.57,0.042,0.689,0.059
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.587,0.489,0.733,4,0.585,0.581,0.588,3,0.614,0.549,0.697,3,0.595,0.016,0.54,0.047,0.673,0.076
220,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.643,0.607,0.682,3,0.632,0.683,0.588,3,0.679,0.617,0.755,3,0.651,0.025,0.636,0.041,0.675,0.084
240,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.619,0.545,0.716,4,0.695,0.673,0.719,3,0.682,0.644,0.725,3,0.665,0.041,0.621,0.067,0.72,0.005
260,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.641,0.601,0.687,4,0.657,0.602,0.723,2,0.702,0.645,0.77,3,0.667,0.032,0.616,0.025,0.727,0.042
280,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.669,0.659,0.68,3,0.675,0.609,0.757,2,0.703,0.683,0.723,3,0.682,0.018,0.65,0.038,0.72,0.039
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.704,0.681,0.729,3,0.71,0.742,0.68,2,0.72,0.685,0.759,3,0.711,0.008,0.703,0.034,0.723,0.04
320,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.699,0.656,0.748,3,0.72,0.674,0.772,2,0.719,0.644,0.814,3,0.713,0.012,0.658,0.015,0.778,0.033
340,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.724,0.695,0.757,3,0.716,0.666,0.774,2,0.689,0.663,0.716,3,0.71,0.018,0.675,0.018,0.749,0.03
360,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.734,0.698,0.774,3,0.734,0.708,0.763,2,0.757,0.735,0.78,3,0.742,0.013,0.714,0.019,0.772,0.009
380,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.733,0.69,0.783,3,0.727,0.684,0.776,2,0.729,0.747,0.712,3,0.73,0.003,0.707,0.035,0.757,0.039
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.743,0.729,0.757,3,0.747,0.738,0.757,2,0.75,0.769,0.731,2,0.747,0.004,0.745,0.021,0.748,0.015
420,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.75,0.724,0.778,3,0.736,0.718,0.755,2,0.764,0.777,0.751,2,0.75,0.014,0.74,0.032,0.761,0.015
440,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.744,0.738,0.751,3,0.751,0.704,0.806,2,0.757,0.724,0.793,2,0.751,0.007,0.722,0.017,0.783,0.029
460,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.757,0.756,0.759,2,0.733,0.728,0.738,2,0.773,0.722,0.832,2,0.754,0.02,0.735,0.018,0.776,0.049
480,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.753,0.752,0.755,2,0.777,0.789,0.765,2,0.755,0.8,0.714,2,0.762,0.013,0.78,0.025,0.745,0.027
