labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.365,0.305,0.453,2,0.269,0.164,0.745,2,0.152,0.29,0.103,2,0.262,0.107,0.253,0.077,0.434,0.321
40,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.408,0.315,0.579,3,0.184,0.61,0.108,3,0.308,0.46,0.232,2,0.3,0.112,0.462,0.148,0.306,0.244
60,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.545,0.586,0.509,2,0.464,0.398,0.555,2,0.31,0.57,0.213,3,0.44,0.119,0.518,0.104,0.426,0.186
80,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.528,0.515,0.541,2,0.474,0.599,0.393,2,0.202,0.758,0.117,2,0.401,0.175,0.624,0.123,0.35,0.215
100,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.557,0.457,0.712,2,0.496,0.47,0.525,2,0.148,0.814,0.081,1,0.4,0.221,0.58,0.202,0.439,0.324
120,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.607,0.621,0.594,2,0.541,0.659,0.459,2,0.277,0.732,0.171,1,0.475,0.175,0.671,0.056,0.408,0.216
140,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.608,0.56,0.665,2,0.605,0.593,0.618,2,0.501,0.69,0.393,1,0.571,0.061,0.614,0.068,0.559,0.145
160,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.644,0.611,0.682,2,0.583,0.574,0.592,2,0.577,0.646,0.521,1,0.601,0.037,0.61,0.036,0.598,0.081
180,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.651,0.701,0.607,2,0.637,0.598,0.682,2,0.67,0.674,0.665,1,0.653,0.017,0.658,0.053,0.651,0.039
200,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.65,0.596,0.714,2,0.692,0.784,0.619,2,0.718,0.732,0.704,1,0.687,0.034,0.704,0.097,0.679,0.052
220,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.678,0.621,0.746,2,0.679,0.672,0.687,2,0.68,0.675,0.685,1,0.679,0.001,0.656,0.03,0.706,0.035
240,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.711,0.805,0.636,2,0.715,0.65,0.795,2,0.723,0.654,0.807,1,0.716,0.006,0.703,0.088,0.746,0.095
260,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.698,0.601,0.832,2,0.696,0.658,0.739,2,0.757,0.734,0.782,1,0.717,0.035,0.664,0.067,0.784,0.047
280,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.753,0.71,0.8,2,0.715,0.704,0.728,2,0.776,0.758,0.795,1,0.748,0.031,0.724,0.03,0.774,0.04
300,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.757,0.718,0.8,2,0.747,0.668,0.846,2,0.803,0.862,0.751,1,0.769,0.03,0.749,0.101,0.799,0.048
320,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.738,0.681,0.805,2,0.773,0.708,0.851,2,0.793,0.797,0.788,1,0.768,0.028,0.729,0.061,0.815,0.033
340,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.772,0.776,0.768,2,0.727,0.679,0.782,2,0.798,0.849,0.753,1,0.766,0.036,0.768,0.085,0.768,0.015
