labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.304,0.18,0.997,1,"[0, 3, 0, 377]",0.279,0.162,1.0,1,"[0, 0, 0, 22]",0.317,0.188,1.0,1,"[0, 2, 0, 318]",0.3,0.019,0.177,0.013,0.999,0.002
40,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.347,0.252,0.557,3,"[0, 0, 0, 0]",0.274,0.171,0.697,1,"[0, 0, 0, 0]",0.04,1.0,0.02,1,"[0, 0, 0, 0]",0.22,0.16,0.474,0.457,0.425,0.357
60,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.384,0.307,0.513,3,"[0, 0, 0, 0]",0.402,0.405,0.399,1,"[0, 0, 0, 0]",0.35,0.255,0.56,1,"[0, 0, 0, 0]",0.379,0.026,0.322,0.076,0.491,0.083
80,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.437,0.528,0.372,3,"[0, 0, 0, 0]",0.099,0.816,0.052,1,"[0, 0, 0, 0]",0.423,0.392,0.459,1,"[0, 0, 0, 0]",0.32,0.191,0.579,0.216,0.294,0.214
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.474,0.388,0.607,2,"[0, 0, 0, 0]",0.146,0.904,0.08,1,"[1, 0, 0, 0]",0.355,0.863,0.223,1,"[17, 0, 0, 0]",0.325,0.166,0.718,0.287,0.303,0.273
120,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.477,0.483,0.47,2,"[0, 0, 0, 0]",0.486,0.48,0.492,1,"[3, 0, 0, 0]",0.463,0.443,0.486,1,"[0, 0, 0, 0]",0.475,0.012,0.469,0.022,0.483,0.011
140,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.527,0.43,0.682,2,"[0, 0, 0, 0]",0.482,0.353,0.763,3,"[97, 0, 0, 0]",0.417,0.311,0.633,5,"[248, 0, 0, 0]",0.475,0.055,0.365,0.06,0.693,0.066
160,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.595,0.55,0.648,2,"[0, 4, 0, 0]",0.517,0.688,0.415,1,"[0, 0, 0, 0]",0.519,0.452,0.611,1,"[0, 15, 0, 30]",0.544,0.044,0.563,0.119,0.558,0.125
180,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.578,0.527,0.64,2,"[0, 7, 0, 2]",0.541,0.489,0.606,4,"[208, 0, 0, 0]",0.493,0.398,0.646,5,"[298, 1, 2, 6]",0.537,0.043,0.471,0.066,0.631,0.022
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.621,0.539,0.731,2,"[7, 9, 0, 2]",0.571,0.484,0.695,1,"[0, 10, 0, 30]",0.586,0.501,0.707,1,"[0, 18, 0, 58]",0.593,0.026,0.508,0.028,0.711,0.018
220,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.687,0.609,0.788,2,"[0, 1, 0, 0]",0.577,0.517,0.653,6,"[409, 1, 0, 4]",0.579,0.479,0.734,7,"[520, 0, 1, 1]",0.614,0.063,0.535,0.067,0.725,0.068
240,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.673,0.589,0.785,2,"[2, 3, 0, 1]",0.597,0.55,0.653,1,"[0, 11, 0, 66]",0.652,0.59,0.729,1,"[0, 4, 0, 57]",0.641,0.039,0.576,0.023,0.722,0.066
260,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.683,0.639,0.734,2,"[1, 3, 0, 1]",0.613,0.517,0.753,6,"[500, 2, 0, 18]",0.574,0.496,0.682,9,"[765, 0, 0, 8]",0.623,0.055,0.551,0.077,0.723,0.037
280,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.72,0.651,0.805,2,"[3, 2, 0, 1]",0.724,0.662,0.797,1,"[0, 26, 0, 75]",0.683,0.688,0.679,1,"[0, 41, 0, 132]",0.709,0.023,0.667,0.019,0.76,0.071
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.706,0.641,0.785,2,"[0, 2, 0, 8]",0.658,0.586,0.75,8,"[667, 1, 0, 3]",0.514,0.359,0.905,17,"[1629, 0, 2, 0]",0.626,0.1,0.529,0.149,0.813,0.081
320,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.719,0.671,0.775,2,"[1, 1, 0, 4]",0.759,0.748,0.772,1,"[0, 6, 0, 79]",0.735,0.659,0.832,1,"[0, 13, 0, 204]",0.738,0.02,0.693,0.048,0.793,0.034
340,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.752,0.704,0.807,2,"[2, 0, 0, 10]",0.691,0.64,0.751,9,"[814, 0, 0, 2]",0.658,0.557,0.804,8,"[636, 0, 0, 0]",0.7,0.048,0.634,0.074,0.787,0.032
360,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.67,0.623,0.724,1,"[26, 16, 0, 57]",0.789,0.813,0.766,1,"[0, 7, 0, 65]",0.779,0.741,0.822,1,"[0, 9, 0, 124]",0.746,0.066,0.726,0.096,0.771,0.049
380,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.734,0.663,0.821,3,"[117, 6, 0, 6]",0.702,0.713,0.692,7,"[613, 0, 0, 1]",0.748,0.688,0.821,10,"[978, 1, 0, 3]",0.728,0.024,0.688,0.025,0.778,0.074
