labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.301,0.554,0.207,2,"[10, 5, 0, 5]",0.321,0.312,0.33,2,"[10, 3, 0, 7]",0.472,0.459,0.487,3,"[10, 1, 0, 9]",0.365,0.076,0.442,0.1,0.341,0.115
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.411,0.435,0.39,2,"[9, 8, 1, 2]",0.372,0.346,0.403,2,"[10, 10, 0, 0]",0.24,0.6,0.15,2,"[9, 5, 1, 5]",0.341,0.073,0.46,0.105,0.314,0.116
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.304,0.463,0.227,2,"[9, 7, 1, 3]",0.319,0.349,0.293,2,"[10, 6, 0, 4]",0.092,0.6,0.05,1,"[8, 9, 2, 1]",0.238,0.104,0.471,0.103,0.19,0.103
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.368,0.494,0.293,2,"[10, 10, 0, 0]",0.418,0.383,0.46,2,"[9, 10, 1, 0]",0.292,0.5,0.207,1,"[8, 10, 2, 0]",0.359,0.052,0.459,0.054,0.32,0.105
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.205,0.488,0.13,1,"[9, 7, 1, 3]",0.358,0.339,0.38,2,"[10, 9, 0, 1]",0.3,0.456,0.223,1,"[9, 9, 1, 1]",0.288,0.063,0.428,0.064,0.244,0.103
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.339,0.5,0.257,1,"[10, 9, 0, 1]",0.504,0.4,0.68,2,"[10, 7, 0, 3]",0.268,0.475,0.187,1,"[8, 9, 2, 1]",0.37,0.099,0.458,0.042,0.375,0.218
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.141,0.325,0.09,1,"[10, 5, 0, 5]",0.435,0.395,0.483,2,"[10, 8, 0, 2]",0.192,0.48,0.12,1,"[10, 6, 0, 4]",0.256,0.128,0.4,0.063,0.231,0.179
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.249,0.444,0.173,1,"[10, 9, 0, 1]",0.283,0.344,0.24,2,"[10, 5, 0, 5]",0.259,0.378,0.197,1,"[7, 10, 3, 0]",0.264,0.014,0.389,0.042,0.203,0.028
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.32,0.434,0.253,1,"[10, 8, 0, 2]",0.309,0.403,0.25,2,"[10, 7, 0, 3]",0.232,0.421,0.16,1,"[9, 2, 1, 8]",0.287,0.039,0.419,0.013,0.221,0.043
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.335,0.481,0.257,1,"[9, 8, 1, 2]",0.253,0.317,0.21,1,"[10, 8, 0, 2]",0.25,0.448,0.173,1,"[10, 6, 0, 4]",0.279,0.039,0.415,0.071,0.213,0.034
220,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.277,0.514,0.19,1,"[10, 7, 0, 3]",0.311,0.386,0.26,1,"[8, 6, 2, 4]",0.229,0.451,0.153,1,"[10, 5, 0, 5]",0.272,0.034,0.45,0.052,0.201,0.044
240,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.42,0.517,0.353,1,"[10, 4, 0, 6]",0.317,0.399,0.263,1,"[10, 8, 0, 2]",0.287,0.47,0.207,1,"[10, 4, 0, 6]",0.341,0.057,0.462,0.049,0.274,0.06
260,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.315,0.486,0.233,1,"[9, 6, 1, 4]",0.304,0.38,0.253,1,"[10, 7, 0, 3]",0.278,0.389,0.217,1,"[10, 7, 0, 3]",0.299,0.016,0.418,0.048,0.234,0.015
280,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.341,0.536,0.25,1,"[10, 7, 0, 3]",0.313,0.428,0.247,1,"[10, 1, 0, 9]",0.258,0.389,0.193,1,"[10, 10, 0, 0]",0.304,0.034,0.451,0.062,0.23,0.026
300,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.333,0.529,0.243,1,"[10, 8, 0, 2]",0.391,0.424,0.363,1,"[10, 9, 0, 1]",0.312,0.425,0.247,1,"[10, 10, 0, 0]",0.345,0.033,0.459,0.049,0.284,0.056
320,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.345,0.5,0.263,1,"[7, 5, 3, 5]",0.272,0.357,0.22,1,"[9, 6, 1, 4]",0.324,0.422,0.263,1,"[9, 8, 1, 2]",0.314,0.031,0.426,0.058,0.249,0.02
340,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.315,0.486,0.233,1,"[8, 6, 2, 4]",0.315,0.415,0.253,1,"[10, 9, 0, 1]",0.231,0.359,0.17,1,"[9, 7, 1, 3]",0.287,0.04,0.42,0.052,0.219,0.035
360,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.299,0.481,0.217,1,"[10, 9, 0, 1]",0.326,0.438,0.26,1,"[9, 7, 1, 3]",0.347,0.497,0.267,1,"[8, 8, 2, 2]",0.324,0.02,0.472,0.025,0.248,0.022
