labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.503,0.365,0.807,2,"[8, 3, 2, 7]",0.38,0.482,0.313,3,"[10, 5, 0, 5]",0.128,0.206,0.093,2,"[9, 4, 1, 6]",0.337,0.156,0.351,0.113,0.404,0.299
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.459,0.308,0.9,3,"[10, 8, 0, 2]",0.161,0.583,0.093,4,"[8, 7, 2, 3]",0.326,0.296,0.363,3,"[9, 0, 1, 10]",0.315,0.122,0.396,0.133,0.452,0.335
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.437,0.284,0.95,3,"[9, 10, 1, 0]",0.062,0.476,0.033,2,"[9, 7, 1, 3]",0.327,0.315,0.34,3,"[9, 0, 1, 10]",0.275,0.157,0.358,0.084,0.441,0.381
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.449,0.529,0.39,3,"[9, 10, 1, 0]",0.136,0.368,0.083,2,"[10, 7, 0, 3]",0.358,0.383,0.337,3,"[9, 0, 1, 10]",0.314,0.131,0.427,0.073,0.27,0.134
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.468,0.467,0.47,3,"[8, 10, 2, 0]",0.064,0.909,0.033,1,"[10, 7, 0, 3]",0.371,0.336,0.413,3,"[9, 0, 1, 10]",0.301,0.172,0.571,0.245,0.305,0.194
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.526,0.536,0.517,2,"[10, 10, 0, 0]",0.163,0.441,0.1,1,"[10, 7, 0, 3]",0.268,0.475,0.187,2,"[10, 0, 0, 10]",0.319,0.153,0.484,0.039,0.268,0.18
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.439,0.473,0.41,2,"[10, 6, 0, 4]",0.199,0.469,0.127,1,"[8, 7, 2, 3]",0.346,0.352,0.34,2,"[10, 0, 0, 10]",0.328,0.099,0.431,0.056,0.292,0.12
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.497,0.566,0.443,2,"[9, 6, 1, 4]",0.199,0.429,0.13,1,"[10, 7, 0, 3]",0.325,0.345,0.307,2,"[10, 1, 0, 9]",0.34,0.122,0.447,0.091,0.293,0.128
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.475,0.477,0.473,2,"[10, 6, 0, 4]",0.178,0.346,0.12,1,"[9, 7, 1, 3]",0.359,0.463,0.293,2,"[9, 1, 1, 9]",0.337,0.122,0.429,0.059,0.295,0.144
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.542,0.575,0.513,2,"[10, 10, 0, 0]",0.248,0.459,0.17,1,"[8, 7, 2, 3]",0.355,0.427,0.303,2,"[10, 0, 0, 10]",0.382,0.121,0.487,0.064,0.329,0.141
