labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.377,0.266,0.644,6,0.381,0.248,0.822,4,0.264,0.154,0.911,4,0.341,0.054,0.223,0.049,0.792,0.111
40,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.425,0.307,0.689,12,0.386,0.28,0.622,4,0.369,0.6,0.267,2,0.393,0.023,0.396,0.145,0.526,0.185
60,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.385,0.289,0.578,11,0.5,0.392,0.689,4,0.48,0.6,0.4,4,0.455,0.05,0.427,0.129,0.556,0.119
80,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.44,0.307,0.778,12,0.636,0.538,0.778,6,0.667,0.75,0.6,3,0.581,0.101,0.532,0.181,0.719,0.084
100,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.522,0.387,0.8,8,0.722,0.619,0.867,7,0.69,0.714,0.667,3,0.645,0.088,0.573,0.137,0.778,0.083
120,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.521,0.381,0.822,10,0.808,0.712,0.933,6,0.812,0.732,0.911,3,0.714,0.136,0.608,0.161,0.889,0.048
140,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.607,0.481,0.822,9,0.86,0.782,0.956,5,0.901,0.891,0.911,3,0.789,0.13,0.718,0.173,0.896,0.056
160,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.701,0.569,0.911,8,0.887,0.827,0.956,5,0.882,0.854,0.911,3,0.823,0.087,0.75,0.128,0.926,0.021
180,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.709,0.6,0.867,8,0.905,0.86,0.956,5,0.915,0.878,0.956,3,0.843,0.095,0.779,0.127,0.926,0.042
200,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.792,0.689,0.933,8,0.925,0.896,0.956,4,0.871,0.786,0.978,2,0.863,0.055,0.79,0.085,0.956,0.018
