labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.352,0.275,0.489,1,"[0, 8, 0, 6]",0.306,0.189,0.8,1,"[0, 15, 0, 11]",0.419,0.265,1.0,1,"[0, 39, 0, 11]",0.359,0.046,0.243,0.038,0.763,0.21
40,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.405,0.283,0.711,5,"[0, 0, 0, 0]",0.311,0.223,0.511,7,"[0, 0, 0, 0]",0.447,0.304,0.844,13,"[0, 1, 0, 0]",0.388,0.057,0.27,0.034,0.689,0.137
60,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.497,0.356,0.822,4,"[0, 0, 0, 0]",0.413,0.295,0.689,6,"[0, 0, 0, 0]",0.413,0.264,0.956,14,"[0, 0, 0, 0]",0.441,0.04,0.305,0.038,0.822,0.109
80,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.595,0.453,0.867,3,"[0, 0, 0, 0]",0.528,0.412,0.733,5,"[0, 0, 0, 0]",0.43,0.291,0.822,12,"[0, 0, 0, 0]",0.518,0.068,0.385,0.069,0.807,0.056
100,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.496,0.388,0.689,3,"[0, 0, 0, 0]",0.661,0.526,0.889,5,"[0, 0, 0, 0]",0.413,0.271,0.867,16,"[0, 0, 0, 0]",0.523,0.103,0.395,0.104,0.815,0.09
120,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.645,0.513,0.867,2,"[1, 1, 0, 15]",0.635,0.559,0.733,4,"[0, 0, 0, 4]",0.448,0.302,0.867,12,"[0, 0, 0, 0]",0.576,0.091,0.458,0.112,0.822,0.063
140,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.716,0.609,0.867,3,"[2, 0, 0, 1]",0.672,0.549,0.867,3,"[0, 0, 0, 3]",0.44,0.292,0.889,15,"[0, 0, 0, 0]",0.609,0.121,0.483,0.137,0.874,0.01
160,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.757,0.672,0.867,3,"[0, 1, 0, 3]",0.71,0.613,0.844,3,"[0, 0, 0, 6]",0.431,0.277,0.978,15,"[0, 0, 0, 0]",0.633,0.144,0.521,0.174,0.896,0.059
180,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.729,0.629,0.867,4,"[14, 0, 0, 0]",0.748,0.645,0.889,4,"[41, 0, 0, 2]",0.439,0.281,1.0,17,"[0, 0, 0, 0]",0.639,0.141,0.518,0.168,0.919,0.058
200,wdc_headphones,Transfer Learning,wdc_phones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.777,0.69,0.889,3,"[0, 0, 0, 4]",0.766,0.661,0.911,3,"[0, 1, 0, 8]",0.532,0.376,0.911,11,"[0, 2, 0, 5]",0.692,0.113,0.576,0.142,0.904,0.01
