labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.245,0.161,0.511,0,"[0, 0, 0, 0]",0.234,0.147,0.578,0,"[0, 0, 0, 0]",0.206,0.132,0.467,0,"[0, 0, 0, 0]",0.228,0.016,0.147,0.012,0.519,0.046
20,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.351,0.327,0.378,2,"[6, 8, 4, 2]",0.39,0.315,0.511,2,"[9, 9, 1, 1]",0.275,0.169,0.733,2,"[6, 10, 4, 0]",0.339,0.048,0.27,0.072,0.541,0.146
40,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.439,0.346,0.6,2,"[4, 2, 6, 8]",0.509,0.443,0.6,2,"[10, 3, 0, 7]",0.392,0.274,0.689,2,"[4, 5, 6, 5]",0.447,0.048,0.354,0.069,0.63,0.042
60,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.464,0.388,0.578,2,"[5, 3, 5, 7]",0.654,0.565,0.778,2,"[10, 4, 0, 6]",0.48,0.375,0.667,2,"[10, 3, 0, 7]",0.533,0.086,0.443,0.087,0.674,0.082
80,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.566,0.519,0.622,2,"[10, 1, 0, 9]",0.686,0.614,0.778,2,"[10, 1, 0, 9]",0.559,0.452,0.733,2,"[10, 6, 0, 4]",0.604,0.058,0.528,0.066,0.711,0.066
100,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.56,0.509,0.622,2,"[10, 1, 0, 9]",0.755,0.656,0.889,2,"[10, 0, 0, 10]",0.559,0.452,0.733,2,"[10, 3, 0, 7]",0.625,0.092,0.539,0.086,0.748,0.11
120,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.698,0.732,0.667,2,"[10, 0, 0, 10]",0.698,0.607,0.822,2,"[10, 1, 0, 9]",0.593,0.479,0.778,2,"[10, 1, 0, 9]",0.663,0.049,0.606,0.103,0.756,0.065
140,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.761,0.745,0.778,2,"[10, 1, 0, 9]",0.8,0.727,0.889,2,"[10, 1, 0, 9]",0.692,0.61,0.8,2,"[10, 1, 0, 9]",0.751,0.045,0.694,0.06,0.822,0.048
160,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.771,0.725,0.822,2,"[10, 3, 0, 7]",0.743,0.65,0.867,2,"[10, 0, 0, 10]",0.64,0.582,0.711,2,"[10, 0, 0, 10]",0.718,0.056,0.652,0.058,0.8,0.066
176,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.742,0.75,0.733,2,"[10, 5, 0, 1]",0.857,0.792,0.933,2,"[10, 2, 0, 8]",0.75,0.661,0.867,2,"[10, 0, 0, 10]",0.783,0.052,0.734,0.055,0.844,0.083
186,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.756,0.756,0.756,2,"[10, 0, 0, 0]",0.846,0.746,0.978,2,"[10, 0, 0, 10]",0.727,0.615,0.889,2,"[10, 0, 0, 10]",0.776,0.051,0.706,0.064,0.874,0.091
