labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.219,0.163,0.333,2,"[5, 10, 5, 0]",0.206,0.177,0.244,2,"[10, 8, 0, 2]",0.363,0.246,0.689,3,"[10, 8, 0, 2]",0.263,0.071,0.195,0.036,0.422,0.192
40,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.275,0.191,0.489,3,"[7, 10, 3, 0]",0.441,0.341,0.622,2,"[10, 10, 0, 0]",0.397,0.287,0.644,3,"[10, 7, 0, 3]",0.371,0.07,0.273,0.062,0.585,0.068
60,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.524,0.407,0.733,2,"[9, 10, 1, 0]",0.538,0.432,0.711,2,"[10, 10, 0, 0]",0.414,0.3,0.667,4,"[10, 4, 0, 6]",0.492,0.055,0.38,0.057,0.704,0.027
80,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.641,0.494,0.911,2,"[10, 10, 0, 0]",0.632,0.514,0.822,2,"[10, 10, 0, 0]",0.534,0.407,0.778,4,"[10, 4, 0, 6]",0.602,0.048,0.472,0.046,0.837,0.055
100,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.731,0.644,0.844,2,"[10, 6, 0, 4]",0.68,0.635,0.733,2,"[10, 10, 0, 0]",0.661,0.519,0.911,3,"[10, 4, 0, 6]",0.691,0.03,0.599,0.057,0.829,0.073
120,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.768,0.704,0.844,2,"[10, 0, 0, 10]",0.667,0.596,0.756,2,"[10, 10, 0, 0]",0.639,0.514,0.844,4,"[10, 2, 0, 8]",0.691,0.055,0.605,0.078,0.815,0.041
140,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.842,0.8,0.889,2,"[10, 1, 0, 9]",0.704,0.603,0.844,3,"[10, 10, 0, 0]",0.656,0.512,0.911,4,"[10, 2, 0, 8]",0.734,0.079,0.638,0.12,0.881,0.028
160,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.784,0.731,0.844,2,"[10, 1, 0, 9]",0.738,0.655,0.844,2,"[10, 10, 0, 0]",0.635,0.494,0.889,4,"[10, 2, 0, 8]",0.719,0.062,0.627,0.099,0.859,0.021
180,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.833,0.784,0.889,2,"[10, 1, 0, 9]",0.742,0.692,0.8,2,"[10, 10, 0, 0]",0.661,0.552,0.822,4,"[10, 3, 0, 7]",0.745,0.07,0.676,0.095,0.837,0.038
200,wdc_headphones,Transfer Learning,wdc_phones,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.817,0.792,0.844,2,"[10, 2, 0, 8]",0.722,0.673,0.778,2,"[10, 10, 0, 0]",0.654,0.565,0.778,5,"[10, 3, 0, 7]",0.731,0.067,0.677,0.093,0.8,0.031
