labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.269,0.155,1.0,19,0.471,0.378,0.622,4,0.379,0.256,0.733,6,0.373,0.083,0.263,0.091,0.785,0.159
30,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.242,0.146,0.711,14,0.4,0.272,0.756,6,0.384,0.248,0.844,12,0.342,0.071,0.222,0.055,0.77,0.055
50,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.475,0.384,0.622,9,0.422,0.273,0.933,8,0.287,0.167,1.0,19,0.395,0.079,0.275,0.089,0.852,0.165
70,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.567,0.439,0.8,7,0.523,0.37,0.889,6,0.274,0.158,1.0,26,0.455,0.129,0.322,0.12,0.896,0.082
90,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.583,0.451,0.822,8,0.512,0.353,0.933,7,0.27,0.156,1.0,32,0.455,0.134,0.32,0.123,0.918,0.073
110,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.565,0.419,0.867,8,0.53,0.377,0.889,8,0.269,0.155,1.0,37,0.455,0.132,0.317,0.116,0.919,0.058
130,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.678,0.539,0.911,10,0.528,0.364,0.956,9,0.311,0.184,1.0,20,0.506,0.151,0.362,0.145,0.956,0.036
150,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.698,0.543,0.978,12,0.555,0.391,0.956,10,0.303,0.179,1.0,23,0.519,0.163,0.371,0.149,0.978,0.018
170,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.672,0.518,0.956,11,0.518,0.355,0.956,10,0.314,0.186,1.0,26,0.501,0.147,0.353,0.136,0.971,0.021
190,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.672,0.518,0.956,11,0.521,0.358,0.956,10,0.286,0.167,1.0,28,0.493,0.159,0.348,0.143,0.971,0.021
