# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.341 (0.054),0.373 (0.083),0.263 (0.071),0.357 (0.058),0.359 (0.046)
40,0.393 (0.023),0.342 (0.071),0.371 (0.070),0.307 (0.035),0.388 (0.057)
60,0.455 (0.050),0.395 (0.079),0.492 (0.055),0.429 (0.084),0.441 (0.040)
80,0.581 (0.101),0.455 (0.129),0.602 (0.048),0.446 (0.086),0.518 (0.068)
100,0.645 (0.088),0.455 (0.134),0.691 (0.030),0.483 (0.079),0.523 (0.103)
120,0.714 (0.136),0.455 (0.132),0.691 (0.055),0.493 (0.068),0.576 (0.091)
140,0.789 (0.130),0.506 (0.151),0.734 (0.079),0.516 (0.096),0.609 (0.121)
160,0.823 (0.087),0.519 (0.163),0.719 (0.062),0.542 (0.079),0.633 (0.144)
180,0.843 (0.095),0.501 (0.147),0.745 (0.070),0.554 (0.066),0.639 (0.141)
200,0.863 (0.055),0.493 (0.159),0.731 (0.067),0.576 (0.059),0.692 (0.113)
