labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.844,0.793,0.902,0,0.874,0.865,0.882,0,0.9,0.918,0.882,0,0.873,0.023,0.859,0.051,0.889,0.009
20,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.199,0.114,0.784,4,0.218,0.133,0.608,9,0.209,0.117,1.0,19,0.209,0.008,0.121,0.008,0.797,0.16
40,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.375,0.238,0.882,4,0.341,0.225,0.706,9,0.317,0.2,0.765,11,0.344,0.024,0.221,0.016,0.784,0.073
60,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.485,0.347,0.804,4,0.541,0.465,0.647,6,0.297,0.18,0.863,18,0.441,0.104,0.331,0.117,0.771,0.091
80,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.634,0.495,0.882,5,0.526,0.476,0.588,4,0.29,0.172,0.922,18,0.483,0.144,0.381,0.148,0.797,0.149
100,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.627,0.506,0.824,5,0.689,0.603,0.804,4,0.381,0.239,0.941,15,0.566,0.133,0.449,0.154,0.856,0.06
120,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.696,0.56,0.922,5,0.714,0.6,0.882,4,0.323,0.193,0.98,18,0.578,0.18,0.451,0.183,0.928,0.04
140,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.713,0.59,0.902,5,0.804,0.804,0.804,3,0.258,0.148,1.0,22,0.592,0.239,0.514,0.273,0.902,0.08
160,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.78,0.687,0.902,5,0.815,0.772,0.863,3,0.236,0.134,1.0,25,0.61,0.265,0.531,0.283,0.922,0.058
180,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.793,0.708,0.902,5,0.871,0.88,0.863,3,0.217,0.121,1.0,28,0.627,0.292,0.57,0.325,0.922,0.058
200,wdc_phones,Random Sample 500,,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.842,0.762,0.941,4,0.887,0.935,0.843,3,0.209,0.116,1.0,32,0.646,0.31,0.604,0.352,0.928,0.065
