labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.217,0.124,0.902,0,"[0, 0, 0, 0]",0.214,0.12,0.961,0,"[0, 0, 0, 0]",0.218,0.123,0.941,0,"[0, 0, 0, 0]",0.216,0.002,0.122,0.002,0.935,0.024
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.33,0.203,0.882,1,"[0, 43, 0, 5]",0.309,0.188,0.863,1,"[0, 77, 0, 6]",0.327,0.197,0.961,1,"[0, 95, 0, 5]",0.322,0.009,0.196,0.006,0.902,0.042
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.375,0.231,0.98,12,"[0, 0, 0, 0]",0.42,0.279,0.843,6,"[0, 0, 0, 0]",0.378,0.436,0.333,6,"[0, 0, 0, 0]",0.391,0.021,0.315,0.088,0.719,0.278
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.266,0.153,1.0,19,"[0, 0, 0, 0]",0.494,0.35,0.843,8,"[0, 0, 0, 0]",0.554,0.508,0.608,4,"[0, 0, 0, 0]",0.438,0.124,0.337,0.145,0.817,0.161
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.233,0.132,1.0,26,"[0, 0, 0, 0]",0.477,0.339,0.804,8,"[0, 0, 0, 0]",0.672,0.588,0.784,3,"[0, 0, 0, 0]",0.461,0.18,0.353,0.186,0.863,0.097
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.212,0.118,1.0,32,"[0, 0, 0, 0]",0.613,0.465,0.902,7,"[0, 0, 0, 0]",0.789,0.714,0.882,3,"[14, 0, 0, 1]",0.538,0.241,0.432,0.244,0.928,0.052
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.208,0.116,1.0,39,"[0, 0, 0, 0]",0.676,0.541,0.902,6,"[0, 0, 0, 0]",0.807,0.73,0.902,2,"[0, 0, 0, 18]",0.564,0.257,0.462,0.257,0.935,0.046
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.208,0.116,1.0,44,"[0, 0, 0, 0]",0.786,0.697,0.902,3,"[0, 4, 0, 20]",0.852,0.807,0.902,3,"[39, 0, 0, 13]",0.615,0.289,0.54,0.303,0.935,0.046
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.43,0.274,1.0,15,"[0, 0, 0, 0]",0.811,0.75,0.882,4,"[2, 0, 0, 16]",0.835,0.827,0.843,2,"[0, 0, 0, 17]",0.692,0.186,0.617,0.245,0.908,0.067
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.646,0.532,0.824,6,"[0, 2, 0, 17]",0.819,0.796,0.843,4,"[0, 0, 0, 17]",0.889,0.842,0.941,4,"[162, 0, 0, 17]",0.785,0.102,0.723,0.137,0.869,0.051
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.676,0.541,0.902,5,"[0, 3, 0, 15]",0.863,0.863,0.863,3,"[0, 0, 0, 21]",0.923,0.906,0.941,2,"[0, 0, 0, 37]",0.821,0.105,0.77,0.163,0.902,0.032

