labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.225,0.128,0.922,0,"[0, 0, 0, 0]",0.217,0.123,0.941,0,"[0, 0, 0, 0]",0.217,0.122,0.941,0,"[0, 0, 0, 0]",0.22,0.004,0.124,0.003,0.935,0.009
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.348,0.225,0.765,2,"[9, 10, 1, 0]",0.332,0.208,0.824,2,"[8, 10, 2, 0]",0.372,0.25,0.725,2,"[8, 10, 2, 0]",0.351,0.016,0.228,0.017,0.771,0.041
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.309,0.212,0.569,2,"[10, 10, 0, 0]",0.343,0.226,0.706,2,"[10, 10, 0, 0]",0.354,0.257,0.569,2,"[10, 10, 0, 0]",0.335,0.019,0.232,0.019,0.615,0.065
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.42,0.296,0.725,2,"[10, 9, 0, 1]",0.386,0.275,0.647,2,"[10, 9, 0, 1]",0.365,0.278,0.529,2,"[10, 8, 0, 2]",0.39,0.023,0.283,0.009,0.634,0.081
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.453,0.322,0.765,2,"[10, 7, 0, 3]",0.477,0.36,0.706,2,"[10, 9, 0, 1]",0.417,0.33,0.569,2,"[10, 10, 0, 0]",0.449,0.025,0.337,0.016,0.68,0.082
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.487,0.333,0.902,2,"[10, 10, 0, 0]",0.523,0.392,0.784,2,"[10, 6, 0, 4]",0.463,0.354,0.667,2,"[10, 8, 0, 2]",0.491,0.025,0.36,0.024,0.784,0.096
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.577,0.429,0.882,2,"[10, 2, 0, 8]",0.53,0.4,0.784,2,"[10, 1, 0, 9]",0.54,0.43,0.725,2,"[10, 4, 0, 6]",0.549,0.02,0.42,0.014,0.797,0.065
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.562,0.413,0.882,2,"[10, 2, 0, 8]",0.582,0.456,0.804,2,"[10, 0, 0, 10]",0.538,0.415,0.765,2,"[10, 2, 0, 8]",0.561,0.018,0.428,0.02,0.817,0.049
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.607,0.468,0.863,2,"[10, 2, 0, 8]",0.567,0.444,0.784,2,"[10, 1, 0, 9]",0.579,0.5,0.686,2,"[10, 1, 0, 9]",0.584,0.017,0.471,0.023,0.778,0.072
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.652,0.524,0.863,2,"[10, 3, 0, 7]",0.631,0.519,0.804,2,"[10, 1, 0, 9]",0.62,0.513,0.784,2,"[10, 0, 0, 10]",0.634,0.013,0.519,0.004,0.817,0.034
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.692,0.561,0.902,2,"[10, 1, 0, 9]",0.7,0.609,0.824,2,"[10, 0, 0, 10]",0.698,0.577,0.882,2,"[10, 3, 0, 7]",0.697,0.003,0.582,0.02,0.869,0.033
