labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.231,0.132,0.922,0,"[0, 0, 0, 0]",0.226,0.129,0.941,0,"[0, 0, 0, 0]",0.227,0.13,0.882,0,"[0, 0, 0, 0]",0.228,0.002,0.13,0.001,0.915,0.025
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.327,0.205,0.804,3,"[8, 10, 2, 0]",0.345,0.216,0.863,2,"[9, 10, 1, 0]",0.347,0.216,0.882,2,"[9, 10, 1, 0]",0.34,0.009,0.212,0.005,0.85,0.033
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.371,0.241,0.804,4,"[10, 8, 0, 2]",0.341,0.24,0.588,3,"[10, 10, 0, 0]",0.335,0.234,0.588,3,"[10, 10, 0, 0]",0.349,0.016,0.238,0.003,0.66,0.102
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.491,0.35,0.824,4,"[10, 8, 0, 2]",0.4,0.329,0.51,4,"[10, 10, 0, 0]",0.446,0.34,0.647,3,"[10, 10, 0, 0]",0.446,0.037,0.34,0.009,0.66,0.129
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.573,0.434,0.843,3,"[10, 8, 0, 2]",0.412,0.329,0.549,4,"[10, 10, 0, 0]",0.553,0.416,0.824,3,"[10, 7, 0, 3]",0.513,0.072,0.393,0.046,0.739,0.134
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.662,0.544,0.843,4,"[10, 8, 0, 2]",0.496,0.41,0.627,3,"[10, 10, 0, 0]",0.562,0.422,0.843,3,"[10, 3, 0, 7]",0.573,0.068,0.459,0.061,0.771,0.102
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.692,0.561,0.902,4,"[10, 1, 0, 9]",0.677,0.557,0.863,3,"[10, 7, 0, 3]",0.662,0.529,0.882,4,"[10, 1, 0, 9]",0.677,0.012,0.549,0.014,0.882,0.016
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.771,0.724,0.824,4,"[10, 0, 0, 10]",0.825,0.746,0.922,3,"[10, 1, 0, 9]",0.702,0.575,0.902,4,"[10, 0, 0, 10]",0.766,0.05,0.682,0.076,0.883,0.042
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.86,0.878,0.843,4,"[10, 0, 0, 10]",0.889,0.842,0.941,3,"[10, 0, 0, 10]",0.752,0.667,0.863,4,"[10, 0, 0, 10]",0.834,0.059,0.796,0.092,0.882,0.042
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.865,0.849,0.882,3,"[10, 0, 0, 10]",0.879,0.839,0.922,3,"[10, 0, 0, 10]",0.825,0.746,0.922,4,"[10, 0, 0, 10]",0.856,0.023,0.811,0.046,0.909,0.019
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.857,0.833,0.882,3,"[10, 0, 0, 10]",0.904,0.887,0.922,2,"[10, 0, 0, 10]",0.865,0.849,0.882,4,"[10, 0, 0, 10]",0.875,0.021,0.856,0.023,0.895,0.019

