labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.212,0.121,0.843,0,0.235,0.135,0.922,0,0.225,0.129,0.902,0,0.224,0.009,0.128,0.006,0.889,0.034
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.261,0.15,1.0,19,0.275,0.202,0.431,6,0.289,0.44,0.216,6,0.275,0.011,0.264,0.126,0.549,0.331
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.208,0.116,1.0,39,0.5,0.359,0.824,9,0.302,0.239,0.412,5,0.337,0.122,0.238,0.099,0.745,0.246
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.44,0.324,0.686,6,0.463,0.336,0.745,4,0.409,0.452,0.373,6,0.437,0.022,0.371,0.058,0.601,0.163
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.504,0.398,0.686,6,0.559,0.435,0.784,4,0.661,0.582,0.765,3,0.575,0.065,0.472,0.079,0.745,0.042
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.626,0.562,0.706,6,0.607,0.468,0.863,4,0.694,0.589,0.843,3,0.642,0.037,0.54,0.052,0.804,0.07
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.646,0.667,0.627,6,0.594,0.442,0.902,5,0.756,0.662,0.882,4,0.665,0.068,0.59,0.105,0.804,0.125
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.849,0.818,0.882,4,0.692,0.561,0.902,6,0.793,0.733,0.863,4,0.778,0.065,0.704,0.107,0.882,0.016
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.835,0.827,0.843,4,0.75,0.623,0.941,7,0.883,0.817,0.961,4,0.823,0.055,0.756,0.094,0.915,0.052
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.871,0.88,0.863,3,0.762,0.64,0.941,6,0.881,0.828,0.941,4,0.838,0.054,0.783,0.103,0.915,0.037
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.889,0.842,0.941,3,0.845,0.754,0.961,6,0.895,0.87,0.922,4,0.876,0.022,0.822,0.049,0.941,0.016

