# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.208 (0.002),0.126 (0.091),0.295 (0.016),0.259 (0.011),0.265 (0.061)
40,0.301 (0.087),0.239 (0.020),0.319 (0.047),0.306 (0.010),0.245 (0.034)
60,0.327 (0.086),0.351 (0.069),0.336 (0.041),0.339 (0.006),0.300 (0.046)
80,0.449 (0.027),0.377 (0.063),0.332 (0.051),0.306 (0.023),0.323 (0.047)
100,0.551 (0.032),0.389 (0.037),0.350 (0.078),0.343 (0.009),0.337 (0.029)
120,0.629 (0.019),0.409 (0.052),0.370 (0.022),0.369 (0.010),0.342 (0.063)
140,0.675 (0.070),0.424 (0.056),0.365 (0.025),0.396 (0.038),0.369 (0.043)
160,0.794 (0.027),0.436 (0.048),0.399 (0.019),0.421 (0.046),0.397 (0.021)
180,0.882 (0.023),0.457 (0.047),0.379 (0.005),0.416 (0.053),0.376 (0.035)
200,0.878 (0.004),0.456 (0.060),0.404 (0.016),0.427 (0.041),0.418 (0.022)
