labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.274,0.165,0.804,2,"[9, 9, 1, 1]",0.312,0.191,0.843,2,"[9, 10, 1, 0]",0.3,0.183,0.824,2,"[9, 10, 1, 0]",0.295,0.016,0.18,0.011,0.824,0.016
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.263,0.159,0.765,2,"[10, 8, 0, 2]",0.378,0.253,0.745,3,"[10, 8, 0, 2]",0.316,0.225,0.529,2,"[10, 10, 0, 0]",0.319,0.047,0.212,0.039,0.68,0.107
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.362,0.232,0.824,2,"[10, 8, 0, 2]",0.368,0.238,0.804,3,"[10, 8, 0, 2]",0.278,0.206,0.431,3,"[10, 10, 0, 0]",0.336,0.041,0.225,0.014,0.686,0.181
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.393,0.256,0.843,3,"[10, 8, 0, 2]",0.335,0.209,0.843,4,"[10, 8, 0, 2]",0.268,0.204,0.392,3,"[10, 10, 0, 0]",0.332,0.051,0.223,0.023,0.693,0.213
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.419,0.298,0.706,3,"[10, 8, 0, 2]",0.39,0.26,0.784,4,"[10, 8, 0, 2]",0.241,0.189,0.333,3,"[10, 10, 0, 0]",0.35,0.078,0.249,0.045,0.608,0.197
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.371,0.238,0.843,4,"[10, 8, 0, 2]",0.396,0.275,0.706,4,"[10, 8, 0, 2]",0.343,0.226,0.706,3,"[10, 9, 0, 1]",0.37,0.022,0.246,0.021,0.752,0.065
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.347,0.234,0.667,4,"[10, 8, 0, 2]",0.4,0.262,0.843,5,"[10, 8, 0, 2]",0.347,0.25,0.569,3,"[10, 10, 0, 0]",0.365,0.025,0.249,0.011,0.693,0.113
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.385,0.267,0.686,4,"[10, 8, 0, 2]",0.425,0.297,0.745,5,"[10, 8, 0, 2]",0.386,0.303,0.529,3,"[10, 10, 0, 0]",0.399,0.019,0.289,0.016,0.653,0.091
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.386,0.272,0.667,4,"[10, 8, 0, 2]",0.378,0.255,0.725,5,"[10, 8, 0, 2]",0.374,0.295,0.51,3,"[10, 10, 0, 0]",0.379,0.005,0.274,0.016,0.634,0.091
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.402,0.292,0.647,4,"[10, 8, 0, 2]",0.386,0.278,0.627,4,"[10, 10, 0, 0]",0.424,0.346,0.549,4,"[10, 10, 0, 0]",0.404,0.016,0.305,0.029,0.608,0.042
