labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.168,0.138,0.216,9,0.211,0.118,1.0,19,0.0,0.0,0.0,1,0.126,0.091,0.085,0.061,0.405,0.43
40,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.256,0.216,0.314,5,0.25,0.16,0.569,9,0.211,1.0,0.118,4,0.239,0.02,0.459,0.383,0.334,0.185
60,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.275,0.167,0.784,8,0.336,0.205,0.922,5,0.442,0.477,0.412,2,0.351,0.069,0.283,0.138,0.706,0.215
80,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.313,0.201,0.706,8,0.357,0.222,0.922,4,0.462,0.667,0.353,2,0.377,0.063,0.363,0.215,0.66,0.235
100,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.347,0.234,0.667,9,0.383,0.243,0.902,5,0.436,0.63,0.333,2,0.389,0.037,0.369,0.185,0.634,0.233
120,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.38,0.253,0.765,8,0.366,0.231,0.882,5,0.482,0.443,0.529,3,0.409,0.052,0.309,0.095,0.725,0.147
140,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.417,0.287,0.765,8,0.359,0.235,0.765,4,0.496,0.419,0.608,3,0.424,0.056,0.314,0.077,0.713,0.074
160,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.398,0.267,0.784,7,0.406,0.277,0.765,4,0.504,0.453,0.569,3,0.436,0.048,0.332,0.085,0.706,0.097
180,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.447,0.307,0.824,7,0.404,0.28,0.725,4,0.519,0.491,0.549,3,0.457,0.047,0.359,0.094,0.699,0.114
200,wdc_phones,Transfer Learning,wdc_headphones,20,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.418,0.283,0.804,6,0.409,0.288,0.706,4,0.541,0.5,0.588,3,0.456,0.06,0.357,0.101,0.699,0.088
