labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
100,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.266,0.154,1.0,0.274,0.163,0.85,0.267,0.155,0.968,0.269,0.004,0.157,0.005,0.939,0.079
200,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.273,0.167,0.755,0.476,0.379,0.641,0.264,0.152,0.977,0.338,0.12,0.233,0.127,0.791,0.171
300,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.281,0.264,0.3,0.763,0.845,0.695,0.264,0.154,0.923,0.436,0.283,0.421,0.371,0.639,0.315
400,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.256,0.153,0.782,0.643,0.5,0.9,0.343,0.354,0.332,0.414,0.203,0.336,0.174,0.671,0.3
500,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.714,0.641,0.805,0.154,0.133,0.182,0.798,0.796,0.8,0.555,0.35,0.523,0.347,0.596,0.358
600,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.372,0.298,0.495,0.335,0.217,0.736,0.821,0.81,0.832,0.509,0.271,0.442,0.322,0.688,0.174
700,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.797,0.851,0.75,0.805,0.747,0.873,0.833,0.805,0.864,0.812,0.019,0.801,0.052,0.829,0.069
800,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.848,0.824,0.873,0.784,0.746,0.827,0.218,0.172,0.295,0.617,0.347,0.581,0.356,0.665,0.321
900,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.813,0.742,0.9,0.333,0.227,0.627,0.79,0.761,0.823,0.645,0.271,0.577,0.303,0.783,0.141
1000,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.272,0.161,0.877,0.266,0.154,0.982,0.833,0.875,0.795,0.457,0.326,0.397,0.414,0.885,0.094
1100,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.838,0.865,0.814,0.858,0.839,0.877,0.815,0.863,0.773,0.837,0.022,0.856,0.014,0.821,0.052
1200,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.781,0.716,0.859,0.832,0.819,0.845,0.857,0.83,0.886,0.823,0.039,0.788,0.063,0.863,0.021
1300,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.843,0.782,0.914,0.808,0.733,0.9,0.798,0.729,0.882,0.816,0.024,0.748,0.03,0.899,0.016
1400,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.842,0.784,0.909,0.862,0.87,0.855,0.868,0.839,0.9,0.857,0.014,0.831,0.044,0.888,0.029
1500,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.836,0.795,0.882,0.874,0.863,0.886,0.871,0.869,0.873,0.86,0.021,0.842,0.041,0.88,0.007
1600,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.72,0.585,0.936,0.879,0.9,0.859,0.85,0.816,0.886,0.816,0.085,0.767,0.163,0.894,0.039
1700,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.268,0.155,0.982,0.897,0.9,0.895,0.858,0.839,0.877,0.674,0.352,0.631,0.414,0.918,0.056
1800,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.867,0.848,0.886,0.895,0.923,0.868,0.869,0.91,0.832,0.877,0.016,0.894,0.04,0.862,0.027
1900,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.857,0.917,0.805,0.871,0.902,0.841,0.873,0.843,0.905,0.867,0.009,0.887,0.039,0.85,0.051
2000,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.887,0.863,0.914,0.887,0.863,0.914,0.862,0.809,0.923,0.879,0.014,0.845,0.031,0.917,0.005
2100,abt_buy,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.274,0.163,0.85,0.898,0.896,0.9,0.886,0.856,0.918,0.686,0.357,0.638,0.412,0.889,0.035
