labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.466,0.356,0.677,0.275,0.18,0.577,0.94,0.958,0.923,0.56,0.342,0.498,0.408,0.726,0.178
100,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.184,0.196,0.173,0.202,0.188,0.218,0.266,0.154,1.0,0.217,0.043,0.179,0.022,0.464,0.465
200,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.266,0.154,1.0,0.333,0.228,0.623,0.34,0.218,0.764,0.313,0.041,0.2,0.04,0.796,0.19
300,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.192,0.132,0.355,0.686,0.738,0.641,0.267,0.157,0.868,0.382,0.266,0.342,0.343,0.621,0.257
400,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.576,0.447,0.809,0.678,0.702,0.655,0.35,0.25,0.582,0.535,0.168,0.466,0.227,0.682,0.116
500,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.736,0.639,0.868,0.266,0.154,0.982,0.728,0.715,0.741,0.577,0.269,0.503,0.304,0.864,0.121
600,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.839,0.847,0.832,0.86,0.843,0.877,0.776,0.688,0.891,0.825,0.044,0.793,0.091,0.867,0.031
700,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.834,0.823,0.845,0.72,0.643,0.818,0.77,0.673,0.9,0.775,0.057,0.713,0.096,0.854,0.042
800,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.855,0.855,0.855,0.804,0.712,0.923,0.829,0.782,0.882,0.829,0.026,0.783,0.072,0.887,0.034
900,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_shuffle,product,False,0.829,0.831,0.827,0.274,0.163,0.845,0.841,0.816,0.868,0.648,0.324,0.603,0.381,0.847,0.021
