labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0, 0]",0.878,0.972,0.8,0.935,0.957,0.914,0.933,0.917,0.95,0.915,0.032,0.949,0.028,0.888,0.078
100,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.014594279042615295, 0.9854057209573847]",0.267,0.154,0.991,0.266,0.156,0.909,0.108,0.359,0.064,0.214,0.092,0.223,0.118,0.655,0.513
200,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.028768699654775604, 0.9712313003452244]",0.536,0.4,0.814,0.728,0.799,0.668,0.637,0.686,0.595,0.634,0.096,0.628,0.206,0.692,0.112
300,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.04254112308564946, 0.9574588769143505]",0.765,0.653,0.923,0.829,0.87,0.791,0.787,0.877,0.714,0.794,0.033,0.8,0.127,0.809,0.106
400,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.05592841163310962, 0.9440715883668904]",0.82,0.719,0.955,0.882,0.917,0.85,0.838,0.818,0.859,0.847,0.032,0.818,0.099,0.888,0.058
500,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.06894649751792609, 0.9310535024820739]",0.78,0.665,0.945,0.845,0.863,0.827,0.841,0.854,0.827,0.822,0.036,0.794,0.112,0.866,0.068
600,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.08161044613710555, 0.9183895538628944]",0.829,0.73,0.959,0.831,0.932,0.75,0.825,0.917,0.75,0.828,0.003,0.86,0.113,0.82,0.121
700,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.0939345142243693, 0.9060654857756307]",0.838,0.807,0.873,0.867,0.894,0.841,0.879,0.916,0.845,0.861,0.021,0.872,0.058,0.853,0.017
800,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.1059322033898305, 0.8940677966101694]",0.866,0.805,0.936,0.875,0.844,0.909,0.869,0.862,0.877,0.87,0.005,0.837,0.029,0.907,0.03
900,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.11761630946157867, 0.8823836905384214]",0.89,0.845,0.941,0.886,0.886,0.886,0.883,0.973,0.809,0.886,0.004,0.901,0.065,0.879,0.066
1000,abt_buy,Transfer Learning,amazon_google,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.12899896800825594, 0.8710010319917441]",0.87,0.831,0.914,0.886,0.89,0.882,0.867,0.875,0.859,0.874,0.01,0.865,0.031,0.885,0.028
