labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
100,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.171,0.246,0.131,0.206,0.193,0.22,0.344,0.276,0.456,0.24,0.091,0.238,0.042,0.269,0.168
200,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.11,0.34,0.066,0.225,0.191,0.274,0.373,0.471,0.309,0.236,0.132,0.334,0.14,0.216,0.131
300,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.273,0.175,0.618,0.355,0.32,0.398,0.405,0.409,0.402,0.344,0.067,0.301,0.118,0.473,0.126
400,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.361,0.257,0.606,0.386,0.375,0.398,0.33,0.404,0.278,0.359,0.028,0.345,0.078,0.427,0.166
500,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.438,0.481,0.402,0.564,0.452,0.749,0.636,0.631,0.641,0.546,0.1,0.521,0.096,0.597,0.178
600,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.54,0.58,0.506,0.435,0.413,0.459,0.429,0.503,0.375,0.468,0.062,0.499,0.084,0.447,0.066
700,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.657,0.697,0.622,0.661,0.633,0.691,0.552,0.667,0.471,0.623,0.062,0.666,0.032,0.595,0.113
800,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.62,0.714,0.548,0.581,0.595,0.568,0.266,0.154,1.0,0.489,0.194,0.488,0.295,0.705,0.255
900,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.712,0.691,0.734,0.764,0.816,0.718,0.708,0.829,0.618,0.728,0.031,0.779,0.076,0.69,0.063
1000,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.664,0.703,0.629,0.369,0.248,0.718,0.738,0.716,0.761,0.59,0.195,0.556,0.267,0.703,0.067
1100,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.725,0.749,0.703,0.73,0.734,0.726,0.72,0.721,0.718,0.725,0.005,0.735,0.014,0.716,0.012
1200,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.728,0.761,0.699,0.775,0.742,0.811,0.757,0.762,0.753,0.753,0.024,0.755,0.011,0.754,0.056
1300,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.684,0.753,0.625,0.811,0.726,0.919,0.779,0.77,0.788,0.758,0.066,0.75,0.022,0.777,0.147
1400,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.77,0.792,0.749,0.765,0.813,0.722,0.773,0.763,0.784,0.769,0.004,0.789,0.025,0.752,0.031
1500,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.753,0.77,0.737,0.75,0.764,0.737,0.802,0.798,0.807,0.768,0.029,0.777,0.018,0.76,0.04
1600,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.788,0.743,0.838,0.771,0.669,0.911,0.754,0.693,0.826,0.771,0.017,0.702,0.038,0.858,0.046
1700,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.754,0.819,0.699,0.793,0.802,0.784,0.748,0.715,0.784,0.765,0.024,0.779,0.056,0.756,0.049
1800,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.789,0.778,0.799,0.789,0.778,0.799,0.771,0.789,0.753,0.783,0.01,0.782,0.006,0.784,0.027
1900,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.784,0.777,0.792,0.338,0.208,0.903,0.783,0.747,0.822,0.635,0.257,0.577,0.32,0.839,0.057
2000,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.755,0.722,0.792,0.807,0.785,0.83,0.78,0.766,0.795,0.781,0.026,0.758,0.032,0.806,0.021
2100,amazon_google,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.785,0.754,0.819,0.778,0.784,0.772,0.769,0.766,0.772,0.777,0.008,0.768,0.015,0.788,0.027
