labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.266,0.154,1.0,0.364,0.227,0.931,0.305,0.185,0.869,0.312,0.04,0.189,0.03,0.933,0.054
100,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.266,0.154,1.0,0.266,0.154,1.0,0.263,0.176,0.521,0.265,0.001,0.161,0.01,0.84,0.226
200,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.253,0.267,0.239,0.387,0.388,0.386,0.259,0.276,0.243,0.3,0.062,0.31,0.055,0.289,0.068
300,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.191,0.179,0.205,0.468,0.54,0.413,0.492,0.385,0.683,0.384,0.137,0.368,0.148,0.434,0.196
400,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.408,0.291,0.683,0.507,0.597,0.44,0.516,0.649,0.429,0.477,0.049,0.512,0.158,0.517,0.117
500,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.584,0.619,0.552,0.417,0.449,0.39,0.633,0.644,0.622,0.545,0.092,0.571,0.087,0.521,0.097
600,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.706,0.619,0.822,0.519,0.633,0.44,0.714,0.676,0.757,0.646,0.09,0.643,0.024,0.673,0.167
700,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.574,0.633,0.525,0.721,0.709,0.734,0.563,0.497,0.649,0.619,0.072,0.613,0.088,0.636,0.086
800,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.705,0.751,0.664,0.721,0.699,0.745,0.737,0.69,0.792,0.721,0.013,0.713,0.027,0.734,0.053
900,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.744,0.707,0.784,0.668,0.727,0.618,0.71,0.662,0.764,0.707,0.031,0.699,0.027,0.722,0.074
1000,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.723,0.693,0.757,0.72,0.669,0.78,0.743,0.744,0.741,0.729,0.01,0.702,0.031,0.759,0.016
1100,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.776,0.764,0.788,0.71,0.706,0.714,0.768,0.763,0.772,0.751,0.029,0.744,0.027,0.758,0.032
1200,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.722,0.774,0.676,0.766,0.727,0.811,0.761,0.761,0.761,0.75,0.02,0.754,0.02,0.749,0.056
1300,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.747,0.753,0.741,0.778,0.777,0.78,0.781,0.753,0.811,0.769,0.015,0.761,0.011,0.777,0.029
1400,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.758,0.772,0.745,0.726,0.689,0.768,0.79,0.744,0.842,0.758,0.026,0.735,0.034,0.785,0.041
1500,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.777,0.76,0.795,0.779,0.77,0.788,0.776,0.719,0.842,0.777,0.001,0.75,0.022,0.808,0.024
1600,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.796,0.761,0.834,0.794,0.742,0.853,0.772,0.767,0.776,0.787,0.011,0.757,0.011,0.821,0.033
1700,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.776,0.74,0.815,0.797,0.798,0.795,0.813,0.749,0.888,0.795,0.015,0.762,0.025,0.833,0.04
1800,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.788,0.711,0.884,0.783,0.712,0.869,0.778,0.772,0.784,0.783,0.004,0.732,0.029,0.846,0.044
1900,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.783,0.747,0.822,0.765,0.829,0.71,0.763,0.787,0.741,0.77,0.009,0.788,0.033,0.758,0.047
2000,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,product,False,0.812,0.814,0.811,0.794,0.8,0.788,0.789,0.769,0.811,0.798,0.01,0.794,0.019,0.803,0.011
