labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0, 0]",0.469,0.332,0.799,0.396,0.279,0.683,0.441,0.305,0.799,0.435,0.037,0.305,0.027,0.76,0.067
100,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.01715462031107045, 0.9828453796889296]",0.54,0.654,0.459,0.336,0.641,0.228,0.111,0.37,0.066,0.329,0.215,0.555,0.16,0.251,0.198
200,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.033730604902181244, 0.9662693950978187]",0.581,0.579,0.583,0.486,0.693,0.375,0.642,0.687,0.602,0.57,0.079,0.653,0.064,0.52,0.126
300,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.049756744803184434, 0.9502432551968155]",0.601,0.589,0.614,0.699,0.685,0.714,0.755,0.743,0.768,0.685,0.078,0.672,0.078,0.699,0.078
400,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.06525995214270176, 0.9347400478572983]",0.717,0.633,0.826,0.648,0.793,0.548,0.685,0.699,0.672,0.683,0.035,0.708,0.08,0.682,0.139
500,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.0802654109589041, 0.9197345890410958]",0.71,0.698,0.722,0.746,0.694,0.807,0.728,0.695,0.764,0.728,0.018,0.696,0.002,0.764,0.043
600,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.09479671371392459, 0.9052032862860754]",0.743,0.717,0.772,0.747,0.753,0.741,0.8,0.797,0.803,0.763,0.032,0.756,0.04,0.772,0.031
700,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.10887598506843633, 0.8911240149315637]",0.735,0.689,0.788,0.774,0.802,0.749,0.746,0.755,0.737,0.752,0.02,0.749,0.057,0.758,0.027
800,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.1225239942822136, 0.8774760057177864]",0.771,0.739,0.807,0.775,0.825,0.73,0.753,0.664,0.869,0.766,0.012,0.743,0.081,0.802,0.07
900,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.13576025744167336, 0.8642397425583266]",0.783,0.702,0.884,0.737,0.774,0.703,0.792,0.705,0.903,0.771,0.03,0.727,0.041,0.83,0.11
1000,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.1486031305726174, 0.8513968694273826]",0.788,0.737,0.846,0.699,0.781,0.633,0.786,0.814,0.761,0.758,0.051,0.777,0.039,0.747,0.107
1100,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.16106989457243265, 0.8389301054275674]",0.794,0.752,0.842,0.775,0.786,0.764,0.793,0.755,0.834,0.787,0.011,0.764,0.019,0.813,0.043
1200,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.173176832788147, 0.826823167211853]",0.795,0.781,0.811,0.765,0.79,0.741,0.791,0.833,0.753,0.784,0.016,0.801,0.028,0.768,0.037
1300,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.18493930197268588, 0.8150606980273141]",0.787,0.764,0.811,0.765,0.829,0.71,0.772,0.754,0.792,0.775,0.011,0.782,0.041,0.771,0.054
1400,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.1963717972694969, 0.8036282027305031]",0.806,0.794,0.819,0.793,0.766,0.822,0.791,0.794,0.788,0.797,0.008,0.785,0.016,0.81,0.019
1500,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.20748801180376245, 0.7925119881962376]",0.818,0.803,0.834,0.753,0.786,0.722,0.796,0.747,0.853,0.789,0.033,0.779,0.029,0.803,0.071
1600,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.21830089139530653, 0.7816991086046935]",0.812,0.814,0.811,0.796,0.844,0.753,0.753,0.786,0.722,0.787,0.031,0.815,0.029,0.762,0.045
1700,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.2288226848528356, 0.7711773151471644]",0.775,0.799,0.753,0.792,0.777,0.807,0.796,0.772,0.822,0.788,0.011,0.783,0.014,0.794,0.036
1800,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.23906499026031522, 0.7609350097396848]",0.809,0.8,0.819,0.784,0.822,0.749,0.764,0.807,0.726,0.786,0.023,0.81,0.011,0.765,0.048
1900,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.24903879762320866, 0.7509612023767913]",0.804,0.786,0.822,0.785,0.811,0.761,0.74,0.665,0.834,0.776,0.033,0.754,0.078,0.806,0.039
2000,amazon_google,Transfer Learning,abt_buy,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.25875452820424355, 0.7412454717957564]",0.825,0.852,0.799,0.776,0.789,0.764,0.81,0.83,0.792,0.804,0.025,0.824,0.032,0.785,0.019
