Task;Method;Date;Train Size;Learning Model;Learning Rate;Max Length;Epochs;Batch Size;DA;DK;SU;Balance;Max Lenght;Run 1: f1;Run 1: precision;Run 1: recall;Run 2: f1;Run 2: precision;Run 2: recall;Run 3: f1;Run 3: precision;Run 3: recall;F1 Mean;F1 Std;Precision Mean;Precision Std;Recall Mean;Recall Std
abt_buy;Passive Learing;30.07.2021;1000.0;roberta;3,00E-05;;50;32;span_shuffle;product;False;False;256.0;0.79;0.755;0.827;0.851;0.834;0.868;0.848;0.871;0.827;0.83;0.034;0.82;0.059;0.841;0.024
abt_buy;Passive Learing;30.07.2021;2000.0;roberta;3,00E+11;;50;32;span_shuffle;product;False;False;256.0;0.914;0.938;0.89;0.884;0.885;0.882;0.864;0.951;0.79;0.887;0.025;0.925;0.035;0.854;0.056
abt_buy;Passive Learing;28.07.2021;;roberta;3,00E+11;;50;32;span_shuffle;product;False;False;256.0;0.959;0.959;0.959;0.961;0.977;0.945;0.952;0.963;0.941;0.957;0.005;0.966;0.009;0.948;0.009
amazon_google;Passive Learing;30.07.2021;1000.0;roberta;3,00E-05;;50;32;span_del;product;False;False;256.0;0.747;0.741;0.753;0.743;0.802;0.691;0.674;0.758;0.606;0.721;0.041;0.767;0.031;0.683;0.074
amazon_google;Passive Learing;30.07.2021;2000.0;roberta;3,00E+11;;50;32;span_del;product;False;False;256.0;0.807;0.867;0.757;0.794;0.816;0.772;0.802;0.819;0.787;0.801;0.007;0.834;0.029;0.772;0.015
amazon_google;Passive Learing;28.07.2021;;roberta;3,00E-05;;50;32;span_del;product;False;False;256.0;0.827;0.835;0.819;0.802;0.833;0.772;0.835;0.849;0.822;0.821;0.017;0.839;0.009;0.804;0.028
cameras;Passive Learing;29.07.2021;1000.0;roberta;3,00E-05;;20;32;span_del;product;False;False;256.0;0.81;0.732;0.91;0.81;0.732;0.91;0.804;0.782;0.827;0.808;0.003;0.749;0.029;0.882;0.048
cameras;Passive Learing;29.07.2021;2000.0;roberta;3,00E-05;;20;32;span_del;product;False;False;256.0;0.87;0.86;0.88;0.833;0.819;0.847;0.844;0.832;0.857;0.849;0.019;0.837;0.021;0.861;0.017
cameras;Passive Learing;28.07.2021;;roberta;3,00E-05;;20;32;span_del;product;False;False;256.0;0.908;0.912;0.903;0.91;0.919;0.903;0.886;0.831;0.95;0.901;0.013;0.887;0.049;0.919;0.027
dbpedia_dnb;Passive Learing;30.07.2021;1000.0;roberta;3,00E-05;;20;32;span_del;general;False;False;256.0;0.965;0.973;0.957;0.956;0.932;0.981;0.971;0.968;0.974;0.964;0.008;0.958;0.022;0.971;0.012
