labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.285,0.166,1.0,0.285,0.166,1.0,0.258,0.151,0.885,0.276,0.013,0.161,0.007,0.962,0.054
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.165,0.115,0.295,0.762,0.66,0.9,0.299,0.179,0.919,0.409,0.256,0.318,0.243,0.705,0.29
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.84,0.774,0.919,0.86,0.845,0.875,0.903,0.974,0.841,0.868,0.026,0.864,0.083,0.878,0.032
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.182,0.197,0.17,0.933,0.956,0.911,0.954,0.972,0.936,0.69,0.359,0.708,0.362,0.672,0.355
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.939,0.978,0.904,0.95,0.963,0.938,0.907,0.866,0.953,0.932,0.018,0.936,0.05,0.932,0.02
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.955,0.973,0.938,0.807,0.714,0.928,0.937,0.953,0.921,0.9,0.066,0.88,0.118,0.929,0.007
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.975,0.977,0.974,0.923,0.903,0.945,0.954,0.956,0.951,0.951,0.021,0.945,0.031,0.957,0.012
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.942,0.933,0.951,0.922,0.885,0.962,0.954,0.946,0.962,0.939,0.013,0.921,0.026,0.958,0.005
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.927,0.885,0.974,0.85,0.792,0.917,0.953,0.943,0.964,0.91,0.044,0.873,0.062,0.952,0.025
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.976,0.985,0.968,0.963,0.977,0.949,0.959,0.994,0.926,0.966,0.007,0.985,0.007,0.948,0.017
