labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0, 0]",0.907,0.889,0.926,0.934,0.979,0.892,0.903,0.991,0.83,0.915,0.017,0.953,0.056,0.883,0.049
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.006486766995329528, 0.9935132330046704]",0.978,0.992,0.964,0.95,1.0,0.905,0.949,0.923,0.975,0.959,0.016,0.972,0.042,0.948,0.038
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.012889920082495489, 0.9871100799175045]",0.965,0.973,0.957,0.977,0.996,0.958,0.976,0.981,0.972,0.973,0.007,0.983,0.012,0.962,0.008
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.019211065573770492, 0.9807889344262295]",0.958,0.99,0.928,0.973,0.998,0.949,0.973,1.0,0.947,0.968,0.009,0.996,0.005,0.941,0.012
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.025451768897938407, 0.9745482311020616]",0.976,0.994,0.958,0.972,0.958,0.987,0.978,0.983,0.974,0.975,0.003,0.978,0.018,0.973,0.015
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.03161355589276682, 0.9683864441072332]",0.981,0.994,0.968,0.974,0.99,0.958,0.984,0.99,0.977,0.98,0.005,0.991,0.002,0.968,0.01
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.03769791404875597, 0.962302085951244]",0.959,0.953,0.964,0.969,0.979,0.96,0.968,0.992,0.945,0.965,0.006,0.975,0.02,0.956,0.01
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.043706293706293704, 0.9562937062937062]",0.97,0.972,0.968,0.983,0.99,0.975,0.978,0.987,0.97,0.977,0.007,0.983,0.01,0.971,0.004
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.04964010920824026, 0.9503598907917598]",0.982,0.996,0.968,0.976,0.977,0.975,0.978,0.967,0.989,0.979,0.003,0.98,0.015,0.977,0.011
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.0555007400098668, 0.9444992599901332]",0.975,0.99,0.96,0.976,0.981,0.972,0.969,0.992,0.947,0.973,0.004,0.988,0.006,0.96,0.013
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.061289531747977445, 0.9387104682520225]",0.885,1.0,0.794,0.978,0.977,0.979,0.978,0.994,0.962,0.947,0.054,0.99,0.012,0.912,0.102
1100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.06700779727095517, 0.9329922027290448]",0.977,0.99,0.964,0.973,0.992,0.955,0.976,0.996,0.957,0.975,0.002,0.993,0.003,0.959,0.005
1200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.07265681763138775, 0.9273431823686122]",0.973,0.992,0.955,0.986,0.99,0.981,0.978,0.988,0.968,0.979,0.007,0.99,0.002,0.968,0.013
1300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.07823784304285027, 0.9217621569571497]",0.979,0.987,0.972,0.977,0.996,0.958,0.969,1.0,0.94,0.975,0.005,0.994,0.007,0.957,0.016
1400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.08375209380234507, 0.916247906197655]",0.975,0.985,0.966,0.977,0.998,0.957,0.98,0.981,0.979,0.977,0.003,0.988,0.009,0.967,0.011
1500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.08920076117982874, 0.9107992388201712]",0.971,0.979,0.964,0.987,0.998,0.975,0.977,0.99,0.964,0.978,0.008,0.989,0.01,0.968,0.006
1600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.09458500827618822, 0.9054149917238118]",0.968,0.986,0.951,0.969,0.981,0.958,0.986,0.994,0.977,0.974,0.01,0.987,0.007,0.962,0.013
1700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.0999059708509638, 0.9000940291490362]",0.972,0.986,0.958,0.975,0.965,0.985,0.981,0.979,0.983,0.976,0.005,0.977,0.011,0.975,0.015
1800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.10516475812105631, 0.8948352418789437]",0.979,0.985,0.974,0.979,0.988,0.97,0.983,0.99,0.975,0.98,0.002,0.988,0.003,0.973,0.003
1900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.11036245353159851, 0.8896375464684015]",0.958,0.996,0.922,0.982,0.99,0.974,0.978,0.998,0.958,0.973,0.013,0.995,0.004,0.951,0.027
2000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.1155001155001155, 0.8844998844998845]",0.956,0.984,0.93,0.98,0.985,0.975,0.98,0.996,0.964,0.972,0.014,0.988,0.007,0.956,0.023
