# Labeled Examples,al_random_init,al_tl,al_tl_include_source
0,0.693 (0.404),0.276 (0.013),0.915 (0.017)
100,0.820 (0.105),0.409 (0.256),0.959 (0.016)
200,0.929 (0.015),0.868 (0.026),0.973 (0.007)
300,0.921 (0.041),0.690 (0.359),0.968 (0.009)
400,0.926 (0.028),0.932 (0.018),0.975 (0.003)
500,0.939 (0.009),0.900 (0.066),0.980 (0.005)
600,0.966 (0.015),0.951 (0.021),0.965 (0.006)
700,0.956 (0.005),0.939 (0.013),0.977 (0.007)
800,0.955 (0.013),0.910 (0.044),0.979 (0.003)
900,0.954 (0.007),0.966 (0.007),0.973 (0.004)
1000,0.965 (0.009),0.954 (0.009),0.947 (0.054)
1100,0.958 (0.022),0.953 (0.012),0.975 (0.002)
1200,0.958 (0.005),0.956 (0.008),0.979 (0.007)
1300,0.977 (0.006),0.961 (0.008),0.975 (0.005)
1400,0.958 (0.002),0.962 (0.019),0.977 (0.003)
1500,0.978 (0.004),0.928 (0.061),0.978 (0.008)
1600,0.975 (0.002),0.974 (0.001),0.974 (0.010)
1700,0.967 (0.002),0.966 (0.008),0.976 (0.005)
1800,0.960 (0.003),0.975 (0.003),0.980 (0.002)
1900,0.969 (0.001),0.974 (0.001),0.973 (0.013)
2000,0.978 (0.003),0.968 (0.005),0.972 (0.014)
