labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
100,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.305,0.2,0.644,0.992,0.995,0.989,0.982,0.997,0.967,0.76,0.322,0.731,0.375,0.867,0.158
200,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.309,0.222,0.509,0.391,0.599,0.29,0.308,0.207,0.597,0.336,0.039,0.343,0.181,0.465,0.129
300,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.931,0.938,0.925,0.797,0.771,0.824,0.678,0.72,0.641,0.802,0.103,0.81,0.093,0.797,0.118
400,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.814,0.786,0.843,0.926,0.917,0.936,0.949,0.954,0.943,0.896,0.059,0.886,0.072,0.907,0.046
500,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.969,0.993,0.945,0.941,0.976,0.909,0.964,0.998,0.932,0.958,0.012,0.989,0.009,0.929,0.015
600,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.938,0.988,0.893,0.135,0.385,0.082,0.945,0.97,0.922,0.673,0.38,0.781,0.28,0.632,0.389
700,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.961,0.959,0.962,0.964,0.993,0.937,0.976,0.993,0.959,0.967,0.006,0.982,0.016,0.953,0.011
800,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.934,0.896,0.975,0.977,0.978,0.976,0.98,0.994,0.967,0.964,0.021,0.956,0.043,0.973,0.004
900,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.983,0.987,0.978,0.987,0.994,0.981,0.964,0.984,0.945,0.978,0.01,0.988,0.004,0.968,0.016
1000,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.968,0.958,0.978,0.983,0.99,0.976,0.968,0.964,0.972,0.973,0.007,0.971,0.014,0.975,0.002
1100,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.961,0.94,0.983,0.967,0.949,0.986,0.975,0.979,0.97,0.968,0.006,0.956,0.017,0.98,0.007
1200,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.764,0.657,0.912,0.988,0.994,0.983,0.979,0.998,0.961,0.91,0.104,0.883,0.16,0.952,0.03
1300,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.292,0.172,0.961,0.96,0.97,0.951,0.977,0.983,0.972,0.743,0.319,0.708,0.379,0.961,0.009
1400,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.981,0.99,0.972,0.949,0.923,0.976,0.972,0.956,0.989,0.967,0.013,0.956,0.027,0.979,0.007
1500,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.977,0.986,0.969,0.292,0.173,0.95,0.975,0.969,0.981,0.748,0.322,0.709,0.379,0.967,0.013
1600,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.986,0.987,0.984,0.986,0.995,0.976,0.986,0.984,0.987,0.986,0.0,0.989,0.005,0.982,0.005
1700,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.302,0.185,0.829,0.965,0.965,0.965,0.979,0.994,0.965,0.749,0.316,0.715,0.375,0.92,0.064
1800,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.95,0.954,0.947,0.966,0.979,0.953,0.957,0.995,0.922,0.958,0.007,0.976,0.017,0.941,0.013
1900,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.978,0.98,0.976,0.959,0.953,0.964,0.991,1.0,0.983,0.976,0.013,0.978,0.019,0.974,0.008
2000,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.967,0.985,0.95,0.985,0.992,0.978,0.985,0.99,0.98,0.979,0.008,0.989,0.003,0.969,0.014
2100,dbpedia_viaf,Random Sample 100,,False,20,100,roberta,3e-5,256,60,20,False,False,0,span_del,general,False,0.975,0.968,0.983,0.941,0.902,0.983,0.988,0.995,0.981,0.968,0.02,0.955,0.039,0.982,0.001
