labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.748,0.63,0.918,0.648,0.485,0.976,0.592,0.55,0.642,0.663,0.079,0.555,0.073,0.845,0.178
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.208,0.237,0.185,0.285,0.166,1.0,0.291,0.176,0.852,0.261,0.046,0.193,0.038,0.679,0.434
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.318,0.221,0.565,0.0,0.0,0.0,0.744,0.751,0.738,0.354,0.373,0.324,0.386,0.434,0.386
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.356,0.254,0.597,0.006,0.5,0.003,0.956,0.985,0.929,0.439,0.48,0.58,0.372,0.51,0.469
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.948,0.974,0.925,0.805,0.795,0.815,0.881,0.972,0.805,0.878,0.072,0.914,0.103,0.848,0.067
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.303,0.211,0.537,0.077,0.205,0.047,0.277,0.354,0.228,0.219,0.124,0.257,0.084,0.271,0.248
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.312,0.204,0.662,0.933,0.95,0.917,0.913,0.972,0.862,0.719,0.353,0.709,0.437,0.814,0.134
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.963,0.976,0.951,0.395,0.272,0.722,0.946,0.951,0.942,0.768,0.323,0.733,0.399,0.872,0.13
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.958,0.945,0.972,0.907,0.917,0.898,0.982,0.981,0.983,0.949,0.038,0.948,0.032,0.951,0.046
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.34,0.253,0.516,0.959,0.974,0.945,0.939,0.925,0.953,0.746,0.352,0.717,0.403,0.805,0.25
1000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.33,0.203,0.885,0.987,0.989,0.984,0.875,0.968,0.799,0.731,0.351,0.72,0.448,0.889,0.093
1100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.848,0.766,0.95,0.938,0.93,0.945,0.974,0.979,0.969,0.92,0.065,0.892,0.112,0.955,0.013
1200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.953,0.934,0.973,0.975,0.993,0.958,0.959,0.973,0.947,0.962,0.011,0.967,0.03,0.959,0.013
1300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.969,0.993,0.947,0.418,0.319,0.606,0.982,0.984,0.98,0.79,0.322,0.765,0.387,0.844,0.207
1400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.974,0.982,0.965,0.975,0.958,0.992,0.966,0.987,0.947,0.972,0.005,0.976,0.016,0.968,0.023
1500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.369,0.252,0.684,0.316,0.204,0.699,0.977,0.989,0.965,0.554,0.367,0.482,0.44,0.783,0.158
1600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.885,0.846,0.926,0.98,0.983,0.976,0.953,1.0,0.911,0.939,0.049,0.943,0.084,0.938,0.034
1700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.478,0.322,0.928,0.98,0.971,0.989,0.988,0.989,0.987,0.815,0.292,0.761,0.38,0.968,0.035
1800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.983,0.989,0.976,0.952,0.926,0.98,0.982,0.98,0.984,0.972,0.018,0.965,0.034,0.98,0.004
1900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.976,0.984,0.969,0.988,0.992,0.984,0.973,0.995,0.951,0.979,0.008,0.99,0.006,0.968,0.017
2000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,general,False,0.983,0.987,0.978,0.974,0.973,0.975,0.98,0.972,0.987,0.979,0.005,0.977,0.008,0.98,0.006
