labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0, 0]",0.994,0.997,0.991,0.992,0.992,0.992,0.991,0.998,0.984,0.992,0.002,0.996,0.003,0.989,0.004
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.00785916378497328, 0.9921408362150267]",0.822,0.704,0.987,0.95,0.953,0.948,0.527,0.372,0.9,0.766,0.217,0.676,0.291,0.945,0.044
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.015595757953836557, 0.9844042420461634]",0.977,0.963,0.991,0.886,0.963,0.821,0.955,0.92,0.994,0.939,0.047,0.949,0.025,0.935,0.099
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.02321262766945218, 0.9767873723305478]",0.992,0.998,0.986,0.984,0.992,0.976,0.955,0.935,0.976,0.977,0.019,0.975,0.035,0.979,0.006
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.030712530712530713, 0.9692874692874693]",0.985,0.984,0.986,0.986,0.992,0.98,0.976,0.965,0.987,0.982,0.006,0.98,0.014,0.984,0.004
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.03809814081072844, 0.9619018591892715]",0.994,0.998,0.989,0.994,0.998,0.989,0.985,0.978,0.992,0.991,0.005,0.991,0.012,0.99,0.002
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.045372050816696916, 0.9546279491833031]",0.994,1.0,0.989,0.992,0.995,0.989,0.962,0.932,0.994,0.983,0.018,0.976,0.038,0.991,0.003
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.05253677574302011, 0.9474632242569799]",0.991,0.997,0.986,0.984,0.997,0.972,0.988,0.992,0.984,0.988,0.004,0.995,0.003,0.981,0.008
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.05959475566150179, 0.9404052443384983]",0.989,0.983,0.995,0.975,0.982,0.967,0.994,0.997,0.991,0.986,0.01,0.987,0.008,0.984,0.015
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,general,False,"[0.06654835847382432, 0.9334516415261757]",0.989,0.989,0.989,0.992,1.0,0.984,0.988,0.986,0.991,0.99,0.002,0.992,0.007,0.988,0.004
