labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
100,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.301,0.277,0.33,0.373,0.413,0.34,0.862,0.815,0.913,0.512,0.305,0.502,0.28,0.528,0.334
200,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.31,0.449,0.237,0.576,0.46,0.77,0.429,0.273,1.0,0.438,0.133,0.394,0.105,0.669,0.391
300,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.647,0.703,0.6,0.639,0.574,0.72,0.735,0.652,0.843,0.674,0.053,0.643,0.065,0.721,0.122
400,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.696,0.702,0.69,0.771,0.661,0.923,0.632,0.18,0.545,0.237,0.871,0.161
500,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.703,0.693,0.713,0.755,0.695,0.827,0.722,0.609,0.887,0.727,0.026,0.666,0.049,0.809,0.088
600,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.794,0.785,0.803,0.817,0.795,0.84,0.793,0.759,0.83,0.801,0.014,0.78,0.019,0.824,0.019
700,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.624,0.521,0.777,0.427,0.284,0.863,0.776,0.732,0.827,0.609,0.175,0.512,0.224,0.822,0.043
800,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.823,0.758,0.9,0.785,0.699,0.897,0.814,0.74,0.903,0.807,0.02,0.732,0.03,0.9,0.003
900,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.86,0.778,0.96,0.837,0.796,0.883,0.753,0.645,0.907,0.817,0.056,0.74,0.082,0.917,0.039
1000,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.854,0.785,0.937,0.822,0.735,0.933,0.427,0.272,0.993,0.701,0.238,0.597,0.283,0.954,0.034
1100,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.828,0.774,0.89,0.795,0.697,0.927,0.782,0.687,0.907,0.802,0.024,0.719,0.048,0.908,0.019
1200,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.567,0.47,0.713,0.781,0.671,0.933,0.592,0.177,0.471,0.199,0.882,0.15
1300,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.43,0.275,0.99,0.429,0.273,1.0,0.809,0.695,0.97,0.556,0.219,0.414,0.243,0.987,0.015
1400,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.798,0.729,0.88,0.814,0.736,0.91,0.835,0.753,0.937,0.816,0.019,0.739,0.012,0.909,0.029
1500,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.859,0.847,0.87,0.827,0.79,0.867,0.429,0.273,1.0,0.705,0.24,0.637,0.316,0.912,0.076
1600,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.836,0.773,0.91,0.847,0.79,0.913,0.817,0.716,0.95,0.833,0.015,0.76,0.039,0.924,0.022
1700,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.864,0.806,0.93,0.811,0.723,0.923,0.701,0.237,0.601,0.287,0.951,0.043
1800,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.418,0.351,0.517,0.84,0.763,0.933,0.562,0.241,0.462,0.263,0.817,0.262
1900,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.853,0.774,0.95,0.863,0.788,0.953,0.831,0.747,0.937,0.849,0.016,0.77,0.021,0.947,0.009
2000,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.837,0.806,0.87,0.429,0.273,1.0,0.429,0.273,1.0,0.565,0.236,0.451,0.308,0.957,0.075
2100,cameras,Random Sample 100,,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.86,0.821,0.903,0.852,0.786,0.93,0.826,0.766,0.897,0.846,0.018,0.791,0.028,0.91,0.018
