labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.818,0.834,0.803,0.827,0.849,0.807,0.793,0.802,0.783,0.813,0.018,0.828,0.024,0.798,0.013
100,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.338,0.321,0.357,0.364,0.27,0.56,0.377,0.047,0.288,0.029,0.639,0.329
200,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.249,0.341,0.197,0.429,0.273,1.0,0.584,0.502,0.697,0.421,0.168,0.372,0.118,0.631,0.406
300,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.569,0.508,0.647,0.557,0.447,0.737,0.631,0.538,0.763,0.586,0.04,0.498,0.046,0.716,0.061
400,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.596,0.633,0.563,0.722,0.604,0.897,0.676,0.548,0.883,0.665,0.064,0.595,0.043,0.781,0.189
500,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.723,0.63,0.847,0.763,0.701,0.837,0.787,0.701,0.897,0.758,0.032,0.677,0.041,0.86,0.032
600,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.605,0.452,0.913,0.725,0.599,0.917,0.767,0.751,0.783,0.699,0.084,0.601,0.15,0.871,0.076
700,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.792,0.692,0.927,0.784,0.667,0.95,0.77,0.794,0.747,0.782,0.011,0.718,0.067,0.875,0.111
800,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.773,0.679,0.897,0.824,0.785,0.867,0.776,0.678,0.907,0.791,0.029,0.714,0.061,0.89,0.021
900,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.801,0.783,0.82,0.814,0.73,0.92,0.821,0.77,0.88,0.812,0.01,0.761,0.028,0.873,0.05
1000,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.81,0.726,0.917,0.788,0.684,0.93,0.803,0.768,0.84,0.8,0.011,0.726,0.042,0.896,0.049
1100,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.823,0.795,0.853,0.431,0.284,0.897,0.763,0.653,0.917,0.672,0.211,0.577,0.264,0.889,0.033
1200,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.84,0.78,0.91,0.812,0.708,0.953,0.783,0.661,0.96,0.812,0.029,0.716,0.06,0.941,0.027
1300,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.816,0.722,0.937,0.791,0.689,0.93,0.849,0.826,0.873,0.819,0.029,0.746,0.072,0.913,0.035
1400,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.821,0.754,0.9,0.862,0.822,0.907,0.383,0.314,0.493,0.689,0.266,0.63,0.276,0.767,0.237
1500,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.767,0.639,0.96,0.429,0.273,1.0,0.825,0.733,0.943,0.674,0.214,0.548,0.243,0.968,0.029
1600,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.855,0.789,0.933,0.868,0.804,0.943,0.872,0.851,0.893,0.865,0.009,0.815,0.032,0.923,0.026
1700,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.829,0.739,0.943,0.854,0.798,0.92,0.81,0.73,0.91,0.831,0.022,0.756,0.037,0.924,0.017
1800,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.807,0.763,0.857,0.863,0.837,0.89,0.82,0.746,0.91,0.83,0.029,0.782,0.048,0.886,0.027
1900,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.662,0.538,0.86,0.842,0.756,0.95,0.644,0.207,0.522,0.242,0.937,0.071
2000,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.851,0.788,0.927,0.846,0.825,0.867,0.826,0.751,0.917,0.841,0.013,0.788,0.037,0.904,0.032
