labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0, 0]",0.953,0.966,0.94,0.961,0.976,0.947,0.955,0.96,0.95,0.956,0.004,0.967,0.008,0.946,0.005
200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.034451079467156635, 0.9655489205328434]",0.626,0.472,0.93,0.431,0.283,0.903,0.531,0.383,0.863,0.529,0.098,0.379,0.095,0.899,0.034
400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.06660746003552398, 0.933392539964476]",0.663,0.504,0.967,0.767,0.675,0.887,0.723,0.637,0.837,0.718,0.052,0.605,0.09,0.897,0.066
600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.09669101847872798, 0.903308981521272]",0.747,0.757,0.737,0.881,0.883,0.88,0.793,0.74,0.853,0.807,0.068,0.793,0.078,0.823,0.076
800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.12489592006661115, 0.8751040799333888]",0.784,0.721,0.86,0.824,0.814,0.833,0.741,0.596,0.98,0.783,0.042,0.71,0.109,0.891,0.078
1000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.15139281388776746, 0.8486071861122325]",0.865,0.877,0.853,0.816,0.785,0.85,0.838,0.769,0.92,0.84,0.025,0.81,0.058,0.874,0.04
1200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.17633228840125392, 0.8236677115987461]",0.846,0.832,0.86,0.829,0.776,0.89,0.856,0.833,0.88,0.844,0.014,0.814,0.033,0.877,0.015
1400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.19984773505900266, 0.8001522649409973]",0.878,0.837,0.923,0.873,0.863,0.883,0.884,0.868,0.9,0.878,0.006,0.856,0.017,0.902,0.02
1600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.22205773501110287, 0.7779422649888971]",0.888,0.867,0.91,0.819,0.743,0.913,0.857,0.818,0.9,0.855,0.035,0.809,0.062,0.908,0.007
1800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.24306805905653583, 0.7569319409434642]",0.892,0.904,0.88,0.871,0.875,0.867,0.858,0.825,0.893,0.874,0.017,0.868,0.04,0.88,0.013
2000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.26297335203366057, 0.7370266479663394]",0.889,0.874,0.903,0.838,0.772,0.917,0.87,0.906,0.837,0.866,0.026,0.851,0.07,0.886,0.043
2200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.2818585582507687, 0.7181414417492313]",0.871,0.844,0.9,0.894,0.863,0.927,0.898,0.86,0.94,0.888,0.015,0.856,0.01,0.922,0.02
2400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.29980013324450366, 0.7001998667554963]",0.888,0.867,0.91,0.887,0.882,0.893,0.903,0.88,0.927,0.893,0.009,0.876,0.008,0.91,0.017
2600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.31686707832304195, 0.683132921676958]",0.922,0.923,0.92,0.887,0.887,0.887,0.912,0.913,0.91,0.907,0.018,0.908,0.019,0.906,0.017
2800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.3331218274111675, 0.6668781725888325]",0.915,0.916,0.913,0.888,0.89,0.887,0.894,0.878,0.91,0.899,0.014,0.895,0.019,0.903,0.014
3000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.3486210102262163, 0.6513789897737837]",0.896,0.899,0.893,0.906,0.915,0.897,0.916,0.906,0.927,0.906,0.01,0.907,0.008,0.906,0.019
3200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.3634161114476075, 0.6365838885523925]",0.901,0.92,0.883,0.895,0.913,0.877,0.885,0.886,0.883,0.894,0.008,0.906,0.018,0.881,0.003
3400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.37755404204915605, 0.6224459579508439]",0.903,0.936,0.873,0.921,0.926,0.917,0.9,0.882,0.92,0.908,0.011,0.915,0.029,0.903,0.026
3600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.3910776361529548, 0.6089223638470452]",0.945,0.944,0.947,0.923,0.912,0.933,0.891,0.872,0.91,0.92,0.027,0.909,0.036,0.93,0.019
3800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.4040260844910689, 0.5959739155089311]",0.916,0.925,0.907,0.921,0.932,0.91,0.9,0.9,0.9,0.912,0.011,0.919,0.017,0.906,0.005
4000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.416435313714603, 0.583564686285397]",0.915,0.931,0.9,0.92,0.935,0.907,0.913,0.931,0.897,0.916,0.004,0.932,0.002,0.901,0.005
