labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.673,0.521,0.95,0.685,0.536,0.95,0.525,0.362,0.953,0.628,0.089,0.473,0.096,0.951,0.002
200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.396,0.316,0.53,0.184,0.238,0.15,0.0,0.0,0.0,0.193,0.198,0.185,0.165,0.227,0.273
400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.684,0.714,0.657,0.615,0.533,0.727,0.683,0.588,0.813,0.661,0.04,0.612,0.093,0.732,0.078
600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.752,0.668,0.86,0.765,0.713,0.827,0.675,0.579,0.81,0.731,0.049,0.653,0.068,0.832,0.025
800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.786,0.71,0.88,0.771,0.696,0.863,0.422,0.269,0.97,0.66,0.206,0.558,0.251,0.904,0.058
1000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.782,0.667,0.943,0.783,0.695,0.897,0.429,0.273,1.0,0.665,0.204,0.545,0.236,0.947,0.052
1200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.78,0.69,0.897,0.827,0.744,0.93,0.783,0.691,0.903,0.797,0.026,0.708,0.031,0.91,0.018
1400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.783,0.685,0.913,0.733,0.646,0.847,0.795,0.731,0.87,0.77,0.033,0.687,0.043,0.877,0.034
1600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.429,0.273,1.0,0.834,0.785,0.89,0.76,0.659,0.897,0.674,0.216,0.572,0.267,0.929,0.062
1800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.848,0.813,0.887,0.854,0.849,0.86,0.812,0.725,0.923,0.838,0.023,0.796,0.064,0.89,0.032
2000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.85,0.816,0.887,0.854,0.815,0.897,0.824,0.752,0.91,0.843,0.016,0.794,0.037,0.898,0.012
2200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.854,0.778,0.947,0.836,0.746,0.95,0.862,0.848,0.877,0.851,0.013,0.791,0.052,0.925,0.041
2400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.84,0.78,0.91,0.814,0.727,0.923,0.865,0.825,0.91,0.84,0.026,0.777,0.049,0.914,0.008
2600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.823,0.76,0.897,0.858,0.797,0.93,0.848,0.766,0.95,0.843,0.018,0.774,0.02,0.926,0.027
2800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.879,0.872,0.887,0.839,0.785,0.9,0.872,0.813,0.94,0.863,0.021,0.823,0.044,0.909,0.028
3000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.861,0.828,0.897,0.899,0.879,0.92,0.882,0.834,0.937,0.881,0.019,0.847,0.028,0.918,0.02
3200,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.894,0.875,0.913,0.887,0.869,0.907,0.899,0.867,0.933,0.893,0.006,0.87,0.004,0.918,0.014
3400,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.906,0.909,0.903,0.912,0.931,0.893,0.872,0.819,0.933,0.897,0.022,0.886,0.059,0.91,0.021
3600,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.917,0.917,0.917,0.879,0.86,0.9,0.881,0.851,0.913,0.892,0.021,0.876,0.036,0.91,0.009
3800,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.713,0.677,0.753,0.888,0.844,0.937,0.836,0.78,0.9,0.812,0.09,0.767,0.084,0.863,0.097
4000,watches,Transfer Learning,cameras,False,20,200,roberta,"3,00E-05",256,60,20,False,False,0,span_del,product,False,0.902,0.917,0.887,0.918,0.901,0.937,0.892,0.854,0.933,0.904,0.013,0.891,0.033,0.919,0.028
