labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.313,0.214,0.586,4,0.272,0.16,0.923,19,0.148,0.116,0.205,2,0.244,0.086,0.163,0.049,0.571,0.359
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.276,0.165,0.845,5,0.266,0.153,0.995,12,0.266,0.153,0.991,4,0.269,0.006,0.157,0.007,0.944,0.085
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.272,0.16,0.895,6,0.265,0.153,0.991,19,0.273,0.16,0.941,6,0.27,0.004,0.158,0.004,0.942,0.048
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.288,0.173,0.855,8,0.265,0.166,0.655,8,0.283,0.167,0.923,6,0.279,0.012,0.169,0.004,0.811,0.139
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.281,0.165,0.936,9,0.227,0.16,0.386,9,0.279,0.167,0.845,7,0.262,0.031,0.164,0.004,0.722,0.295
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.277,0.164,0.895,10,0.297,0.186,0.741,7,0.271,0.165,0.764,8,0.282,0.014,0.172,0.012,0.8,0.083
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.307,0.189,0.814,8,0.299,0.184,0.791,7,0.284,0.175,0.755,8,0.297,0.012,0.183,0.007,0.787,0.03
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.274,0.175,0.636,7,0.298,0.185,0.773,7,0.279,0.169,0.814,8,0.284,0.013,0.176,0.008,0.741,0.093
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.295,0.184,0.75,6,0.316,0.198,0.782,7,0.277,0.167,0.809,7,0.296,0.02,0.183,0.016,0.78,0.03
200,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.308,0.203,0.645,6,0.312,0.191,0.855,8,0.276,0.167,0.795,7,0.299,0.02,0.187,0.018,0.765,0.108
220,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.326,0.227,0.577,6,0.298,0.179,0.873,8,0.283,0.18,0.664,7,0.302,0.022,0.195,0.027,0.705,0.152
240,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.327,0.224,0.6,6,0.306,0.188,0.818,9,0.288,0.174,0.841,7,0.307,0.02,0.195,0.026,0.753,0.133
260,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.277,0.197,0.464,6,0.296,0.178,0.873,9,0.285,0.17,0.873,7,0.286,0.01,0.182,0.014,0.737,0.236
280,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.313,0.222,0.527,6,0.295,0.178,0.859,8,0.291,0.19,0.618,7,0.3,0.012,0.197,0.023,0.668,0.172
300,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.314,0.229,0.5,5,0.332,0.237,0.555,8,0.297,0.187,0.723,7,0.314,0.018,0.218,0.027,0.593,0.116
320,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.337,0.263,0.468,5,0.296,0.179,0.855,7,0.303,0.2,0.623,7,0.312,0.022,0.214,0.044,0.649,0.195
340,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.33,0.228,0.595,5,0.281,0.167,0.877,8,0.286,0.175,0.782,7,0.299,0.027,0.19,0.033,0.751,0.143
360,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.382,0.283,0.586,5,0.318,0.21,0.659,8,0.303,0.189,0.759,7,0.334,0.042,0.227,0.049,0.668,0.087
380,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.362,0.273,0.536,5,0.313,0.226,0.509,8,0.317,0.206,0.682,7,0.331,0.027,0.235,0.034,0.576,0.093
400,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.358,0.259,0.582,5,0.305,0.187,0.814,8,0.296,0.196,0.6,7,0.32,0.034,0.214,0.039,0.665,0.129
420,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.394,0.302,0.568,5,0.313,0.213,0.591,8,0.331,0.222,0.65,7,0.346,0.043,0.246,0.049,0.603,0.042
440,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.388,0.286,0.605,5,0.353,0.247,0.618,8,0.322,0.2,0.832,6,0.354,0.033,0.244,0.043,0.685,0.127
460,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.385,0.29,0.573,5,0.379,0.28,0.586,7,0.328,0.227,0.595,6,0.364,0.031,0.266,0.034,0.585,0.011
480,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.421,0.31,0.655,5,0.354,0.229,0.777,7,0.33,0.226,0.614,6,0.368,0.047,0.255,0.048,0.682,0.085
500,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.378,0.321,0.459,5,0.33,0.222,0.645,7,0.34,0.221,0.741,6,0.349,0.025,0.255,0.057,0.615,0.143
520,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.384,0.286,0.582,5,0.319,0.216,0.609,7,0.341,0.236,0.609,7,0.348,0.033,0.246,0.036,0.6,0.016
540,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.373,0.303,0.486,5,0.292,0.196,0.573,7,0.355,0.235,0.718,6,0.34,0.043,0.245,0.054,0.592,0.117
560,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.361,0.332,0.395,5,0.344,0.273,0.464,7,0.34,0.216,0.805,6,0.348,0.011,0.274,0.058,0.555,0.22
580,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.447,0.37,0.564,5,0.329,0.252,0.473,7,0.355,0.269,0.523,6,0.377,0.062,0.297,0.064,0.52,0.046
600,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.398,0.341,0.477,5,0.375,0.319,0.455,7,0.326,0.217,0.655,6,0.366,0.037,0.292,0.066,0.529,0.11
620,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.37,0.312,0.455,5,0.358,0.29,0.468,7,0.337,0.271,0.445,6,0.355,0.017,0.291,0.021,0.456,0.012
640,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.446,0.358,0.591,4,0.332,0.284,0.4,6,0.351,0.245,0.618,6,0.376,0.061,0.296,0.057,0.536,0.119
660,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.407,0.355,0.477,4,0.395,0.304,0.564,6,0.341,0.269,0.464,6,0.381,0.035,0.309,0.043,0.502,0.054
680,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.396,0.341,0.473,4,0.365,0.339,0.395,6,0.38,0.292,0.545,6,0.38,0.016,0.324,0.028,0.471,0.075
700,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.415,0.393,0.441,4,0.41,0.357,0.482,6,0.338,0.214,0.805,6,0.388,0.043,0.321,0.095,0.576,0.199
720,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.445,0.41,0.486,4,0.359,0.274,0.523,6,0.356,0.29,0.459,6,0.387,0.051,0.325,0.074,0.489,0.032
740,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.361,0.335,0.391,4,0.434,0.383,0.5,6,0.339,0.242,0.568,6,0.378,0.05,0.32,0.072,0.486,0.089
760,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.404,0.29,0.668,4,0.403,0.31,0.573,6,0.374,0.302,0.491,6,0.394,0.017,0.301,0.01,0.577,0.089
780,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.452,0.347,0.645,4,0.425,0.375,0.491,6,0.352,0.249,0.6,5,0.41,0.052,0.324,0.066,0.579,0.079
800,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.422,0.341,0.555,4,0.425,0.34,0.568,5,0.417,0.322,0.591,5,0.421,0.004,0.334,0.011,0.571,0.018
