labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels.1,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.268,0.155,0.995,1,"[0, 45, 0, 12]",0.292,0.182,0.727,1,"[0, 10, 0, 6]",0.266,0.153,0.995,1,"[0, 31, 0, 12]",0.275,0.014,0.163,0.016,0.906,0.155
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.181,0.75,6,"[0, 0, 0, 0]",0.266,0.154,1.0,9,"[0, 0, 0, 0]",0.255,0.149,0.864,6,"[0, 0, 0, 0]",0.271,0.018,0.161,0.017,0.871,0.125
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.173,0.905,6,"[0, 0, 0, 0]",0.27,0.157,0.982,7,"[0, 0, 0, 0]",0.267,0.155,0.945,5,"[0, 0, 0, 0]",0.276,0.013,0.162,0.01,0.944,0.039
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.282,0.166,0.932,7,"[0, 0, 0, 0]",0.275,0.16,0.982,11,"[0, 0, 0, 0]",0.287,0.171,0.895,5,"[0, 0, 0, 0]",0.281,0.006,0.166,0.006,0.936,0.044
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.274,0.16,0.941,7,"[0, 0, 0, 0]",0.269,0.156,0.982,12,"[0, 0, 0, 0]",0.282,0.171,0.795,6,"[0, 0, 0, 0]",0.275,0.007,0.162,0.008,0.906,0.098
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.281,0.166,0.909,8,"[0, 0, 0, 0]",0.297,0.184,0.782,10,"[0, 0, 0, 0]",0.306,0.193,0.736,6,"[0, 0, 0, 0]",0.295,0.013,0.181,0.014,0.809,0.09
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.292,0.178,0.8,7,"[0, 0, 0, 0]",0.32,0.207,0.705,9,"[0, 1, 0, 0]",0.308,0.206,0.605,7,"[0, 0, 0, 0]",0.307,0.014,0.197,0.016,0.703,0.098
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.293,0.181,0.777,7,"[0, 0, 0, 0]",0.309,0.207,0.605,6,"[0, 5, 0, 1]",0.292,0.192,0.609,6,"[0, 0, 0, 0]",0.298,0.01,0.193,0.013,0.664,0.098
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.302,0.203,0.586,4,"[0, 16, 0, 3]",0.294,0.183,0.745,5,"[0, 11, 0, 1]",0.27,0.161,0.855,5,"[0, 2, 0, 1]",0.289,0.017,0.182,0.021,0.729,0.135
200,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.297,0.188,0.709,4,"[0, 11, 0, 1]",0.316,0.206,0.682,6,"[0, 6, 0, 1]",0.273,0.162,0.882,6,"[0, 0, 0, 0]",0.295,0.022,0.185,0.022,0.758,0.109
220,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.318,0.205,0.709,4,"[0, 11, 0, 1]",0.305,0.189,0.795,6,"[0, 6, 0, 1]",0.273,0.189,0.491,6,"[0, 0, 0, 0]",0.299,0.023,0.194,0.009,0.665,0.157
240,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.3,0.204,0.568,4,"[0, 12, 0, 1]",0.316,0.242,0.455,1,"[0, 82, 0, 28]",0.287,0.19,0.582,5,"[0, 6, 0, 0]",0.301,0.015,0.212,0.027,0.535,0.07
260,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.309,0.204,0.636,4,"[0, 17, 0, 1]",0.338,0.221,0.718,8,"[71, 0, 3, 0]",0.279,0.206,0.432,1,"[0, 93, 0, 17]",0.309,0.03,0.21,0.009,0.595,0.147
280,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.308,0.203,0.636,4,"[0, 24, 0, 2]",0.316,0.232,0.495,3,"[0, 35, 0, 1]",0.284,0.177,0.714,11,"[226, 1, 14, 1]",0.303,0.017,0.204,0.028,0.615,0.111
300,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.307,0.204,0.618,4,"[0, 23, 0, 3]",0.338,0.227,0.659,4,"[1, 25, 0, 1]",0.286,0.207,0.464,2,"[0, 83, 0, 19]",0.31,0.026,0.213,0.013,0.58,0.103
320,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.321,0.228,0.541,3,"[0, 25, 0, 3]",0.315,0.233,0.486,3,"[0, 29, 0, 2]",0.291,0.177,0.823,3,"[24, 43, 0, 8]",0.309,0.016,0.213,0.031,0.617,0.181
340,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.207,0.486,4,"[4, 24, 0, 0]",0.307,0.231,0.459,3,"[6, 32, 0, 5]",0.312,0.203,0.682,5,"[0, 0, 0, 0]",0.303,0.011,0.214,0.015,0.542,0.122
360,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.325,0.224,0.591,3,"[1, 33, 0, 6]",0.347,0.242,0.614,3,"[9, 42, 0, 6]",0.326,0.248,0.477,6,"[0, 0, 0, 0]",0.333,0.012,0.238,0.012,0.561,0.073
380,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.312,0.238,0.455,3,"[0, 36, 0, 7]",0.316,0.245,0.445,1,"[0, 125, 0, 41]",0.308,0.226,0.482,4,"[0, 9, 0, 6]",0.312,0.004,0.236,0.01,0.461,0.019
400,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.272,0.183,0.532,4,"[1, 15, 0, 8]",0.343,0.265,0.486,8,"[199, 3, 17, 3]",0.305,0.198,0.659,5,"[0, 7, 0, 5]",0.307,0.036,0.215,0.044,0.559,0.09
420,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.253,0.205,0.332,2,"[0, 67, 0, 16]",0.326,0.251,0.464,3,"[0, 36, 0, 12]",0.326,0.224,0.6,2,"[0, 121, 0, 39]",0.302,0.042,0.227,0.023,0.465,0.134
