labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.296,0.185,0.741,2,"[10, 8, 0, 2]",0.278,0.169,0.788,2,"[10, 6, 0, 4]",0.256,0.203,0.347,1,"[8, 5, 2, 5]",0.277,0.02,0.186,0.017,0.625,0.242
40,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.292,0.208,0.486,2,"[10, 9, 0, 1]",0.296,0.175,0.969,3,"[9, 7, 1, 3]",0.262,0.173,0.541,2,"[9, 6, 1, 4]",0.283,0.019,0.185,0.02,0.665,0.264
60,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.193,0.194,0.193,2,"[9, 9, 1, 1]",0.3,0.196,0.633,3,"[9, 7, 1, 3]",0.254,0.191,0.378,2,"[9, 8, 1, 2]",0.249,0.054,0.194,0.003,0.401,0.221
80,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.227,0.194,0.274,3,"[9, 10, 1, 0]",0.335,0.211,0.815,4,"[10, 7, 0, 3]",0.296,0.219,0.456,3,"[10, 8, 0, 2]",0.286,0.055,0.208,0.013,0.515,0.275
100,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.274,0.175,0.622,3,"[9, 10, 1, 0]",0.311,0.193,0.795,4,"[9, 7, 1, 3]",0.277,0.179,0.61,3,"[10, 7, 0, 3]",0.287,0.021,0.182,0.009,0.676,0.104
120,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.297,0.232,0.413,2,"[10, 10, 0, 0]",0.332,0.229,0.598,4,"[10, 7, 0, 3]",0.278,0.224,0.367,3,"[10, 8, 0, 2]",0.302,0.027,0.228,0.004,0.459,0.122
140,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.323,0.255,0.44,2,"[7, 8, 3, 2]",0.344,0.248,0.564,4,"[9, 6, 1, 4]",0.372,0.257,0.676,3,"[10, 7, 0, 3]",0.346,0.025,0.253,0.005,0.56,0.118
160,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.271,0.175,0.598,3,"[9, 8, 1, 2]",0.335,0.253,0.494,4,"[9, 6, 1, 4]",0.355,0.251,0.61,3,"[10, 7, 0, 3]",0.32,0.044,0.226,0.044,0.567,0.064
180,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.297,0.223,0.444,3,"[5, 6, 5, 4]",0.349,0.255,0.552,4,"[9, 7, 1, 3]",0.375,0.269,0.614,3,"[10, 5, 0, 5]",0.34,0.04,0.249,0.024,0.537,0.086
200,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.321,0.241,0.479,3,"[8, 6, 2, 4]",0.354,0.269,0.517,4,"[10, 5, 0, 5]",0.357,0.243,0.672,3,"[10, 6, 0, 4]",0.344,0.02,0.251,0.016,0.556,0.102
