# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.281 (0.026),0.257 (0.014),0.277 (0.020),0.272 (0.012),0.266 (0.000)
40,0.272 (0.029),0.222 (0.110),0.283 (0.019),0.280 (0.026),0.267 (0.043)
60,0.312 (0.059),0.292 (0.029),0.249 (0.054),0.309 (0.012),0.276 (0.026)
80,0.287 (0.023),0.293 (0.020),0.286 (0.055),0.302 (0.015),0.306 (0.013)
100,0.284 (0.017),0.312 (0.006),0.287 (0.021),0.292 (0.027),0.288 (0.043)
120,0.313 (0.038),0.318 (0.048),0.302 (0.027),0.310 (0.017),0.294 (0.026)
140,0.306 (0.036),0.334 (0.003),0.346 (0.025),0.299 (0.040),0.302 (0.012)
160,0.306 (0.036),0.328 (0.008),0.320 (0.044),0.319 (0.045),0.325 (0.022)
180,0.314 (0.037),0.333 (0.017),0.340 (0.040),0.327 (0.038),0.316 (0.036)
200,0.312 (0.020),0.340 (0.013),0.344 (0.020),0.315 (0.027),0.332 (0.043)
220,0.327 (0.017),0.344 (0.017),0.354 (0.039),0.325 (0.038),0.328 (0.027)
240,0.322 (0.007),0.346 (0.002),0.363 (0.021),0.346 (0.047),0.328 (0.034)
260,0.342 (0.007),0.355 (0.016),0.360 (0.027),0.353 (0.026),0.336 (0.001)
280,0.354 (0.018),0.370 (0.004),0.370 (0.021),0.346 (0.039),0.325 (0.034)
300,0.345 (0.019),0.365 (0.023),0.389 (0.011),0.345 (0.054),0.359 (0.025)
320,0.346 (0.009),0.393 (0.003),0.379 (0.031),0.378 (0.034),0.397 (0.046)
340,0.374 (0.028),0.383 (0.018),0.397 (0.023),0.347 (0.037),0.358 (0.023)
360,0.385 (0.015),0.407 (0.022),0.417 (0.048),0.391 (0.045),0.385 (0.019)
380,0.372 (0.022),0.397 (0.018),0.403 (0.013),0.393 (0.050),0.382 (0.028)
400,0.396 (0.035),0.407 (0.021),0.405 (0.028),0.378 (0.035),0.390 (0.039)
420,0.385 (0.024),0.418 (0.042),0.436 (0.033),0.392 (0.031),0.411 (0.045)
440,0.419 (0.026),0.411 (0.045),0.410 (0.045),0.391 (0.028),0.402 (0.043)
460,0.407 (0.043),0.426 (0.019),0.448 (0.036),0.401 (0.024),0.389 (0.020)
480,0.417 (0.029),0.471 (0.014),0.409 (0.009),0.398 (0.027),0.397 (0.025)
500,0.425 (0.027),0.439 (0.025),0.438 (0.025),0.401 (0.038),0.415 (0.035)
520,0.408 (0.070),0.435 (0.043),0.443 (0.049),0.441 (0.008),0.397 (0.025)
540,0.428 (0.039),0.448 (0.001),0.457 (0.015),0.428 (0.027),0.432 (0.021)
560,0.452 (0.028),0.460 (0.020),0.463 (0.026),0.425 (0.007),0.414 (0.025)
580,0.452 (0.049),0.438 (0.005),0.454 (0.013),0.461 (0.028),0.463 (0.035)
600,0.458 (0.038),0.450 (0.032),0.483 (0.004),0.440 (0.013),0.444 (0.042)
620,0.447 (0.022),0.468 (0.016),0.484 (0.028),0.424 (0.008),0.460 (0.030)
640,0.474 (0.030),0.460 (0.016),0.483 (0.014),0.444 (0.012),0.444 (0.018)
660,0.489 (0.028),0.494 (0.026),0.503 (0.038),0.452 (0.025),0.435 (0.015)
680,0.492 (0.027),0.506 (0.034),0.483 (0.026),0.448 (0.039),0.429 (0.008)
700,0.493 (0.027),0.492 (0.016),0.495 (0.013),0.467 (0.008),0.450 (0.009)
720,0.492 (0.030),0.494 (0.031),0.483 (0.021),0.468 (0.018),0.468 (0.019)
740,0.476 (0.017),0.514 (0.005),0.500 (0.028),0.451 (0.021),0.456 (0.030)
760,0.490 (0.047),0.481 (0.045),0.483 (0.023),0.452 (0.023),0.533 (0.025)
780,0.490 (0.035),0.517 (0.027),0.485 (0.010),0.485 (0.014),0.456 (0.012)
800,0.499 (0.050),0.492 (0.052),0.531 (0.029),0.463 (0.028),0.502 (0.026)
820,0.512 (0.013),0.493 (0.011),0.500 (0.036),0.480 (0.032),0.476 (0.056)
840,0.530 (0.019),0.508 (0.007),0.525 (0.012),0.467 (0.006),0.520 (0.029)
860,0.533 (0.028),0.538 (0.033),0.517 (0.050),0.473 (0.012),0.519 (0.033)
880,0.520 (0.030),0.539 (0.010),0.519 (0.023),0.479 (0.015),0.513 (0.027)
900,0.528 (0.034),0.480 (0.033),0.528 (0.047),0.482 (0.013),0.547 (0.051)
920,0.536 (0.026),0.527 (0.014),0.514 (0.020),0.505 (0.010),0.553 (0.027)
940,0.526 (0.040),0.493 (0.044),0.525 (0.019),0.493 (0.002),0.536 (0.023)
960,0.530 (0.040),0.529 (0.013),0.514 (0.019),0.496 (0.024),0.544 (0.023)
980,0.545 (0.058),0.518 (0.005),0.539 (0.023),0.504 (0.019),0.527 (0.019)
1000,0.534 (0.026),0.505 (0.020),0.532 (0.029),0.501 (0.012),0.523 (0.060)
