labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.276,0.16,0.996,6,0.281,0.173,0.738,2,0.316,0.199,0.759,1,0.291,0.022,0.177,0.02,0.831,0.143
40,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.291,0.17,0.998,12,0.39,0.423,0.362,2,0.306,0.187,0.829,2,0.329,0.053,0.26,0.141,0.73,0.329
60,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.273,0.158,0.998,19,0.379,0.276,0.601,3,0.308,0.187,0.857,2,0.32,0.054,0.207,0.061,0.819,0.201
80,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.489,0.573,0.426,4,0.494,0.423,0.595,3,0.341,0.21,0.904,2,0.441,0.087,0.402,0.182,0.642,0.242
100,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.512,0.445,0.603,4,0.415,0.683,0.299,3,0.382,0.248,0.838,3,0.436,0.068,0.459,0.218,0.58,0.27
120,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.518,0.71,0.407,4,0.583,0.544,0.627,3,0.362,0.255,0.625,3,0.488,0.114,0.503,0.23,0.553,0.126
140,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.499,0.537,0.467,3,0.594,0.522,0.689,3,0.51,0.375,0.8,3,0.534,0.052,0.478,0.09,0.652,0.17
160,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.602,0.631,0.576,3,0.617,0.592,0.644,3,0.5,0.394,0.684,3,0.573,0.064,0.539,0.127,0.635,0.055
180,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.625,0.613,0.638,3,0.646,0.671,0.623,3,0.58,0.6,0.561,3,0.617,0.034,0.628,0.038,0.607,0.041
200,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.606,0.557,0.665,3,0.652,0.543,0.817,3,0.64,0.568,0.733,3,0.633,0.024,0.556,0.013,0.738,0.076
220,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.696,0.669,0.725,2,0.628,0.529,0.772,3,0.65,0.632,0.67,3,0.658,0.035,0.61,0.073,0.722,0.051
240,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.675,0.714,0.64,2,0.667,0.583,0.778,3,0.66,0.644,0.678,3,0.667,0.008,0.647,0.066,0.699,0.071
260,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.693,0.727,0.663,2,0.704,0.667,0.744,3,0.666,0.576,0.789,3,0.688,0.02,0.657,0.076,0.732,0.064
280,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.708,0.652,0.774,2,0.673,0.646,0.704,3,0.696,0.643,0.759,3,0.692,0.018,0.647,0.005,0.746,0.037
300,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.732,0.728,0.736,2,0.685,0.717,0.655,3,0.695,0.684,0.706,3,0.704,0.025,0.71,0.023,0.699,0.041
320,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.719,0.692,0.748,2,0.727,0.645,0.834,3,0.734,0.681,0.795,3,0.727,0.008,0.673,0.025,0.792,0.043
340,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.704,0.713,0.695,2,0.707,0.614,0.834,3,0.735,0.714,0.757,3,0.715,0.017,0.68,0.057,0.762,0.07
360,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.715,0.665,0.772,2,0.73,0.712,0.748,3,0.736,0.702,0.774,3,0.727,0.011,0.693,0.025,0.765,0.014
380,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.732,0.762,0.704,2,0.721,0.664,0.789,3,0.744,0.715,0.776,3,0.732,0.012,0.714,0.049,0.756,0.046
400,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.76,0.77,0.751,2,0.734,0.658,0.829,2,0.75,0.714,0.789,3,0.748,0.013,0.714,0.056,0.79,0.039
420,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.778,0.8,0.757,2,0.738,0.744,0.731,2,0.779,0.781,0.776,2,0.765,0.023,0.775,0.028,0.755,0.023
