labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.275,0.167,0.778,1,"[10, 0, 0, 10]",0.318,0.211,0.646,1,"[10, 0, 0, 10]",0.098,0.756,0.052,1,"[10, 0, 0, 10]",0.23,0.117,0.378,0.328,0.492,0.387
40,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.355,0.32,0.399,1,"[10, 4, 0, 6]",0.328,0.252,0.472,1,"[10, 3, 0, 7]",0.272,0.564,0.179,1,"[10, 0, 0, 10]",0.318,0.042,0.379,0.164,0.35,0.153
60,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.481,0.367,0.699,2,"[9, 2, 1, 8]",0.353,0.258,0.562,2,"[10, 3, 0, 7]",0.248,0.505,0.164,1,"[10, 0, 0, 10]",0.361,0.117,0.377,0.124,0.475,0.278
80,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.44,0.376,0.531,2,"[10, 2, 0, 8]",0.401,0.299,0.607,2,"[10, 3, 0, 7]",0.259,0.618,0.164,1,"[10, 0, 0, 10]",0.367,0.095,0.431,0.166,0.434,0.237
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.522,0.455,0.613,2,"[10, 2, 0, 8]",0.429,0.37,0.509,2,"[10, 3, 0, 7]",0.426,0.626,0.323,1,"[10, 0, 0, 10]",0.459,0.055,0.484,0.13,0.482,0.147
120,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.515,0.455,0.594,2,"[10, 2, 0, 8]",0.446,0.481,0.416,2,"[10, 3, 0, 7]",0.53,0.652,0.447,1,"[10, 0, 0, 10]",0.497,0.045,0.529,0.107,0.486,0.095
140,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.578,0.474,0.739,2,"[10, 2, 0, 8]",0.542,0.49,0.606,2,"[10, 3, 0, 7]",0.595,0.597,0.594,1,"[10, 7, 0, 3]",0.572,0.027,0.52,0.067,0.646,0.08
160,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.608,0.513,0.745,2,"[10, 2, 0, 8]",0.573,0.582,0.565,2,"[10, 3, 0, 7]",0.59,0.557,0.628,1,"[10, 6, 0, 4]",0.59,0.018,0.551,0.035,0.646,0.091
180,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.601,0.586,0.618,2,"[10, 2, 0, 8]",0.553,0.519,0.592,2,"[10, 3, 0, 7]",0.632,0.62,0.645,1,"[10, 4, 0, 6]",0.595,0.04,0.575,0.051,0.618,0.027
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.656,0.557,0.799,2,"[10, 2, 0, 8]",0.568,0.554,0.584,2,"[10, 3, 0, 7]",0.592,0.584,0.601,1,"[10, 9, 0, 1]",0.605,0.045,0.565,0.017,0.661,0.12
220,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.711,0.66,0.772,2,"[10, 1, 0, 9]",0.668,0.618,0.726,2,"[10, 2, 0, 8]",0.592,0.568,0.618,1,"[10, 9, 0, 1]",0.657,0.06,0.615,0.046,0.705,0.079
240,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.72,0.657,0.795,2,"[10, 3, 0, 7]",0.705,0.66,0.756,2,"[10, 3, 0, 7]",0.685,0.603,0.792,1,"[10, 8, 0, 2]",0.703,0.018,0.64,0.032,0.781,0.022
260,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.704,0.644,0.775,2,"[10, 2, 0, 8]",0.697,0.653,0.748,2,"[10, 3, 0, 7]",0.703,0.639,0.782,1,"[10, 2, 0, 8]",0.701,0.004,0.645,0.007,0.768,0.018
