# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.285 (0.173),0.461 (0.026),0.284 (0.115),0.222 (0.188),0.362 (0.161)
40,0.442 (0.121),0.400 (0.116),0.296 (0.158),0.497 (0.020),0.459 (0.048)
60,0.516 (0.050),0.513 (0.022),0.401 (0.043),0.481 (0.021),0.422 (0.086)
80,0.522 (0.047),0.530 (0.017),0.483 (0.056),0.486 (0.022),0.449 (0.069)
100,0.558 (0.017),0.468 (0.096),0.437 (0.030),0.468 (0.011),0.475 (0.041)
120,0.580 (0.027),0.529 (0.018),0.453 (0.118),0.497 (0.027),0.488 (0.132)
140,0.553 (0.024),0.531 (0.029),0.488 (0.030),0.473 (0.045),0.539 (0.021)
160,0.554 (0.037),0.535 (0.001),0.524 (0.011),0.463 (0.051),0.561 (0.010)
180,0.553 (0.025),0.543 (0.020),0.512 (0.066),0.500 (0.011),0.573 (0.020)
200,0.578 (0.019),0.541 (0.029),0.541 (0.039),0.496 (0.016),0.596 (0.010)
220,0.577 (0.023),0.554 (0.017),0.546 (0.021),0.521 (0.015),0.582 (0.019)
240,0.532 (0.038),0.556 (0.003),0.565 (0.017),0.505 (0.025),0.587 (0.035)
260,0.585 (0.026),0.568 (0.008),0.551 (0.008),0.500 (0.014),0.583 (0.021)
280,0.586 (0.027),0.562 (0.015),0.578 (0.018),0.497 (0.017),0.581 (0.010)
300,0.584 (0.008),0.577 (0.029),0.575 (0.018),0.512 (0.014),0.592 (0.002)
320,0.588 (0.019),0.572 (0.012),0.551 (0.030),0.531 (0.013),0.588 (0.011)
340,0.572 (0.027),0.595 (0.022),0.583 (0.017),0.524 (0.018),0.588 (0.030)
360,0.617 (0.020),0.580 (0.019),0.571 (0.033),0.516 (0.018),0.595 (0.036)
380,0.597 (0.017),0.580 (0.018),0.578 (0.023),0.514 (0.021),0.586 (0.009)
400,0.597 (0.017),0.578 (0.005),0.573 (0.034),0.513 (0.018),0.611 (0.029)
420,0.613 (0.005),0.590 (0.010),0.575 (0.009),0.528 (0.020),0.591 (0.024)
440,0.601 (0.017),0.593 (0.013),0.591 (0.001),0.539 (0.011),0.618 (0.009)
460,0.605 (0.035),0.592 (0.001),0.585 (0.004),0.559 (0.025),0.610 (0.019)
480,0.619 (0.017),0.612 (0.018),0.593 (0.025),0.560 (0.018),0.616 (0.006)
500,0.607 (0.020),0.625 (0.025),0.605 (0.015),0.565 (0.016),0.627 (0.004)
520,0.624 (0.015),0.604 (0.013),0.591 (0.026),0.547 (0.022),0.618 (0.007)
540,0.619 (0.027),0.616 (0.024),0.595 (0.010),0.562 (0.002),0.641 (0.008)
560,0.634 (0.013),0.628 (0.013),0.599 (0.014),0.558 (0.019),0.617 (0.008)
580,0.625 (0.032),0.610 (0.006),0.625 (0.007),0.572 (0.012),0.614 (0.006)
600,0.608 (0.027),0.605 (0.021),0.624 (0.010),0.572 (0.020),0.629 (0.005)
620,0.625 (0.026),0.613 (0.031),0.618 (0.021),0.580 (0.019),0.643 (0.007)
640,0.624 (0.017),0.632 (0.013),0.615 (0.017),0.574 (0.024),0.634 (0.003)
660,0.623 (0.038),0.614 (0.012),0.620 (0.003),0.580 (0.010),0.633 (0.013)
680,0.646 (0.009),0.629 (0.003),0.627 (0.017),0.590 (0.014),0.649 (0.021)
700,0.634 (0.022),0.635 (0.021),0.633 (0.023),0.589 (0.014),0.635 (0.007)
720,0.632 (0.029),0.625 (0.018),0.648 (0.016),0.587 (0.022),0.642 (0.014)
740,0.653 (0.011),0.635 (0.002),0.638 (0.014),0.590 (0.012),0.649 (0.013)
760,0.656 (0.014),0.623 (0.014),0.627 (0.010),0.600 (0.020),0.647 (0.010)
780,0.648 (0.004),0.633 (0.008),0.630 (0.026),0.597 (0.011),0.667 (0.009)
800,0.652 (0.033),0.639 (0.022),0.656 (0.012),0.611 (0.017),0.656 (0.022)
820,0.639 (0.008),0.625 (0.022),0.618 (0.029),0.608 (0.015),0.638 (0.013)
840,0.657 (0.008),0.640 (0.012),0.636 (0.027),0.603 (0.013),0.662 (0.026)
860,0.662 (0.015),0.635 (0.007),0.665 (0.022),0.615 (0.019),0.637 (0.006)
880,0.662 (0.016),0.639 (0.012),0.661 (0.018),0.619 (0.008),0.643 (0.003)
900,0.635 (0.026),0.665 (0.009),0.657 (0.020),0.605 (0.010),0.642 (0.026)
920,0.663 (0.015),0.661 (0.014),0.656 (0.017),0.618 (0.017),0.661 (0.004)
940,0.656 (0.011),0.668 (0.006),0.642 (0.021),0.623 (0.014),0.665 (0.020)
960,0.654 (0.005),0.657 (0.005),0.670 (0.020),0.637 (0.004),0.651 (0.002)
980,0.662 (0.014),0.657 (0.012),0.659 (0.021),0.644 (0.003),0.679 (0.010)
1000,0.660 (0.008),0.676 (0.009),0.667 (0.027),0.616 (0.010),0.659 (0.003)
