labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.175,0.112,0.4,0,"[0, 0, 0, 0]",0.217,0.149,0.4,0,"[0, 0, 0, 0]",0.237,0.151,0.556,0,"[0, 0, 0, 0]",0.21,0.026,0.137,0.018,0.452,0.074
20,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.42,0.312,0.644,3,"[6, 5, 4, 5]",0.254,0.172,0.489,3,"[4, 9, 6, 1]",0.183,0.14,0.267,3,"[4, 9, 6, 1]",0.286,0.099,0.208,0.075,0.467,0.155
40,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.233,0.146,0.578,2,"[10, 8, 0, 2]",0.292,0.198,0.556,3,"[3, 10, 7, 0]",0.16,0.114,0.267,4,"[7, 10, 3, 0]",0.228,0.054,0.153,0.035,0.467,0.142
60,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.437,0.351,0.578,2,"[10, 10, 0, 0]",0.463,0.44,0.489,4,"[5, 10, 5, 0]",0.412,0.385,0.444,4,"[6, 10, 4, 0]",0.437,0.021,0.392,0.037,0.504,0.056
80,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.584,0.435,0.889,2,"[10, 8, 0, 2]",0.515,0.464,0.578,3,"[9, 7, 1, 3]",0.673,0.581,0.8,4,"[10, 10, 0, 0]",0.591,0.065,0.493,0.063,0.756,0.131
100,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.708,0.588,0.889,3,"[10, 6, 0, 4]",0.505,0.48,0.533,4,"[10, 8, 0, 2]",0.777,0.69,0.889,3,"[10, 9, 0, 1]",0.663,0.115,0.586,0.086,0.77,0.168
120,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.828,0.759,0.911,4,"[10, 0, 0, 10]",0.621,0.552,0.711,4,"[10, 8, 0, 2]",0.827,0.729,0.956,3,"[10, 1, 0, 9]",0.759,0.097,0.68,0.091,0.859,0.106
140,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.875,0.824,0.933,3,"[10, 0, 0, 10]",0.667,0.611,0.733,3,"[10, 3, 0, 7]",0.925,0.896,0.956,4,"[10, 0, 0, 10]",0.822,0.112,0.777,0.121,0.874,0.1
160,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.907,0.846,0.978,3,"[10, 0, 0, 10]",0.804,0.694,0.956,3,"[10, 0, 0, 10]",0.957,0.936,0.978,3,"[10, 0, 0, 10]",0.889,0.064,0.825,0.1,0.971,0.01
180,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.889,0.815,0.978,3,"[10, 0, 0, 10]",0.871,0.786,0.978,3,"[10, 0, 0, 10]",0.946,0.917,0.978,3,"[10, 0, 0, 10]",0.902,0.032,0.839,0.056,0.978,0.0
200,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.957,0.936,0.978,3,"[10, 0, 0, 10]",0.911,0.911,0.911,3,"[10, 0, 0, 10]",0.894,0.857,0.933,3,"[10, 0, 0, 10]",0.921,0.027,0.901,0.033,0.941,0.028
