labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.05,0.364,0.027,3,0.0,0.0,0.0,1,0.427,0.272,0.993,2,0.159,0.191,0.212,0.155,0.34,0.462
40,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.399,0.438,0.367,5,0.122,0.175,0.093,2,0.451,0.302,0.89,6,0.324,0.144,0.305,0.107,0.45,0.331
60,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.394,0.431,0.363,3,0.434,0.292,0.84,3,0.418,0.286,0.777,6,0.415,0.016,0.336,0.067,0.66,0.212
80,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.427,0.573,0.34,3,0.194,0.451,0.123,3,0.389,0.255,0.823,8,0.337,0.102,0.426,0.131,0.429,0.293
100,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.429,0.343,0.57,3,0.052,0.889,0.027,2,0.4,0.284,0.677,8,0.294,0.171,0.505,0.272,0.425,0.285
120,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.456,0.555,0.387,3,0.37,0.535,0.283,2,0.382,0.279,0.61,8,0.403,0.038,0.456,0.126,0.427,0.136
140,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.345,0.69,0.23,2,0.013,1.0,0.007,1,0.378,0.267,0.65,8,0.245,0.165,0.652,0.3,0.296,0.267
160,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.435,0.534,0.367,2,0.108,0.529,0.06,1,0.454,0.342,0.677,7,0.332,0.159,0.468,0.089,0.368,0.252
180,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.416,0.421,0.41,2,0.204,0.521,0.127,1,0.469,0.346,0.727,6,0.363,0.114,0.429,0.072,0.421,0.245
200,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.476,0.506,0.45,2,0.308,0.552,0.213,1,0.476,0.364,0.687,6,0.42,0.079,0.474,0.08,0.45,0.194
220,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.473,0.508,0.443,2,0.387,0.523,0.307,1,0.47,0.353,0.703,6,0.443,0.04,0.461,0.077,0.484,0.164
240,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.485,0.561,0.427,2,0.324,0.53,0.233,1,0.473,0.349,0.737,7,0.427,0.073,0.48,0.093,0.466,0.208
260,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.466,0.518,0.423,2,0.355,0.594,0.253,1,0.498,0.371,0.757,7,0.44,0.061,0.494,0.093,0.478,0.209
280,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.474,0.529,0.43,2,0.434,0.571,0.35,1,0.46,0.348,0.68,7,0.456,0.017,0.483,0.097,0.487,0.141
300,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.429,0.462,0.4,2,0.466,0.603,0.38,1,0.442,0.337,0.64,8,0.446,0.015,0.467,0.109,0.473,0.118
320,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.42,0.455,0.39,2,0.436,0.62,0.337,1,0.487,0.383,0.67,7,0.448,0.029,0.486,0.099,0.466,0.146
340,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.471,0.52,0.43,2,0.422,0.564,0.337,1,0.522,0.439,0.643,7,0.472,0.041,0.508,0.052,0.47,0.128
360,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.474,0.514,0.44,2,0.437,0.623,0.337,1,0.482,0.389,0.633,7,0.464,0.02,0.509,0.096,0.47,0.123
380,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.516,0.51,0.523,2,0.471,0.649,0.37,1,0.489,0.392,0.65,7,0.492,0.018,0.517,0.105,0.514,0.114
400,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.488,0.59,0.417,2,0.521,0.638,0.44,1,0.479,0.402,0.593,7,0.496,0.018,0.543,0.102,0.483,0.078
420,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.491,0.585,0.423,2,0.502,0.631,0.417,1,0.48,0.387,0.633,7,0.491,0.009,0.534,0.106,0.491,0.1
440,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.461,0.517,0.417,2,0.517,0.579,0.467,1,0.489,0.422,0.58,6,0.489,0.023,0.506,0.065,0.488,0.068
460,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.418,0.534,0.343,2,0.449,0.638,0.347,1,0.506,0.429,0.617,6,0.458,0.036,0.534,0.085,0.436,0.128
480,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.535,0.58,0.497,2,0.484,0.628,0.393,1,0.498,0.448,0.56,6,0.506,0.022,0.552,0.076,0.483,0.069
500,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.484,0.537,0.44,2,0.517,0.633,0.437,1,0.492,0.45,0.543,6,0.498,0.014,0.54,0.075,0.473,0.049
520,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.46,0.575,0.383,2,0.493,0.604,0.417,1,0.46,0.482,0.44,5,0.471,0.016,0.554,0.052,0.413,0.023
540,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.498,0.526,0.473,2,0.496,0.635,0.407,1,0.528,0.49,0.573,5,0.507,0.015,0.55,0.062,0.484,0.068
560,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.464,0.519,0.42,2,0.495,0.584,0.43,1,0.473,0.463,0.483,6,0.477,0.013,0.522,0.049,0.444,0.028
580,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.431,0.561,0.35,2,0.497,0.595,0.427,1,0.571,0.532,0.617,5,0.5,0.057,0.563,0.026,0.465,0.112
600,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.436,0.545,0.363,2,0.456,0.612,0.363,1,0.468,0.487,0.45,5,0.453,0.013,0.548,0.051,0.392,0.041
620,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.509,0.631,0.427,2,0.521,0.662,0.43,1,0.507,0.481,0.537,5,0.512,0.006,0.591,0.079,0.465,0.051
640,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.485,0.594,0.41,2,0.434,0.621,0.333,1,0.52,0.527,0.513,5,0.48,0.035,0.581,0.04,0.419,0.074
660,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.443,0.552,0.37,2,0.477,0.613,0.39,1,0.532,0.496,0.573,5,0.484,0.037,0.554,0.048,0.444,0.091
680,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.507,0.579,0.45,2,0.449,0.605,0.357,1,0.497,0.528,0.47,5,0.484,0.025,0.571,0.032,0.426,0.049
700,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.474,0.596,0.393,2,0.493,0.659,0.393,1,0.49,0.465,0.517,5,0.486,0.008,0.573,0.081,0.434,0.058
720,watches,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.508,0.606,0.437,2,0.443,0.673,0.33,1,0.535,0.504,0.57,5,0.495,0.039,0.594,0.069,0.446,0.098
