labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.406,0.264,0.87,1,"[0, 150, 0, 160]",0.431,0.276,0.977,1,"[0, 227, 0, 194]",0.452,0.298,0.933,1,"[0, 257, 0, 254]",0.43,0.019,0.279,0.014,0.927,0.044
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.37,0.249,0.717,12,"[0, 0, 0, 0]",0.429,0.273,1.0,7,"[0, 0, 0, 0]",0.0,0.0,0.0,1,"[0, 0, 0, 0]",0.266,0.19,0.174,0.123,0.572,0.421
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.369,0.309,0.46,8,"[0, 0, 0, 0]",0.429,0.273,1.0,11,"[0, 0, 0, 0]",0.518,0.415,0.687,9,"[0, 0, 0, 0]",0.439,0.061,0.332,0.06,0.716,0.221
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.359,0.343,0.377,6,"[0, 0, 0, 0]",0.438,0.285,0.94,9,"[0, 0, 0, 0]",0.412,0.482,0.36,4,"[0, 0, 0, 0]",0.403,0.033,0.37,0.083,0.559,0.269
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.338,0.292,0.4,7,"[0, 0, 0, 0]",0.419,0.294,0.727,7,"[0, 0, 0, 0]",0.342,0.396,0.3,4,"[0, 0, 0, 0]",0.366,0.037,0.327,0.049,0.476,0.182
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.231,0.252,0.213,6,"[0, 0, 0, 0]",0.447,0.29,0.973,6,"[0, 0, 0, 0]",0.337,0.49,0.257,4,"[0, 0, 0, 0]",0.338,0.088,0.344,0.104,0.481,0.348
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.33,0.352,0.31,6,"[0, 0, 0, 0]",0.457,0.307,0.897,6,"[0, 3, 0, 0]",0.42,0.542,0.343,3,"[0, 0, 0, 0]",0.402,0.053,0.4,0.102,0.517,0.269
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.423,0.376,0.483,4,"[0, 7, 0, 1]",0.378,0.348,0.413,2,"[0, 30, 0, 2]",0.23,0.354,0.17,2,"[2, 0, 0, 0]",0.344,0.082,0.359,0.012,0.355,0.134
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.378,0.339,0.427,6,"[0, 0, 0, 0]",0.385,0.335,0.453,4,"[0, 2, 0, 0]",0.355,0.561,0.26,2,"[0, 0, 0, 0]",0.373,0.013,0.412,0.106,0.38,0.086
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.374,0.457,0.317,5,"[0, 0, 0, 0]",0.318,0.317,0.32,4,"[0, 0, 0, 0]",0.48,0.364,0.707,5,"[206, 1, 2, 1]",0.391,0.067,0.379,0.058,0.448,0.183
220,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.398,0.463,0.35,5,"[0, 0, 0, 0]",0.424,0.415,0.433,4,"[0, 0, 0, 0]",0.467,0.486,0.45,2,"[0, 0, 0, 0]",0.43,0.028,0.455,0.03,0.411,0.044
240,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.378,0.503,0.303,4,"[0, 0, 0, 0]",0.248,0.4,0.18,4,"[0, 0, 0, 0]",0.392,0.421,0.367,4,"[262, 11, 11, 8]",0.339,0.065,0.441,0.044,0.283,0.078
260,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.361,0.438,0.307,3,"[1, 16, 0, 3]",0.447,0.466,0.43,4,"[0, 0, 0, 0]",0.426,0.553,0.347,2,"[0, 0, 0, 0]",0.411,0.037,0.486,0.049,0.361,0.051
280,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.321,0.428,0.257,3,"[28, 17, 0, 2]",0.394,0.381,0.407,4,"[0, 0, 0, 0]",0.381,0.349,0.42,6,"[336, 0, 24, 0]",0.365,0.032,0.386,0.032,0.361,0.074
300,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.346,0.391,0.31,1,"[2, 68, 0, 13]",0.37,0.481,0.3,4,"[0, 0, 0, 0]",0.424,0.412,0.437,1,"[0, 142, 0, 128]",0.38,0.033,0.428,0.038,0.349,0.062
320,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.432,0.276,0.997,26,"[2787, 26, 178, 18]",0.422,0.411,0.433,4,"[0, 0, 0, 0]",0.406,0.31,0.587,16,"[1347, 5, 189, 2]",0.42,0.011,0.332,0.057,0.672,0.238
340,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.432,0.565,0.35,1,"[0, 27, 0, 81]",0.482,0.416,0.573,4,"[0, 1, 0, 1]",0.443,0.399,0.497,1,"[0, 215, 0, 435]",0.452,0.021,0.46,0.075,0.473,0.093
360,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.433,0.417,0.45,7,"[1039, 74, 33, 22]",0.488,0.548,0.44,3,"[0, 11, 0, 2]",0.436,0.373,0.523,14,"[1265, 3, 108, 2]",0.452,0.025,0.446,0.074,0.471,0.037
380,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.401,0.449,0.363,1,"[0, 171, 0, 142]",0.401,0.457,0.357,3,"[0, 15, 0, 3]",0.509,0.485,0.537,1,"[0, 258, 0, 467]",0.437,0.051,0.464,0.015,0.419,0.083
400,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.37,0.37,0.37,12,"[855, 0, 52, 1]",0.438,0.466,0.413,3,"[0, 17, 0, 9]",0.407,0.381,0.437,10,"[1033, 6, 64, 13]",0.405,0.028,0.406,0.043,0.407,0.028
420,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.39,0.49,0.323,1,"[0, 129, 0, 281]",0.418,0.469,0.377,3,"[0, 15, 0, 9]",0.438,0.424,0.453,1,"[0, 287, 0, 481]",0.415,0.02,0.461,0.028,0.384,0.053
440,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.468,0.315,0.913,19,"[2047, 6, 107, 8]",0.382,0.436,0.34,3,"[0, 11, 0, 12]",0.447,0.376,0.553,15,"[1733, 10, 125, 5]",0.432,0.037,0.376,0.049,0.602,0.236
460,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.418,0.491,0.363,1,"[0, 205, 0, 528]",0.44,0.484,0.403,3,"[0, 5, 0, 5]",0.393,0.397,0.39,1,"[0, 168, 0, 528]",0.417,0.019,0.457,0.043,0.385,0.017
480,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.432,0.457,0.41,7,"[558, 0, 32, 7]",0.403,0.469,0.353,3,"[1, 16, 0, 7]",0.477,0.412,0.567,14,"[1996, 16, 151, 29]",0.437,0.03,0.446,0.025,0.443,0.09
