labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.426,0.271,0.99,6,0.429,0.273,1.0,6,0.429,0.273,1.0,9,0.428,0.001,0.272,0.001,0.997,0.005
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.389,0.337,0.46,3,0.439,0.283,0.983,9,0.499,0.359,0.817,2,0.442,0.045,0.326,0.032,0.753,0.218
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.426,0.373,0.497,4,0.429,0.273,1.0,11,0.49,0.431,0.567,2,0.448,0.029,0.359,0.065,0.688,0.222
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.345,0.395,0.307,4,0.433,0.276,1.0,9,0.208,0.585,0.127,1,0.329,0.093,0.419,0.127,0.478,0.376
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.228,0.323,0.177,4,0.44,0.287,0.933,10,0.157,0.225,0.12,1,0.275,0.12,0.278,0.04,0.41,0.371
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.247,0.305,0.207,3,0.492,0.348,0.84,6,0.051,0.727,0.027,1,0.263,0.18,0.46,0.19,0.358,0.349
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.253,0.353,0.197,3,0.493,0.361,0.773,6,0.091,0.536,0.05,1,0.279,0.165,0.417,0.084,0.34,0.312
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.277,0.639,0.177,3,0.484,0.34,0.84,6,0.232,0.677,0.14,1,0.331,0.11,0.552,0.151,0.386,0.322
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.353,0.58,0.253,3,0.493,0.366,0.757,6,0.311,0.663,0.203,1,0.386,0.078,0.536,0.125,0.404,0.25
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.296,0.63,0.193,2,0.499,0.362,0.803,7,0.411,0.484,0.357,1,0.402,0.083,0.492,0.11,0.451,0.258
