labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.31,0.235,0.455,0,0.275,0.161,0.936,0,0.009,1.0,0.005,0,0.198,0.134,0.465,0.379,0.465,0.38
40,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.293,0.177,0.845,5,0.277,0.196,0.473,6,0.292,0.274,0.314,2,0.287,0.007,0.216,0.042,0.544,0.223
60,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.296,0.181,0.805,6,0.28,0.165,0.918,5,0.069,0.225,0.041,3,0.215,0.103,0.19,0.025,0.588,0.39
80,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.307,0.221,0.505,6,0.274,0.164,0.85,7,0.27,0.157,0.95,3,0.284,0.017,0.181,0.029,0.768,0.191
100,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.31,0.194,0.777,5,0.278,0.167,0.85,6,0.273,0.16,0.932,3,0.287,0.016,0.174,0.015,0.853,0.063
120,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.305,0.187,0.827,6,0.301,0.182,0.859,7,0.232,0.164,0.395,3,0.279,0.034,0.178,0.01,0.694,0.212
140,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.295,0.23,0.414,5,0.298,0.182,0.823,8,0.214,0.224,0.205,3,0.269,0.039,0.212,0.021,0.481,0.257
160,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.297,0.18,0.836,5,0.292,0.191,0.618,7,0.273,0.206,0.405,4,0.287,0.01,0.192,0.011,0.62,0.176
180,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.314,0.213,0.595,5,0.295,0.211,0.486,8,0.195,0.133,0.364,4,0.268,0.052,0.186,0.037,0.482,0.094
200,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.282,0.169,0.864,6,0.276,0.185,0.545,8,0.262,0.155,0.859,4,0.273,0.008,0.17,0.012,0.756,0.149
220,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.316,0.201,0.736,6,0.283,0.168,0.909,8,0.217,0.159,0.341,4,0.272,0.041,0.176,0.018,0.662,0.238
240,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.324,0.21,0.714,6,0.28,0.198,0.477,8,0.2,0.152,0.291,4,0.268,0.051,0.187,0.025,0.494,0.173
260,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.307,0.219,0.514,6,0.302,0.189,0.755,7,0.255,0.17,0.509,4,0.288,0.023,0.193,0.02,0.593,0.115
280,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.267,0.192,0.436,7,0.28,0.167,0.864,7,0.238,0.205,0.282,4,0.262,0.018,0.188,0.016,0.527,0.246
300,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.312,0.199,0.727,7,0.218,0.165,0.318,7,0.172,0.154,0.195,4,0.234,0.058,0.173,0.019,0.413,0.227
320,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.289,0.173,0.873,6,0.287,0.18,0.7,6,0.229,0.184,0.305,4,0.268,0.028,0.179,0.005,0.626,0.238
340,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.26,0.217,0.323,6,0.252,0.212,0.309,6,0.199,0.177,0.227,4,0.237,0.027,0.202,0.018,0.286,0.042
360,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.291,0.178,0.782,6,0.239,0.207,0.282,6,0.307,0.217,0.523,4,0.279,0.029,0.201,0.017,0.529,0.204
380,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.276,0.178,0.618,6,0.313,0.196,0.773,6,0.283,0.167,0.923,4,0.291,0.016,0.18,0.012,0.771,0.125
400,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.341,0.228,0.677,6,0.249,0.198,0.336,6,0.312,0.291,0.336,4,0.301,0.038,0.239,0.039,0.45,0.161
420,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.313,0.195,0.795,6,0.259,0.206,0.35,5,0.314,0.279,0.359,4,0.295,0.026,0.227,0.037,0.501,0.208
440,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.298,0.19,0.686,6,0.26,0.224,0.309,6,0.302,0.21,0.532,4,0.287,0.019,0.208,0.014,0.509,0.155
460,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.317,0.233,0.495,6,0.282,0.169,0.845,6,0.323,0.25,0.455,4,0.307,0.018,0.217,0.035,0.598,0.175
480,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.319,0.202,0.755,5,0.339,0.236,0.605,6,0.328,0.302,0.359,4,0.329,0.008,0.247,0.042,0.573,0.163
500,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.349,0.241,0.632,5,0.263,0.227,0.314,6,0.32,0.249,0.445,4,0.311,0.036,0.239,0.009,0.464,0.13
520,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.359,0.342,0.377,5,0.345,0.236,0.641,6,0.333,0.295,0.382,4,0.346,0.011,0.291,0.043,0.467,0.123
540,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.355,0.293,0.45,5,0.285,0.216,0.418,5,0.327,0.268,0.418,4,0.322,0.029,0.259,0.032,0.429,0.015
560,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.326,0.235,0.532,5,0.327,0.26,0.441,5,0.269,0.284,0.255,4,0.307,0.027,0.26,0.02,0.409,0.115
580,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.334,0.225,0.655,5,0.282,0.227,0.373,5,0.297,0.295,0.3,4,0.304,0.022,0.249,0.033,0.443,0.153
600,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.271,0.22,0.355,5,0.306,0.247,0.4,5,0.285,0.17,0.877,4,0.287,0.014,0.212,0.032,0.544,0.236
620,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.354,0.26,0.555,5,0.279,0.264,0.295,5,0.275,0.261,0.291,4,0.303,0.036,0.262,0.002,0.38,0.124
640,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.285,0.257,0.318,5,0.337,0.218,0.745,5,0.415,0.361,0.486,4,0.346,0.053,0.279,0.06,0.516,0.176
660,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.269,0.204,0.395,5,0.346,0.271,0.477,5,0.399,0.322,0.523,4,0.338,0.053,0.266,0.048,0.465,0.053
680,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.255,0.232,0.282,5,0.322,0.208,0.718,5,0.374,0.358,0.391,4,0.317,0.049,0.266,0.066,0.464,0.185
700,abt_buy,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.38,0.283,0.577,5,0.356,0.259,0.568,5,0.411,0.367,0.468,4,0.382,0.023,0.303,0.046,0.538,0.049
