labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.315,0.208,0.645,0,"[0, 0, 0, 0]",0.31,0.212,0.573,0,"[0, 0, 0, 0]",0.282,0.179,0.659,0,"[0, 0, 0, 0]",0.302,0.015,0.2,0.015,0.626,0.038
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.288,0.173,0.855,2,"[10, 6, 0, 4]",0.317,0.205,0.695,3,"[9, 4, 1, 6]",0.267,0.154,1.0,2,"[10, 6, 0, 4]",0.291,0.02,0.177,0.021,0.85,0.125
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.302,0.188,0.764,3,"[10, 8, 0, 2]",0.31,0.223,0.509,4,"[7, 6, 3, 4]",0.29,0.206,0.491,3,"[8, 8, 4, 2]",0.301,0.008,0.206,0.014,0.588,0.125
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.279,0.164,0.927,3,"[10, 9, 0, 1]",0.337,0.22,0.723,4,"[10, 8, 0, 2]",0.037,0.057,0.027,3,"[9, 7, 1, 3]",0.218,0.13,0.147,0.068,0.559,0.385
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.316,0.208,0.664,3,"[10, 9, 0, 1]",0.226,0.167,0.35,5,"[10, 8, 0, 2]",0.295,0.19,0.659,4,"[9, 7, 1, 3]",0.279,0.038,0.188,0.017,0.558,0.147
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.285,0.169,0.914,3,"[10, 9, 0, 1]",0.266,0.154,0.991,5,"[8, 8, 2, 2]",0.278,0.194,0.491,5,"[8, 8, 4, 2]",0.276,0.008,0.172,0.016,0.799,0.22
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.336,0.236,0.577,4,"[10, 9, 0, 1]",0.314,0.219,0.555,5,"[10, 9, 0, 1]",0.248,0.181,0.391,6,"[10, 9, 0, 1]",0.299,0.037,0.212,0.023,0.508,0.083
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.269,0.194,0.441,4,"[10, 9, 0, 1]",0.27,0.203,0.405,5,"[10, 9, 0, 1]",0.274,0.207,0.405,5,"[8, 9, 2, 1]",0.271,0.002,0.201,0.005,0.417,0.017
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.32,0.21,0.673,4,"[9, 9, 1, 1]",0.286,0.17,0.886,5,"[10, 9, 0, 1]",0.283,0.204,0.464,5,"[10, 9, 0, 1]",0.296,0.017,0.195,0.018,0.674,0.172
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.306,0.218,0.509,4,"[9, 8, 1, 2]",0.254,0.215,0.309,5,"[10, 8, 0, 2]",0.237,0.198,0.295,5,"[10, 9, 0, 1]",0.266,0.029,0.21,0.009,0.371,0.098
