labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.302,0.215,0.505,0,"[0, 0, 0, 0]",0.326,0.233,0.541,0,"[0, 0, 0, 0]",0.299,0.202,0.577,0,"[0, 0, 0, 0]",0.309,0.012,0.217,0.013,0.541,0.029
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.266,0.154,1.0,2,"[10, 7, 0, 3]",0.279,0.163,0.964,2,"[8, 7, 2, 3]",0.008,0.022,0.005,2,"[10, 8, 0, 2]",0.184,0.125,0.113,0.064,0.656,0.461
30,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.278,0.165,0.877,2,"[0, 10, 0, 0]",0.281,0.17,0.814,2,"[10, 9, 0, 1]",0.169,0.142,0.209,2,"[9, 10, 1, 0]",0.243,0.052,0.159,0.012,0.633,0.301
50,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.231,0.164,0.391,2,"[10, 10, 0, 0]",0.316,0.2,0.75,2,"[10, 6, 0, 4]",0.245,0.169,0.445,2,"[8, 10, 2, 0]",0.264,0.037,0.178,0.016,0.529,0.158
70,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.228,0.171,0.341,2,"[10, 6, 0, 4]",0.321,0.218,0.609,2,"[10, 10, 0, 0]",0.156,0.132,0.191,2,"[8, 8, 2, 4]",0.235,0.068,0.174,0.035,0.38,0.173
90,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.196,0.155,0.268,2,"[10, 9, 0, 1]",0.318,0.217,0.595,2,"[9, 8, 1, 2]",0.172,0.151,0.2,2,"[10, 10, 0, 0]",0.229,0.064,0.174,0.03,0.354,0.172
110,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.211,0.198,0.227,2,"[10, 10, 0, 0]",0.304,0.22,0.491,2,"[9, 8, 1, 2]",0.117,0.105,0.132,2,"[8, 9, 2, 1]",0.211,0.076,0.174,0.05,0.283,0.152
130,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.2,0.215,0.186,2,"[10, 10, 0, 0]",0.301,0.226,0.45,2,"[10, 5, 0, 5]",0.106,0.106,0.105,2,"[10, 8, 0, 2]",0.202,0.08,0.182,0.054,0.247,0.147
150,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.177,0.225,0.145,2,"[10, 9, 0, 1]",0.326,0.241,0.505,2,"[10, 6, 0, 4]",0.117,0.164,0.091,2,"[9, 9, 1, 1]",0.207,0.088,0.21,0.033,0.247,0.184
170,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.156,0.183,0.136,2,"[8, 8, 2, 2]",0.327,0.26,0.441,2,"[10, 8, 0, 2]",0.155,0.173,0.141,2,"[9, 7, 1, 3]",0.213,0.081,0.205,0.039,0.239,0.143
