labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.245,0.154,0.602,0,0.292,0.204,0.514,0,0.091,0.28,0.054,0,0.209,0.086,0.213,0.052,0.39,0.24
40,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.329,0.239,0.525,3,0.291,0.172,0.931,9,0.274,0.174,0.641,4,0.298,0.023,0.195,0.031,0.699,0.171
60,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.288,0.252,0.336,3,0.333,0.203,0.927,6,0.302,0.189,0.761,5,0.308,0.019,0.215,0.027,0.675,0.249
80,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.363,0.256,0.622,3,0.3,0.178,0.961,4,0.322,0.244,0.475,6,0.328,0.026,0.226,0.034,0.686,0.204
100,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.293,0.188,0.664,4,0.324,0.196,0.927,5,0.351,0.264,0.525,5,0.323,0.024,0.216,0.034,0.705,0.167
120,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.32,0.195,0.903,4,0.317,0.19,0.958,6,0.317,0.277,0.371,5,0.318,0.001,0.221,0.04,0.744,0.265
140,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.339,0.244,0.552,4,0.31,0.196,0.745,7,0.299,0.206,0.544,5,0.316,0.017,0.215,0.021,0.614,0.093
160,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.375,0.25,0.753,4,0.284,0.166,0.988,6,0.3,0.206,0.556,6,0.32,0.04,0.207,0.034,0.766,0.177
180,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.337,0.208,0.888,4,0.321,0.201,0.795,7,0.282,0.243,0.336,6,0.313,0.023,0.217,0.018,0.673,0.241
200,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.322,0.196,0.907,4,0.311,0.203,0.66,7,0.291,0.179,0.788,6,0.308,0.013,0.193,0.01,0.785,0.101
220,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.347,0.256,0.541,4,0.309,0.185,0.942,7,0.266,0.154,1.0,6,0.307,0.033,0.198,0.043,0.828,0.204
240,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.343,0.215,0.849,4,0.327,0.22,0.637,7,0.284,0.234,0.359,5,0.318,0.025,0.223,0.008,0.615,0.201
260,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.304,0.182,0.907,5,0.342,0.243,0.579,7,0.228,0.199,0.266,5,0.291,0.047,0.208,0.026,0.584,0.262
280,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.336,0.207,0.9,5,0.313,0.208,0.637,6,0.269,0.158,0.919,5,0.306,0.028,0.191,0.023,0.819,0.129
300,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.358,0.252,0.622,5,0.326,0.2,0.888,6,0.289,0.212,0.452,5,0.324,0.028,0.221,0.022,0.654,0.179
320,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.308,0.235,0.448,5,0.314,0.226,0.51,6,0.339,0.249,0.529,5,0.32,0.013,0.237,0.009,0.496,0.035
340,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.359,0.23,0.822,4,0.325,0.208,0.741,6,0.19,0.2,0.181,5,0.291,0.073,0.213,0.013,0.581,0.285
360,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.355,0.246,0.641,5,0.338,0.217,0.761,6,0.287,0.24,0.355,5,0.327,0.029,0.234,0.012,0.586,0.17
380,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.332,0.277,0.413,5,0.334,0.231,0.598,6,0.318,0.24,0.471,5,0.328,0.007,0.249,0.02,0.494,0.077
400,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.376,0.286,0.548,5,0.402,0.31,0.571,6,0.293,0.231,0.402,5,0.357,0.046,0.276,0.033,0.507,0.075
420,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.36,0.281,0.502,5,0.354,0.235,0.718,6,0.333,0.271,0.432,5,0.349,0.012,0.262,0.02,0.551,0.122
440,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.374,0.305,0.483,5,0.393,0.289,0.61,6,0.31,0.209,0.602,5,0.359,0.036,0.268,0.042,0.565,0.058
460,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.378,0.262,0.68,5,0.391,0.272,0.699,5,0.286,0.236,0.363,5,0.352,0.047,0.257,0.015,0.581,0.154
480,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.377,0.257,0.71,5,0.377,0.258,0.699,5,0.301,0.288,0.317,5,0.352,0.036,0.268,0.014,0.575,0.183
