labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.33,0.27,0.425,0,0.358,0.245,0.664,0,0.346,0.264,0.502,0,0.345,0.011,0.26,0.011,0.53,0.1
20,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.266,0.154,1.0,3,0.296,0.174,0.981,6,0.068,0.175,0.042,2,0.21,0.101,0.168,0.01,0.674,0.447
40,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.252,0.152,0.753,3,0.015,0.667,0.008,9,0.04,0.158,0.023,2,0.102,0.106,0.326,0.241,0.261,0.348
60,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.31,0.185,0.95,5,0.303,0.192,0.718,6,0.266,0.154,1.0,4,0.293,0.019,0.177,0.017,0.889,0.123
80,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.291,0.172,0.931,5,0.291,0.175,0.861,6,0.105,0.214,0.069,4,0.229,0.088,0.187,0.019,0.62,0.391
100,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.312,0.188,0.927,6,0.31,0.185,0.961,7,0.097,0.225,0.062,4,0.24,0.101,0.199,0.018,0.65,0.416
120,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.291,0.222,0.425,7,0.287,0.187,0.622,7,0.225,0.278,0.189,4,0.268,0.03,0.229,0.037,0.412,0.177
140,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.285,0.181,0.668,7,0.299,0.205,0.556,6,0.295,0.185,0.73,3,0.293,0.006,0.19,0.01,0.651,0.072
160,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.302,0.205,0.575,6,0.303,0.212,0.533,6,0.299,0.279,0.32,3,0.301,0.002,0.232,0.033,0.476,0.112
180,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.307,0.188,0.826,7,0.306,0.217,0.517,6,0.284,0.269,0.301,3,0.299,0.011,0.225,0.034,0.548,0.215
200,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.308,0.21,0.579,7,0.302,0.203,0.591,6,0.35,0.304,0.413,3,0.32,0.021,0.239,0.046,0.528,0.081
220,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.329,0.205,0.834,7,0.265,0.192,0.429,6,0.365,0.258,0.625,3,0.32,0.041,0.218,0.029,0.629,0.165
240,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.247,0.194,0.34,7,0.313,0.201,0.703,6,0.31,0.293,0.328,3,0.29,0.03,0.229,0.045,0.457,0.174
260,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.24,0.195,0.313,7,0.358,0.253,0.61,5,0.375,0.284,0.552,3,0.324,0.06,0.244,0.037,0.492,0.129
280,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.269,0.193,0.444,6,0.25,0.225,0.282,5,0.385,0.32,0.483,3,0.301,0.06,0.246,0.054,0.403,0.087
300,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.299,0.207,0.537,6,0.33,0.229,0.591,5,0.357,0.243,0.672,3,0.329,0.024,0.226,0.015,0.6,0.055
320,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.311,0.254,0.402,6,0.298,0.195,0.633,5,0.386,0.349,0.432,3,0.332,0.039,0.266,0.063,0.489,0.103
340,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.325,0.201,0.853,6,0.327,0.254,0.459,5,0.315,0.198,0.768,3,0.322,0.005,0.218,0.026,0.693,0.169
360,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.314,0.248,0.429,6,0.328,0.237,0.529,5,0.372,0.336,0.417,3,0.338,0.025,0.274,0.044,0.458,0.05
380,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.353,0.27,0.51,6,0.331,0.203,0.9,4,0.368,0.283,0.525,3,0.351,0.015,0.252,0.035,0.645,0.18
400,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.331,0.31,0.355,5,0.348,0.293,0.429,4,0.369,0.45,0.313,3,0.349,0.016,0.351,0.07,0.366,0.048
420,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.332,0.312,0.355,5,0.404,0.305,0.598,4,0.354,0.348,0.359,3,0.363,0.03,0.322,0.019,0.437,0.114
440,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.334,0.291,0.394,5,0.334,0.204,0.923,4,0.388,0.368,0.409,3,0.352,0.025,0.288,0.067,0.575,0.246
460,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.348,0.217,0.876,5,0.336,0.222,0.691,4,0.361,0.284,0.498,3,0.348,0.01,0.241,0.03,0.688,0.154
480,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.382,0.303,0.517,6,0.323,0.278,0.386,4,0.419,0.316,0.622,3,0.375,0.04,0.299,0.016,0.508,0.097
500,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.358,0.345,0.371,5,0.303,0.275,0.336,4,0.405,0.398,0.413,3,0.355,0.042,0.339,0.05,0.373,0.031
520,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.389,0.356,0.429,5,0.36,0.34,0.382,4,0.415,0.399,0.432,3,0.388,0.022,0.365,0.025,0.414,0.023
540,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.382,0.31,0.498,5,0.338,0.278,0.432,4,0.445,0.407,0.49,3,0.388,0.044,0.332,0.055,0.473,0.029
560,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.332,0.318,0.347,5,0.338,0.209,0.888,4,0.35,0.234,0.691,3,0.34,0.007,0.254,0.047,0.642,0.224
580,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.371,0.273,0.583,5,0.335,0.206,0.9,4,0.412,0.391,0.436,3,0.373,0.031,0.29,0.076,0.64,0.194
600,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.33,0.312,0.351,5,0.33,0.201,0.927,4,0.434,0.503,0.382,3,0.365,0.049,0.339,0.125,0.553,0.265
620,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.417,0.286,0.776,5,0.418,0.322,0.598,4,0.444,0.399,0.502,3,0.426,0.012,0.336,0.047,0.625,0.114
640,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.362,0.398,0.332,5,0.404,0.303,0.606,4,0.435,0.386,0.498,3,0.4,0.03,0.362,0.042,0.479,0.113
660,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.416,0.386,0.452,4,0.381,0.36,0.405,4,0.401,0.372,0.436,3,0.399,0.014,0.373,0.011,0.431,0.02
680,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.443,0.428,0.459,4,0.372,0.335,0.417,4,0.426,0.389,0.471,3,0.414,0.03,0.384,0.038,0.449,0.023
700,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.41,0.345,0.506,4,0.351,0.223,0.822,4,0.42,0.485,0.371,3,0.394,0.03,0.351,0.107,0.566,0.189
720,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.449,0.32,0.753,4,0.457,0.398,0.537,4,0.46,0.38,0.583,3,0.455,0.005,0.366,0.033,0.624,0.093
740,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.462,0.385,0.579,4,0.387,0.279,0.629,4,0.481,0.455,0.51,3,0.443,0.041,0.373,0.072,0.573,0.049
760,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.361,0.49,0.286,4,0.393,0.375,0.413,4,0.508,0.495,0.521,3,0.421,0.063,0.453,0.055,0.407,0.096
780,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.465,0.374,0.614,4,0.387,0.318,0.494,4,0.439,0.345,0.602,3,0.43,0.032,0.346,0.023,0.57,0.054
800,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.392,0.322,0.502,4,0.448,0.387,0.533,4,0.506,0.422,0.633,3,0.449,0.047,0.377,0.041,0.556,0.056
820,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.447,0.326,0.71,4,0.359,0.254,0.614,4,0.455,0.481,0.432,3,0.42,0.043,0.354,0.095,0.585,0.115
840,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.465,0.348,0.703,4,0.449,0.396,0.517,4,0.519,0.493,0.548,3,0.478,0.03,0.412,0.06,0.589,0.081
