labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.379,0.258,0.71,0,"[0, 0, 0, 0]",0.313,0.225,0.517,0,"[0, 0, 0, 0]",0.344,0.244,0.583,0,"[0, 0, 0, 0]",0.345,0.027,0.242,0.014,0.603,0.08
20,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.158,0.266,0.112,2,"[10, 8, 0, 2]",0.289,0.176,0.795,2,"[10, 8, 0, 2]",0.33,0.234,0.56,2,"[9, 4, 1, 6]",0.259,0.073,0.225,0.037,0.489,0.283
40,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.229,0.234,0.224,2,"[9, 10, 1, 0]",0.286,0.174,0.811,2,"[8, 10, 2, 0]",0.334,0.212,0.784,2,"[9, 9, 1, 1]",0.283,0.043,0.207,0.025,0.606,0.271
60,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.232,0.237,0.228,2,"[8, 10, 2, 0]",0.3,0.178,0.946,2,"[9, 10, 1, 0]",0.322,0.231,0.529,2,"[10, 8, 0, 2]",0.285,0.038,0.215,0.027,0.568,0.294
80,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.239,0.243,0.236,2,"[9, 8, 1, 2]",0.299,0.198,0.614,2,"[9, 9, 1, 1]",0.295,0.221,0.444,2,"[10, 9, 0, 1]",0.278,0.027,0.221,0.018,0.431,0.155
100,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.2,0.251,0.166,2,"[9, 8, 1, 2]",0.309,0.216,0.541,2,"[10, 8, 0, 2]",0.296,0.223,0.44,2,"[10, 9, 0, 1]",0.268,0.049,0.23,0.015,0.382,0.158
120,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.21,0.275,0.17,2,"[10, 8, 0, 2]",0.275,0.194,0.471,2,"[10, 9, 0, 1]",0.344,0.255,0.529,2,"[10, 9, 0, 1]",0.276,0.055,0.241,0.034,0.39,0.157
140,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.232,0.282,0.197,2,"[10, 8, 0, 2]",0.294,0.215,0.463,2,"[8, 8, 2, 2]",0.35,0.269,0.502,2,"[10, 6, 0, 4]",0.292,0.048,0.255,0.029,0.387,0.136
160,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.249,0.286,0.22,2,"[10, 9, 0, 1]",0.306,0.228,0.463,2,"[10, 5, 0, 5]",0.325,0.253,0.452,2,"[10, 9, 0, 1]",0.293,0.032,0.256,0.024,0.378,0.112
180,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.303,0.285,0.324,2,"[9, 5, 1, 5]",0.298,0.225,0.44,2,"[8, 8, 2, 2]",0.343,0.299,0.402,2,"[8, 8, 2, 2]",0.315,0.02,0.27,0.032,0.389,0.048
200,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.273,0.25,0.301,2,"[8, 5, 2, 5]",0.307,0.236,0.44,2,"[9, 3, 1, 7]",0.348,0.278,0.467,2,"[10, 8, 0, 2]",0.309,0.031,0.255,0.017,0.403,0.073
220,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.351,0.3,0.425,2,"[8, 9, 2, 1]",0.346,0.277,0.459,2,"[10, 8, 0, 2]",0.341,0.276,0.444,2,"[10, 9, 0, 1]",0.346,0.004,0.284,0.011,0.443,0.014
240,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.239,0.256,0.224,2,"[10, 9, 0, 1]",0.327,0.255,0.456,2,"[10, 7, 0, 3]",0.278,0.235,0.34,2,"[10, 9, 0, 1]",0.281,0.036,0.249,0.01,0.34,0.095
260,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.314,0.328,0.301,2,"[9, 9, 1, 1]",0.344,0.24,0.602,2,"[10, 7, 0, 3]",0.295,0.238,0.386,2,"[8, 10, 2, 0]",0.318,0.02,0.269,0.042,0.43,0.127
280,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.297,0.287,0.309,2,"[10, 4, 0, 6]",0.315,0.286,0.351,2,"[9, 9, 1, 1]",0.318,0.279,0.371,2,"[9, 7, 1, 3]",0.31,0.009,0.284,0.004,0.344,0.026
300,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.271,0.3,0.247,2,"[9, 7, 1, 3]",0.332,0.264,0.448,2,"[9, 6, 1, 4]",0.331,0.29,0.386,2,"[10, 10, 0, 0]",0.311,0.029,0.285,0.015,0.36,0.084
